en_phrase	fr_phrase	combo	coverage	fluency
with its	les s	0.455	0.83	0.761
do with	duel	0.498	0.80	0.446
of death	aux dette	0.470	1.00	0.439
this the	dit le	0.488	1.00	0.913
st clair	son clair	0.784	0.88	0.572
the land	relate	0.462	0.83	0.476
whale as	venise	0.474	0.83	0.476
look ye	locaux	0.498	0.80	0.464
to marry	on henri	0.563	0.83	0.581
one in	on n	0.531	0.80	0.893
even now	hymen a	0.547	0.86	0.501
as good	aux guide	0.476	1.00	0.469
two of	trouve	0.574	1.00	0.410
read it	rider	0.715	0.80	0.333
not you	d où	0.480	0.80	0.608
him of	on ève	0.487	0.80	0.507
friend and	freinent in	0.632	0.88	0.467
me so	mis à	0.628	0.80	0.840
was over	les aube	0.521	0.83	0.515
were at	relate	0.470	1.00	0.476
oh my	homard	0.628	0.80	0.173
give you	gays où	0.607	0.80	0.368
this man	d man	0.499	1.00	0.758
sister and	set rade	0.617	0.88	0.389
were of	arrive	0.510	0.80	0.459
that their	des air	0.576	0.83	0.628
was by	les bah	0.508	0.83	0.538
with what	les êtes	0.481	0.83	0.560
his life	les light	0.459	1.00	0.661
to mrs	tenait s	0.563	1.00	0.553
convinced that	con vain stade	0.544	0.91	0.450
was his	les use	0.511	0.83	0.624
to receive	taux if	0.501	0.83	0.638
face of	fait as	0.490	0.83	0.685
of two	aux tout	0.601	1.00	0.539
for such	fort as	0.641	0.86	0.660
and such	in patch	0.492	1.00	0.577
her uncle	terrain quel	0.503	1.00	0.447
eyes were	aux ouah	0.531	0.80	0.353
were it	ouest	0.572	0.80	0.526
attempt to	et aimait tout	0.593	1.00	0.692
on it	honnête	0.785	1.00	0.379
should like	son lac	0.593	0.86	0.548
that could	d guide	0.479	1.00	0.586
us the	et de	0.525	1.00	0.964
give him	gars aimes	0.545	0.83	0.466
himself in	on certaines	0.521	0.89	0.695
quite so	toit zoo	0.484	0.88	0.312
before and	porridge	0.450	0.86	0.000
it could	et code	0.521	1.00	0.514
other and	aux rendent	0.507	0.83	0.427
there she	merci	0.577	1.00	0.656
but by	but bah	0.683	0.83	0.612
time in	domaine	0.529	0.83	0.528
well then	ils n	0.567	0.83	0.817
we should	ouest	0.507	0.80	0.526
he went	ouverte	0.481	0.83	0.464
saw that	ces a	0.486	0.80	0.742
open and	afin hard	0.477	0.88	0.470
by one	baronne	0.653	0.83	0.388
over me	aux mi	0.694	0.80	0.464
owing to	ornent où	0.575	0.83	0.281
and finally	in vain allie	0.534	0.90	0.660
the red	serait	0.608	0.80	0.347
his feet	les vite	0.533	1.00	0.512
death and	d un	0.462	0.83	0.958
body of	but ive	0.519	0.83	0.495
we saw	ouais au	0.545	1.00	0.359
miss austen	mais est n	0.546	0.88	0.731
the story	des série	0.558	1.00	0.605
wickham and	recommande	0.477	0.88	0.170
of miss	aux baisse	0.458	1.00	0.457
are so	art au	0.451	0.80	0.495
nature of	d slave	0.462	0.88	0.595
certain that	son set	0.523	0.86	0.616
is at	aux êtes	0.511	1.00	0.453
are in	antenne	0.507	1.00	0.342
bennet and	bon et n	0.528	0.88	0.849
being in	bien n	0.605	1.00	0.603
mr and	mais trente	0.580	0.88	0.468
the gentlemen	laid gênent n n	0.597	1.00	0.441
went away	vain télé	0.471	0.88	0.456
happened to	open tout	0.593	0.88	0.588
long and	lin in	0.451	0.83	0.590
he may	chimie	0.509	0.80	0.369
for in	forte	0.711	0.80	0.516
him it	un êtes	0.502	0.80	0.556
fond of	fan as	0.496	1.00	0.568
and very	in série	0.525	1.00	0.731
shall have	genève	0.478	0.83	0.413
the gentleman	laid gênent n n	0.597	1.00	0.441
in no	un au	0.570	0.80	0.645
towards him	dehors comme	0.506	0.80	0.496
to longbourn	saison bornes	0.552	1.00	0.421
miss lucas	mais luxe	0.495	0.88	0.476
he thought	et honte	0.493	0.80	0.578
man that	main set	0.584	1.00	0.505
much in	met chaîne	0.603	1.00	0.489
for many	fortin a	0.628	1.00	0.548
to pass	défense	0.494	1.00	0.520
has the	yeux de	0.487	1.00	0.817
that would	d lord	0.468	1.00	0.633
of mine	aux man	0.570	0.83	0.641
found the	femmes de	0.638	0.86	0.767
the work	avec	0.471	0.80	0.614
table and	témoigner	0.491	0.78	0.309
be as	brave	0.481	1.00	0.473
first time	test âme	0.637	0.88	0.322
is always	isoloir	0.497	0.88	0.037
have never	n ève	0.649	0.83	0.398
engaged in	un gueux jeune	0.472	0.80	0.671
of both	aux beauf	0.461	0.83	0.307
parts of	partent if	0.578	1.00	0.546
until the	un tels est	0.455	1.00	0.585
little of	lyonnaise	0.453	0.86	0.233
to enter	tiennent	0.600	0.80	0.374
us all	et il	0.495	1.00	0.895
understand that	n stand cette	0.585	1.00	0.518
each of	et savent	0.498	1.00	0.593
the son	d n	0.495	1.00	0.683
son of	son s	0.510	1.00	0.895
in time	on dame	0.536	0.83	0.626
hope that	complètes	0.467	0.86	0.279
see how	signé	0.563	0.80	0.449
that as	d use	0.474	1.00	0.635
death of	d if	0.474	1.00	0.942
as ever	élèves	0.640	1.00	0.495
so in	sienne	0.593	0.80	0.233
all right	oriente	0.460	0.83	0.208
now for	d or	0.563	0.83	0.855
two days	tout âge	0.594	0.83	0.767
seen the	son de	0.610	1.00	0.760
that man	d man	0.509	1.00	0.758
the blue	tableau	0.501	1.00	0.316
the corner	records	0.635	0.83	0.317
me at	merde	0.461	1.00	0.574
it then	s n	0.600	1.00	0.726
the lord	pilote	0.457	0.83	0.426
my hands	mayonnaise	0.495	0.88	0.166
the lake	reliques	0.582	0.83	0.227
of water	aux or	0.607	0.80	0.638
the life	relate	0.569	0.83	0.476
the rope	salope	0.460	0.83	0.382
the pacific	spécifique	0.500	0.89	0.399
of whaling	ivoirienne	0.459	1.00	0.173
this whale	d huile	0.464	0.86	0.798
of ye	avion	0.511	1.00	0.497
deck and	liquide	0.463	0.83	0.405
good deal	goût il	0.679	0.83	0.525
sure that	chairs a	0.506	0.83	0.767
possible that	pas belles et	0.488	0.89	0.704
the hope	découpe	0.470	0.83	0.202
was impossible	les on pas belle	0.478	1.00	0.637
if not	et notes	0.481	1.00	0.620
be said	but aides	0.706	1.00	0.607
though she	souci	0.487	0.80	0.420
us in	et n	0.540	1.00	0.855
and miss	in mince	0.456	1.00	0.626
this and	d hard	0.460	1.00	0.559
speak to	piquent a	0.663	0.83	0.528
now it	naïf	0.638	0.80	0.170
place and	plus hard	0.596	0.88	0.496
better than	maires n	0.570	1.00	0.470
day before	déclare	0.584	0.86	0.415
he continued	écart un coude	0.499	0.91	0.422
and never	un ève	0.689	0.83	0.429
few days	fut haïssent	0.480	0.86	0.322
from one	fromage	0.542	0.86	0.378
to bring	technique	0.452	1.00	0.524
illustration chapter	les trahison chips	0.454	0.88	0.387
never heard	les aides	0.494	0.83	0.532
attention to	et un ton tout	0.559	1.00	0.791
half an	et n	0.496	0.80	0.855
him there	un chair	0.582	0.83	0.611
her as	cerise	0.526	1.00	0.252
right to	rat tout	0.799	0.83	0.419
wish of	lessive	0.504	1.00	0.210
the object	land secte	0.583	0.89	0.354
to discover	t et gave	0.536	1.00	0.630
he does	et onze	0.503	0.80	0.767
chance of	tchad as	0.546	1.00	0.536
open the	enfin je	0.468	0.86	0.817
suppose that	impôts dette	0.525	0.78	0.386
the question	secret chaîne	0.516	0.90	0.502
in life	on light	0.573	1.00	0.736
line of	lien as	0.475	1.00	0.684
to remain	termine	0.680	0.86	0.407
fear of	france	0.493	0.80	0.622
in many	on mini	0.606	1.00	0.622
something in	son pain in	0.464	1.00	0.895
day of	dérive	0.683	1.00	0.311
at night	et notes	0.514	0.83	0.620
appear to	était où	0.583	0.83	0.540
and aunt	en dites	0.513	0.83	0.767
made the	mais je	0.595	0.83	0.890
to follow	t aller	0.480	0.86	0.493
you for	but or	0.558	1.00	0.820
them at	limite	0.502	1.00	0.497
had already	et offrait a	0.452	0.89	0.623
there he	série	0.533	0.80	0.577
door of	arrive	0.506	0.80	0.459
end to	est tout	0.707	0.80	0.767
the windows	soin doses	0.563	0.78	0.288
to myself	on hais elfes	0.599	0.89	0.398
his son	ils n	0.495	0.83	0.817
even to	in tout	0.498	0.83	0.756
will find	veulent hard	0.457	0.88	0.446
they may	germer	0.506	0.83	0.091
have thought	aux pote	0.538	0.83	0.443
then it	son êtes	0.500	1.00	0.547
the death	laid s	0.512	1.00	0.652
of so	as au	0.491	0.80	0.726
long time	son dame	0.509	0.86	0.539
we all	viol	0.650	1.00	0.376
the trees	d rose	0.469	1.00	0.648
the front	retraite	0.456	0.86	0.484
seen him	son aimes	0.584	0.83	0.544
that sort	d short	0.633	1.00	0.625
the various	des iris	0.531	0.88	0.401
was this	as s	0.472	0.83	0.838
even as	venise	0.636	0.83	0.476
the streets	ces tristes	0.589	1.00	0.767
up by	abbaye	0.470	0.80	0.170
the spot	d pâte	0.504	1.00	0.512
tell him	totem	0.641	0.83	0.152
but only	but on lie	0.646	0.88	0.717
out for	art for	0.736	1.00	0.767
and half	un if	0.504	0.83	0.742
the city	des ri	0.577	0.83	0.472
hundred and	un très hard	0.482	0.90	0.686
the upper	drape	0.488	1.00	0.000
the murderer	son être	0.477	1.00	0.798
like an	label	0.556	0.83	0.473
the tail	t il	0.571	0.83	0.880
boat was	but vases	0.577	0.86	0.597
the moon	on une	0.461	0.80	0.745
the quarter	déclare	0.462	0.86	0.415
the stern	d n	0.478	0.83	0.683
at sea	et si	0.665	1.00	0.840
the leviathan	délais et n	0.483	0.82	0.656
sea the	ces a	0.526	1.00	0.742
the fiend	décide	0.471	0.83	0.441
men and	main un	0.530	0.83	0.798
world and	golden	0.472	0.86	0.451
though not	son hôte	0.488	0.83	0.767
much for	met for	0.690	0.86	0.699
need not	nous nantes	0.583	1.00	0.497
which might	et smart	0.535	0.88	0.473
darcy and	partiel	0.456	0.88	0.321
the common	décan n	0.503	1.00	0.278
any rate	on arrête	0.499	0.86	0.767
me by	moment	0.494	0.80	0.725
it should	est sud	0.486	1.00	0.596
to jane	t jeune	0.582	0.86	0.514
the north	son or	0.545	0.83	0.817
with mr	les piste	0.523	1.00	0.557
as any	aux aînés	0.619	1.00	0.344
my poor	major	0.641	0.83	0.591
depend upon	pain domaine	0.534	0.89	0.463
his character	les correct	0.505	1.00	0.527
at their	as air	0.600	1.00	0.798
what can	et cane	0.508	0.83	0.564
them as	venise	0.476	1.00	0.476
and make	as mec	0.478	0.86	0.694
well to	veulent où	0.718	1.00	0.494
for though	forte	0.629	0.83	0.516
that were	tatoué	0.512	1.00	0.139
would never	un ève	0.683	0.83	0.429
came from	kit rome	0.521	0.88	0.415
had better	et par	0.492	0.83	0.817
with no	les nos	0.475	0.83	0.558
she added	viande	0.479	0.80	0.424
make it	méthode	0.553	0.83	0.468
the power	sympa	0.517	0.80	0.468
might not	man as	0.590	0.86	0.890
two years	tir	0.475	0.83	0.407
darcy was	dans élèves	0.474	0.88	0.557
the smallest	d modeste	0.528	1.00	0.517
had made	et merde	0.490	0.86	0.644
by him	baptême	0.683	0.83	0.292
he sat	et êtes	0.519	0.80	0.584
have ever	élèves	0.592	0.80	0.495
without being	les et bine	0.460	0.80	0.462
him on	on n	0.499	0.80	0.893
heart and	artiste	0.486	0.86	0.472
know it	noël	0.504	0.80	0.480
her face	et haïssent	0.479	0.83	0.441
than he	jeudi	0.519	0.80	0.478
expression of	s prison f	0.554	1.00	0.674
see what	silence	0.593	1.00	0.603
at pemberley	et pain plie	0.570	1.00	0.436
go on	baronne	0.552	1.00	0.388
long as	son aise	0.485	1.00	0.767
the distance	d stade	0.452	0.78	0.591
in short	on short	0.778	1.00	0.689
cried elizabeth	créait les baisse	0.502	0.92	0.392
place in	plus n	0.647	0.86	0.619
the wild	bavarde	0.456	0.86	0.106
in them	ils aiment	0.597	1.00	0.767
them for	vain for	0.671	1.00	0.817
behaviour to	pays et où	0.473	0.88	0.837
how many	gamin et	0.450	0.86	0.546
not do	d tout	0.500	1.00	0.656
piece of	pas as	0.482	1.00	0.741
me what	milan	0.608	0.80	0.316
could only	but on lie	0.556	0.88	0.717
made up	madame	0.505	0.83	0.775
let the	laid de	0.714	1.00	0.767
again in	rien n	0.558	1.00	0.848
where she	merci	0.560	1.00	0.656
turning to	on un tout	0.556	0.86	0.700
my feelings	met héloïse	0.493	0.89	0.430
few moments	sinon hertz	0.484	0.82	0.271
did she	d j	0.608	1.00	0.655
listen to	les en tout	0.653	1.00	0.782
but of	but if	0.500	1.00	0.921
this world	d lord	0.452	1.00	0.633
have some	as home	0.481	0.83	0.695
them that	thèmes a	0.489	0.83	0.647
and found	in tarde	0.459	0.88	0.565
or to	eurent où	0.740	1.00	0.358
it by	et bah	0.528	0.80	0.561
can hardly	canards dit	0.609	0.89	0.422
many years	main erreur	0.480	0.88	0.462
on either	on il	0.540	1.00	0.789
occurred to	était tout	0.548	1.00	0.798
was left	les laisse	0.475	0.86	0.798
the company	chacun petit	0.528	1.00	0.393
it over	grave	0.472	0.80	0.509
the loss	police	0.458	1.00	0.561
she cried	secrète	0.477	0.86	0.332
and without	un des out	0.485	0.89	0.806
when my	vain ma	0.563	0.83	0.508
his daughter	s or	0.605	0.83	0.855
confess that	con fesses as	0.618	1.00	0.471
concerning the	con son un de	0.536	1.00	0.701
on and	on hard	0.531	1.00	0.624
for any	forain a	0.539	1.00	0.494
what has	et case	0.481	0.83	0.659
came in	copine	0.584	0.83	0.422
he now	un are	0.488	0.80	0.754
life of	land if	0.458	0.83	0.622
off to	ont tout	0.637	1.00	0.767
you did	but aides	0.476	1.00	0.607
among them	mon thème	0.557	0.86	0.483
ever since	s s	0.563	0.83	0.814
and also	en donnent au	0.509	0.88	0.694
that such	d patch	0.554	1.00	0.478
off from	est femme	0.471	0.83	0.518
back in	bancaire	0.494	1.00	0.361
that that	dit cet	0.473	1.00	0.767
what did	et z	0.488	0.83	0.530
these were	disait	0.522	0.80	0.507
stand by	stand bah	0.739	0.88	0.396
the facts	d actes	0.465	0.86	0.578
his back	les bac	0.456	1.00	0.551
the wall	viol	0.565	0.80	0.376
my friends	mat rhin d	0.547	0.89	0.373
stubb and	stupide	0.601	0.86	0.369
the seas	d use	0.490	1.00	0.635
thou art	yaourt	0.535	0.83	0.214
to leeward	police	0.475	0.83	0.561
cried stubb	grand stop	0.507	0.89	0.514
chapter chapter	tchad chatte	0.616	0.80	0.247
who are	voire	0.478	1.00	0.476
all things	holdings	0.474	0.83	0.106
three years	prière	0.478	0.86	0.382
the picture	débecte	0.457	0.86	0.000
of no	n au	0.475	0.80	0.614
and nothing	in dancing	0.476	1.00	0.609
had at	en hâte	0.537	0.80	0.767
the party	reparti	0.527	1.00	0.267
you come	yoga	0.458	0.80	0.263
heard that	et cette	0.473	0.83	0.798
to visit	devez if	0.512	1.00	0.506
over it	aux dette	0.558	0.83	0.439
intended to	on n tout	0.670	0.78	0.776
morning and	man un in	0.479	0.89	0.791
and once	on douanes	0.505	0.86	0.537
jane was	viennoise	0.534	0.88	0.022
her at	honnête	0.495	0.80	0.379
never saw	neiges on	0.601	1.00	0.543
that which	d lèche	0.475	0.86	0.449
but was	but as	0.490	0.83	0.963
nor was	normal	0.605	1.00	0.505
said in	saint n	0.646	1.00	0.627
pleasure of	plus rêve	0.616	1.00	0.526
she should	chiffres	0.580	0.80	0.476
than she	on chie	0.600	0.80	0.510
but these	but disent	0.655	1.00	0.524
had she	et j	0.527	0.80	0.848
of happiness	assassin s	0.473	0.89	0.798
eyes of	arrive	0.592	0.80	0.459
turned to	n tout	0.597	0.83	0.611
before she	et archi	0.605	1.00	0.457
pair of	preuve	0.573	0.80	0.516
how long	colonne	0.502	0.83	0.363
were now	on are	0.491	0.80	0.832
it came	et comme	0.490	0.83	0.830
care of	courage	0.470	1.00	0.548
to avoid	tours ode	0.574	0.86	0.269
her head	caïd	0.497	0.80	0.152
the pleasure	rappeler	0.454	0.83	0.466
drawing room	drain rome	0.697	0.88	0.313
elizabeth could	les avaient code	0.512	1.00	0.622
yes it	yeux s	0.589	1.00	0.767
length of	lin love	0.582	1.00	0.433
you might	commente	0.464	0.83	0.275
made her	mais que	0.500	0.83	0.767
desire to	deux et où	0.565	0.86	0.816
room in	on n	0.479	0.80	0.893
all its	office	0.561	0.80	0.509
beyond the	bien de	0.653	0.86	0.840
the church	d sèches	0.469	0.86	0.465
come in	con n	0.616	1.00	0.550
think you	son cou	0.494	0.83	0.767
the largest	dollars liste	0.524	1.00	0.484
rather than	riches n	0.540	1.00	0.521
up for	est or	0.581	0.80	0.717
before my	et arma	0.517	0.86	0.441
father was	pas vases	0.480	1.00	0.479
either side	ils as	0.498	0.83	0.717
there the	chairs a	0.501	1.00	0.767
he turned	et hard	0.476	0.83	0.573
my head	malades	0.630	0.83	0.397
trying to	doyen tout	0.545	1.00	0.411
my power	médaille	0.478	0.83	0.401
hard to	hard on	0.500	0.83	0.767
almost as	allemand as	0.460	0.78	0.589
led to	laid tout	1.000	1.00	0.537
between them	bien thème	0.608	0.88	0.485
coming to	copain tout	0.647	1.00	0.466
as before	aux est or	0.453	1.00	0.629
over and	aux rendre	0.469	0.86	0.399
but so	but saut	0.683	0.83	0.582
more the	maures a	0.703	1.00	0.541
the green	regret	0.540	0.83	0.493
the weather	chouette	0.480	0.80	0.336
this one	les veines	0.470	1.00	0.767
then to	son tout	0.622	1.00	0.633
is true	aux trou	0.681	1.00	0.441
upon which	épanouissent	0.498	0.88	0.028
myself in	mas aident n	0.658	0.89	0.355
the centre	d n	0.488	0.83	0.683
is still	s il	0.500	0.83	0.898
sir said	saint aides	0.715	1.00	0.487
upon them	bandes aimes	0.563	0.86	0.370
if to	et tout	0.623	1.00	0.817
the sky	deux cas	0.490	0.83	0.767
this old	dit hard	0.456	0.86	0.523
the creature	décrite	0.608	0.86	0.273
and round	in rendre	0.457	0.88	0.616
fish and	façade	0.539	0.83	0.338
the indian	son tiennent	0.474	0.88	0.507
the vast	défaite	0.480	0.83	0.441
the greenland	chagrin le	0.518	0.80	0.434
almost every	n osent offrit	0.495	0.91	0.561
of mrs	aux mais use	0.455	1.00	0.525
and jane	in gin	0.563	0.88	0.516
subject of	objectif	0.585	0.80	0.507
over her	aux que	0.481	0.80	0.593
history of	et drive	0.460	0.88	0.589
or any	arrêter	0.500	1.00	0.537
not much	but matchs	0.594	1.00	0.643
this same	dit somme	0.486	0.86	0.544
impossible to	on pas veulent où	0.574	1.00	0.596
miss de	mains de	0.715	1.00	0.798
feelings of	filon savent	0.689	1.00	0.267
was always	les osseuse	0.533	0.78	0.431
but her	but a	0.507	0.80	0.965
reason of	raison as	0.504	1.00	0.631
and see	un si	0.627	1.00	0.798
conversation with	cannes saison s	0.450	0.85	0.517
it again	urbaine	0.546	0.83	0.357
the feelings	syphilis	0.492	0.88	0.120
all about	élégante	0.482	0.86	0.242
must go	mat go	0.676	0.86	0.404
impossible for	on pas veulent or	0.510	1.00	0.669
me you	midi	0.594	1.00	0.524
had always	et héloïse	0.461	0.78	0.541
said her	sait a	0.634	0.80	0.634
mother and	mais rendent	0.575	0.86	0.471
but for	but for	0.817	1.00	0.924
fear that	filles as	0.479	1.00	0.637
to another	tournée	0.479	0.83	0.430
had brought	est prête	0.493	0.86	0.767
mrs hurst	mais lest	0.603	0.78	0.498
where they	verres a	0.509	0.83	0.630
in silence	on salaire	0.482	0.78	0.628
wonder that	n dette	0.548	0.86	0.511
illustration the	les trahison le	0.543	0.92	0.563
most of	mots top	0.575	0.86	0.397
can have	con as	0.489	0.83	0.663
and indeed	in in in	0.461	1.00	0.913
to learn	domaine	0.470	1.00	0.528
by your	major	0.476	0.83	0.591
time but	tablette	0.613	0.86	0.315
hear of	grave	0.505	0.80	0.509
we will	réel	0.481	0.80	0.461
to bed	tombé	0.519	0.80	0.432
affection for	et excellent or	0.529	1.00	0.665
the drawing	laid rome	0.559	0.86	0.529
you so	yeux au	0.531	0.80	0.798
was nothing	oies nautique	0.473	1.00	0.139
of each	invite	0.565	0.80	0.422
all to	aident où	0.626	1.00	0.363
which must	laid must	0.512	0.88	0.597
to call	lequel	0.595	1.00	0.410
good bye	goût pas	0.524	0.83	0.474
her feelings	est héloïse	0.454	0.88	0.489
the bell	label	0.691	1.00	0.473
you all	duel	0.494	1.00	0.446
to let	télé	0.523	0.80	0.480
it if	bref	0.481	1.00	0.503
he knew	gain où	0.524	1.00	0.462
the effect	détecte	0.629	0.86	0.177
at intervals	arrêtent vol	0.481	0.89	0.371
that ever	but ève	0.661	1.00	0.507
thought he	sont qui	0.496	1.00	0.586
the sort	d or	0.488	0.83	0.855
as of	élèves	0.522	1.00	0.495
she thought	château	0.488	0.80	0.660
does the	dans le	0.581	1.00	0.961
to prevent	après n	0.513	0.78	0.562
was gone	les conne	0.581	1.00	0.460
for several	fort aux rôles	0.636	1.00	0.410
and again	on dégaine	0.666	1.00	0.465
mind and	man en est	0.532	0.88	0.808
there for	d or	0.556	0.83	0.855
went on	on tonnes	0.703	0.83	0.611
yet in	est une	0.613	0.80	0.880
then with	génoise	0.484	1.00	0.047
nothing more	d un maures	0.596	1.00	0.664
only that	on les êtes	0.513	0.88	0.694
this he	dit qui	0.488	1.00	0.661
years of	heures as	0.485	0.83	0.589
the law	cela	0.511	1.00	0.469
was indeed	les on dite	0.509	1.00	0.630
some little	son lord	0.460	0.88	0.610
was seen	les fine	0.570	1.00	0.622
the year	dehors	0.498	0.80	0.516
fact that	fixes a	0.483	0.86	0.605
we could	liquide	0.611	1.00	0.405
the storm	des ormes	0.559	0.86	0.767
up from	hot ram	0.487	1.00	0.264
king of	con as	0.487	1.00	0.663
cry of	drive	0.541	0.83	0.466
then and	son n	0.483	0.83	0.659
at every	arrêts dit	0.563	1.00	0.475
light of	land as	0.494	0.83	0.660
and only	un ton lie	0.592	0.88	0.639
sun and	son in	0.460	0.83	0.883
touching the	t sain de	0.550	1.00	0.552
whale fishery	veulent cries	0.498	0.78	0.461
that same	d terme	0.479	1.00	0.626
the seamen	d humaines	0.628	1.00	0.546
the parsee	repas et	0.472	0.86	0.767
pride and	prends hard	0.624	0.88	0.425
than in	dizaines	0.488	1.00	0.403
it does	et douze	0.498	1.00	0.830
the peculiar	spéculaire	0.472	0.80	0.000
letter from	laid rome	0.619	0.86	0.529
if this	s s	0.487	1.00	0.814
and has	en dise	0.541	0.83	0.767
time when	termine	0.538	0.86	0.407
all those	elles use	0.494	0.83	0.444
our own	arrière	0.461	0.83	0.512
collins was	calmes as	0.501	0.88	0.537
nothing could	d un code	0.464	1.00	0.716
the new	son où	0.626	1.00	0.584
both of	but if	0.482	0.83	0.921
where it	ouest	0.675	0.80	0.526
the stairs	d terre	0.554	0.86	0.599
to lose	pelouse	0.804	1.00	0.298
possession of	pas engin as	0.454	1.00	0.561
go and	gaillarde	0.546	1.00	0.060
employed in	un plat in	0.493	0.89	0.806
an excellent	on excellentes	0.630	0.90	0.535
spent in	spot in	0.505	1.00	0.817
meant to	mettent tous	0.723	1.00	0.767
said mrs	sait mais il	0.551	1.00	0.685
honour of	on rêve	0.534	1.00	0.654
an air	un air	0.755	1.00	0.817
the principal	reprises pale	0.552	0.91	0.502
met with	met il	0.665	0.83	0.627
catherine and	quatrain en est	0.467	1.00	0.520
to seek	tous hic	0.786	1.00	0.347
than his	venise	0.511	0.83	0.476
every other	ouvriers	0.540	1.00	0.388
human being	roumain mine	0.487	0.80	0.362
to talk	tout oc	0.786	1.00	0.376
and could	in code	0.463	1.00	0.601
her friend	et restent	0.455	0.86	0.581
as yet	aux êtes	0.613	0.80	0.453
no sooner	d une	0.490	0.83	0.937
shall soon	chaînes une	0.573	1.00	0.488
and two	en tout	0.647	0.80	0.767
house in	fascine	0.507	0.83	0.164
her hand	écharde	0.453	0.83	0.000
father had	pas aides	0.502	0.83	0.489
or four	et or	0.555	0.80	0.767
mrs philips	mais est ellipse	0.573	0.91	0.561
talk of	occupe	0.474	0.80	0.455
from you	frein yeux	0.587	1.00	0.333
to send	tout n	0.568	0.83	0.767
see her	signé	0.579	1.00	0.449
and where	en leur	0.513	0.83	0.798
they must	déteste	0.546	0.86	0.430
so and	sorel	0.537	0.83	0.168
of many	aux mini	0.555	1.00	0.441
in england	in glace	0.528	0.78	0.667
and soon	en donne	0.513	0.83	0.798
they all	viol	0.585	0.80	0.376
been at	bain a	0.542	0.80	0.677
to wait	faillite	0.481	0.83	0.340
to write	pirates	0.588	0.83	0.388
believe it	bleus if	0.569	1.00	0.456
us that	as êtes	0.491	1.00	0.637
presence of	prêts on savent	0.750	1.00	0.551
of mind	aux malte	0.451	0.86	0.342
again but	gain but	0.504	0.86	0.767
bit of	but if	0.512	1.00	0.921
my cousin	marquis n	0.600	1.00	0.556
do the	deux à	0.497	1.00	0.817
at rosings	et rots n	0.462	0.78	0.415
only by	on libère	0.562	0.88	0.542
but without	but ouais out	0.598	1.00	0.550
on with	honnête	0.601	0.80	0.379
the prospect	prospects	0.727	0.80	0.388
prospect of	prends piquent as	0.582	1.00	0.458
the small	d mole	0.663	1.00	0.428
on its	on s	0.554	0.80	0.767
had an	et n	0.515	0.80	0.855
dared not	d nantes	0.570	0.86	0.560
never be	nains but	0.474	1.00	0.522
to bear	hiver	0.588	0.80	0.495
call it	collègues	0.673	1.00	0.420
and many	n mini	0.640	1.00	0.513
the money	demain en	0.480	1.00	0.767
friends and	frênes in	0.609	0.78	0.452
it now	n a	0.543	0.80	0.883
turn to	on tout	0.654	0.80	0.720
to pursue	s ou	0.569	0.80	0.645
family and	familiale	0.482	0.89	0.380
without the	les et de	0.456	0.88	0.865
this day	des deux	0.490	0.83	0.830
my room	madame	0.649	0.83	0.775
is on	aux hommes	0.503	1.00	0.798
told you	tout yeux	0.451	0.86	0.494
as when	aux n	0.588	0.80	0.565
at some	et tome	0.522	1.00	0.767
three days	tries s	0.502	0.86	0.521
one that	en cette	0.491	0.83	0.798
whether it	les dette	0.486	1.00	0.546
something like	son pain lac	0.590	0.90	0.636
perceived that	pistes as	0.467	0.88	0.605
that part	d carte	0.545	1.00	0.613
middle of	mais love	0.572	0.86	0.598
the mere	son air	0.482	1.00	0.767
and looking	on jogging	0.457	1.00	0.511
have come	des came	0.464	1.00	0.649
seemed the	cimes de	0.833	1.00	0.438
taken place	pékin place	0.564	0.82	0.459
us but	aux but	0.498	1.00	0.675
ever and	hybride	0.473	0.83	0.277
every way	ouvriers	0.566	0.86	0.388
the wood	secondes	0.464	1.00	0.482
when all	on elle	0.498	0.80	0.712
his voice	aux force	0.458	0.86	0.482
reference to	refrain tout	0.746	0.89	0.445
come from	con femme	0.576	0.86	0.425
chair and	terrible	0.494	0.86	0.591
red headed	remettre	0.483	0.86	0.296
name is	remise	0.495	0.83	0.432
over with	aux ville	0.505	0.83	0.457
the back	typique	0.476	1.00	0.332
what then	as n	0.571	0.83	0.749
and fro	in front	0.456	0.86	0.883
he ll	diesel	0.570	1.00	0.327
hat and	et hard	0.486	0.83	0.573
his forehead	aident horaires	0.484	0.78	0.272
the landlord	dollars lord	0.624	1.00	0.496
he not	en hâte	0.540	0.80	0.767
the inspector	bien pacte	0.530	0.89	0.433
here in	prenne	0.493	0.80	0.365
ship the	chefs a	0.501	1.00	0.577
feet and	fut n	0.487	0.83	0.576
the human	cérumen	0.473	0.88	0.000
the snow	dans nos	0.484	0.83	0.817
the grand	regrette	0.526	0.86	0.399
feet in	fait une	0.609	1.00	0.830
the harpooneer	charbon in	0.459	0.80	0.629
the waters	devises	0.465	0.83	0.233
aye and	arabes	0.451	0.80	0.428
it there	s air	0.600	1.00	0.767
above all	pas elle	0.479	0.83	0.594
from any	fripon a	0.548	1.00	0.595
first place	fait plus	0.532	0.78	0.767
before her	et aurait	0.457	0.83	0.561
enough for	on est fort	0.615	1.00	0.871
whether the	ouais se	0.672	1.00	0.767
the thought	d hôte	0.462	1.00	0.767
