unit	ipa	kind
c'ado	sado	elision
c'adolescent	sadolɛsɑ̃	elision
c'andrew	(en)siandɹu(fɹ)	elision
c'appartements	sapaɹtəmɑ̃	elision
c'arrêtée	saɹɛte	elision
c'habitué	sabitye	elision
c'hervé	sɛɹve	elision
c'instagram	sɛ̃staɡɹam	elision
c'introduire	sɛ̃tɹodyiɹ	elision
c'obligée	sɔbliʒe	elision
c'ongles	sɔ̃ɡl	elision
c'opposant	sɔpozɑ̃	elision
c'ouvertement	suvɛɹtəmɑ̃	elision
c'ouvrent	suvɹ	elision
c'écoutes	sekut	elision
c'éloigne	selwaɲ	elision
c'évènement	sevɛnmɑ̃	elision
c'accompagnement	sakɔ̃paɲə-mɑ̃	elision
c'affirmation	safiɹmatjɔ̃	elision
c'ajoutant	saʒutɑ̃	elision
c'alan	salan	elision
c'amant	samɑ̃	elision
c'andy	(en)siandi(fɹ)	elision
c'approuvé	sapɹuve	elision
c'auriez	soɹje	elision
c'autochtones	sotokton	elision
c'axes	saks	elision
c'edward	(en)siɛdwəd(fɹ)	elision
c'emmener	sɑ̃mne	elision
c'emmène	sɑ̃mɛn	elision
c'ennuie	sɑ̃nyi	elision
c'entité	sɑ̃tite	elision
c'entrent	sɑ̃tɹ	elision
c'eva	seva	elision
c'exacte	sɛɡzakt	elision
c'extérieurs	sɛksteɹjœɹ	elision
c'id	sid	elision
c'impatience	sɛ̃pasjɑ̃s	elision
c'intellectuel	sɛ̃tɛlɛktyɛl	elision
c'internautes	sɛ̃tɛɹnot	elision
c'invitée	sɛ̃vite	elision
c'obliger	sɔbliʒe	elision
c'obstacle	sɔbstakl	elision
c'oise	swaz	elision
c'ong	soɛnʒe	elision
c'opérer	sopeɹe	elision
c'orthographe	sɔɹtɔɡɹaf	elision
c'otage	sotaʒ	elision
c'otan	sotɑ̃	elision
c'ouf	suf	elision
c'urss	syɹs	elision
c'é	səaksɑ̃tɛɡy	elision
c'épouser	sepuze	elision
c'équipé	sekipe	elision
c'abattu	sabaty	elision
c'accessibles	saksɛsibl	elision
c'activement	saktivmɑ̃	elision
c'adaptée	sadapte	elision
c'alpha	salfa	elision
c'amont	samɔ̃	elision
c'ap	sap	elision
c'ascenseur	sasɑ̃sœɹ	elision
c'athlète	satlɛt	elision
c'attacher	sataʃe	elision
c'aîné	sɛne	elision
c'embauche	sɑ̃boʃ	elision
c'exposer	sɛkspoze	elision
c'héroïne	seɹɔin	elision
c'infini	sɛ̃fini	elision
c'instar	sɛ̃staɹ	elision
c'insupportable	sɛ̃sypɔɹtabl	elision
c'intrigue	sɛ̃tɹiɡ	elision
c'organisées	sɔɹɡanize	elision
c'organisés	sɔɹɡanize	elision
c'âgés	saʒe	elision
c'écosse	sekɔs	elision
c'épais	sepɛ	elision
c'éteindre	setɛ̃dɹ	elision
c'évacuation	sevakyatjɔ̃	elision
c'admet	sadmɛ	elision
c'agissant	saʒisɑ̃	elision
c'amiens	samjɛ̃	elision
c'annulation	sanylatjɔ̃	elision
c'antonio	sɑ̃tonjo	elision
c'arbitrage	saɹbitɹaʒ	elision
c'athènes	satɛn	elision
c'autel	sotɛl	elision
c'authentique	(en)siɔθəntik(fɹ)	elision
c'autorisés	sotoɹize	elision
c'effectués	sefɛktye	elision
c'empêché	sɑ̃pɛʃe	elision
c'encre	sɑ̃kɹ	elision
c'envisage	sɑ̃vizaʒ	elision
c'exécuter	sɛɡzekyte	elision
c'habiller	sabije	elision
c'habituel	sabityɛl	elision
c'honoré	sonoɹe	elision
c'ie	si	elision
c'if	sif	elision
c'imposition	sɛ̃pozisjɔ̃	elision
c'imprimé	sɛ̃pɹime	elision
c'inclut	sɛ̃kly	elision
c'infraction	sɛ̃fɹaktjɔ̃	elision
c'infrastructure	sɛ̃fɹastɹyktyɹ	elision
c'innocence	sinosɑ̃s	elision
c'interroge	sɛ̃tɛɹɔʒ	elision
c'om	sɔm	elision
c'organique	sɔɹɡanik	elision
c'oubli	subli	elision
c'und	sœ̃d	elision
c'âges	saʒ	elision
c'énerve	senɛɹv	elision
c'épidémie	sepidemi	elision
c'évoqué	sevoke	elision
c'ô	so	elision
c'allemandes	salmɑ̃d	elision
c'aluminium	salyminjɔm	elision
c'améliore	sameljɔɹ	elision
c'animale	sanimal	elision
c'ann	san	elision
c'appartenance	sapaɹtənɑ̃s	elision
c'approbation	sapɹobatjɔ̃	elision
c'associer	sasosje	elision
c'augustin	soɡystɛ̃	elision
c'autobus	sotoby	elision
c'autorisée	sotoɹize	elision
c'effectuée	sefɛktye	elision
c'er	se	elision
c'expliquent	sɛksplik	elision
c'explosé	sɛksploze	elision
c'exportations	sɛkspɔɹtatjɔ̃	elision
c'exposés	sɛkspoze	elision
c'extraction	sɛkstɹaktjɔ̃	elision
c'hautement	sotmɑ̃	elision
c'hébergement	sebɛɹʒəmɑ̃	elision
c'identiques	sidɑ̃tik	elision
c'implication	sɛ̃plikatjɔ̃	elision
c'instances	sɛ̃stɑ̃s	elision
c'instinct	sɛ̃stɛ̃	elision
c'intellectuels	sɛ̃tɛlɛktyɛl	elision
c'intégrale	sɛ̃teɡɹal	elision
c'irais	siɹɛ	elision
c'ironie	siɹoni	elision
c'occidental	sɔksidɑ̃tal	elision
c'occupés	sɔkype	elision
c'unanimité	synanimite	elision
c'étonné	setɔne	elision
c'étroite	setɹwat	elision
c'achevé	saʃve	elision
c'adolescence	sadolɛsɑ̃s	elision
c'alternatives	saltɛɹnativ	elision
c'ambitieux	sɑ̃bisjø	elision
c'amours	samuɹ	elision
c'annie	sani	elision
c'approvisionnement	sapɹovizjɔnmɑ̃	elision
c'arrange	saɹɑ̃ʒ	elision
c'arrêtent	saɹɛt	elision
c'artificielle	saɹtifisjɛl	elision
c'ascension	sasɑ̃sjɔ̃	elision
c'aériennes	saeɹjɛn	elision
c'emprunt	sɑ̃pɹœ̃	elision
c'encadrement	sɑ̃kadɹəmɑ̃	elision
c'encourage	sɑ̃kuɹaʒ	elision
c'entendent	sɑ̃tɑ̃d	elision
c'escaliers	sɛskalje	elision
c'essor	sesɔɹ	elision
c'exécuté	sɛɡzekyte	elision
c'hard	saɹd	elision
c'hubert	sybɛɹ	elision
c'humidité	symidite	elision
c'implantation	sɛ̃plɑ̃tatjɔ̃	elision
c'impulsion	sɛ̃pylsjɔ̃	elision
c'incapacité	sɛ̃kapasite	elision
c'industrielles	sɛ̃dystɹiɛl	elision
c'opposés	sɔpoze	elision
c'oublions	subliɔ̃	elision
c'éclat	sekla	elision
c'éclate	seklat	elision
c'élan	selɑ̃	elision
c'élire	seliɹ	elision
c'étienne	setjɛn	elision
c'évoquer	sevoke	elision
c'accroître	sakɹwatɹ	elision
c'agi	saʒi	elision
c'agisse	saʒis	elision
c'aidez	sɛde	elision
c'algériens	salʒeɹjɛ̃	elision
c'allah	sala	elision
c'allusion	salyzjɔ̃	elision
c'effectuées	sefɛktye	elision
c'elizabeth	(en)siɛlɪzeɪbəθ(fɹ)	elision
c'employeurs	sɑ̃plwajœɹ	elision
c'entreprendre	sɑ̃tɹəpɹɑ̃dɹ	elision
c'exceptions	sɛksɛptjɔ̃	elision
c'exploit	sɛksplwa	elision
c'hormis	sɔɹmi	elision
c'hélicoptère	selikɔptɛɹ	elision
c'ier	sje	elision
c'impériale	sɛ̃peɹjal	elision
c'injection	sɛ̃ʒɛktjɔ̃	elision
c'intimité	sɛ̃timite	elision
c'isolement	sizolmɑ̃	elision
c'occurrence	sɔkyɹɑ̃s	elision
c'opportunités	sɔpɔɹtynite	elision
c'orage	soɹaʒ	elision
c'ordonne	sɔɹdɔn	elision
c'ouvrant	suvɹɑ̃	elision
c'échantillons	seʃɑ̃tijɔ̃	elision
c'œuf	sœf	elision
c'abandonnée	sabɑ̃dɔne	elision
c'administratifs	sadministɹatif	elision
c'agressions	saɡɹɛsjɔ̃	elision
c'aisément	sɛzemɑ̃	elision
c'ajoutée	saʒute	elision
c'algérienne	salʒeɹjɛn	elision
c'amical	samikal	elision
c'appartenait	sapaɹtənɛ	elision
c'appli	sapli	elision
c'approprié	sapɹɔpɹie	elision
c'arnaque	saɹnak	elision
c'artistiques	saɹtistik	elision
c'assurant	sasyɹɑ̃	elision
c'atteints	satɛ̃	elision
c'attraper	satɹape	elision
c'audition	soditjɔ̃	elision
c'ei	sɛ	elision
c'enlèvement	sɑ̃lɛvmɑ̃	elision
c'entrevue	sɑ̃tɹəvy	elision
c'essentiels	sesɑ̃sjɛl	elision
c'estimer	sɛstime	elision
c'evidemment	sevidamɑ̃	elision
c'existé	sɛɡziste	elision
c'hotel	sotɛl	elision
c'immigrés	simiɡɹe	elision
c'imposant	sɛ̃pozɑ̃	elision
c'imprimer	sɛ̃pɹime	elision
c'infanterie	sɛ̃fɑ̃tɹi	elision
c'injustice	sɛ̃ʒystis	elision
c'interpréter	sɛ̃tɛɹpɹete	elision
c'économiser	sekonomize	elision
c'éliminé	selimine	elision
c'éloigné	selwanje	elision
c'émergence	semɛɹʒɑ̃s	elision
c'adopte	sadɔpt	elision
c'adressé	sadɹɛse	elision
c'aires	sɛɹ	elision
c'alberta	salbɛɹta	elision
c'alimenter	salimɑ̃te	elision
c'angela	sɑ̃ʒla	elision
c'annoncée	sanɔ̃se	elision
c'apparente	sapaɹɑ̃t	elision
c'appelez	saple	elision
c'appuyant	sapyijɑ̃	elision
c'athlètes	satlɛt	elision
c'attraction	satɹaktjɔ̃	elision
c'aurions	soɹjɔ̃	elision
c'automobiles	sotomobil	elision
c'autoriser	sotoɹize	elision
c'auvergne	sovɛɹɲ	elision
c'avortement	savɔɹtəmɑ̃	elision
c'effondrement	sefɔ̃dɹəmɑ̃	elision
c'enchères	sɑ̃ʃɛɹ	elision
c'ennui	sɑ̃nyi	elision
c'ensembles	sɑ̃sɑ̃bl	elision
c'enterré	sɑ̃tɛɹe	elision
c'essayant	sesɛjɑ̃	elision
c'estiment	sɛstim	elision
c'ete	(en)siit(fɹ)	elision
c'extérieures	sɛksteɹjœɹ	elision
c'habits	sabi	elision
c'harper	saɹpe	elision
c'hostile	sɔstil	elision
c'howard	(en)sihaʊəd(fɹ)	elision
c'hypothèses	sipotɛz	elision
c'illégale	sileɡal	elision
c'imposent	sɛ̃pozɑ̃	elision
c'incapables	sɛ̃kapabl	elision
c'indicateurs	sɛ̃dikatœɹ	elision
c'ingénierie	sɛ̃ʒeniɹi	elision
c'inscrite	sɛ̃skɹit	elision
c'inspirer	sɛ̃spiɹe	elision
c'intermédiaires	sɛ̃tɛɹmedjɛɹ	elision
c'inédit	sinedi	elision
c'observateur	sɔbsɛɹvatœɹ	elision
c'obtention	sɔbtɑ̃tjɔ̃	elision
c'oral	soɹal	elision
c'éclater	seklate	elision
c'écrites	sekɹit	elision
c'équation	sekwatjɔ̃	elision
c'étendu	setɑ̃dy	elision
c'éternité	setɛɹnite	elision
c'aboutir	sabutiɹ	elision
c'accélérer	sakseleɹe	elision
c'acquise	sakiz	elision
c'ados	sado	elision
c'adresses	sadɹɛs	elision
c'alfred	(en)sialfɹɪd(fɹ)	elision
c'angles	sɑ̃ɡl	elision
c'assiste	sasist	elision
c'assurent	sasyɹ	elision
c'avoué	savwe	elision
c'employée	sɑ̃plwaje	elision
c'enregistre	sɑ̃ɹʒistɹ	elision
c'escalade	sɛskalad	elision
c'exiger	sɛɡziʒe	elision
c'haïti	saiti	elision
c'hd	(en)sihd(fɹ)	elision
c'homo	somo	elision
c'horloge	sɔɹlɔʒ	elision
c'inauguration	sinoɡyɹatjɔ̃	elision
c'indication	sɛ̃dikatjɔ̃	elision
c'individuels	sɛ̃dividyɛl	elision
c'intelligents	sɛ̃tɛliʒɑ̃	elision
c'interdits	sɛ̃tɛɹdi	elision
c'inévitable	sinevitabl	elision
c'israélien	sisɹaeljɛ̃	elision
c'itinéraire	sitineɹɛɹ	elision
c'originalité	soɹiʒinalite	elision
c'originaux	soɹiʒino	elision
c'écraser	sekɹaze	elision
c'édité	sedite	elision
c'abeilles	sabɛj	elision
c'abolition	sabolitjɔ̃	elision
c'accuser	sakyze	elision
c'administrations	sadministɹatjɔ̃	elision
c'admirer	sadmiɹe	elision
c'affecte	safɛkt	elision
c'aiguille	sɛɡyij	elision
c'ajout	saʒu	elision
c'arranger	saɹɑ̃ʒe	elision
c'attribuer	satɹibye	elision
c'auberge	sobɛɹʒ	elision
c'australien	sostɹaljɛ̃	elision
c'ecoute	sekut	elision
c'emmerde	sɑ̃mɛɹd	elision
c'entoure	sɑ̃tuɹ	elision
c'ep	sɛp	elision
c'ethnique	(en)siɛθnik(fɹ)	elision
c'habiter	sabite	elision
c'hamilton	samiltɔ̃	elision
c'homosexualité	somozɛksyalite	elision
c'humanitaire	symanitɛɹ	elision
c'humble	sœ̃bl	elision
c'ian	sjɑ̃	elision
c'imposée	sɛ̃poze	elision
c'indications	sɛ̃dikatjɔ̃	elision
c'influences	sɛ̃flyɑ̃s	elision
c'inquiet	sɛ̃kjɛ	elision
c'inspirée	sɛ̃spiɹe	elision
c'interface	sɛ̃tɛɹfas	elision
c'intitulée	sɛ̃tityle	elision
c'ipad	(en)siɪpad(fɹ)	elision
c'omar	somaɹ	elision
c'online	sɔ̃lajn	elision
c'orbite	sɔɹbit	elision
c'originales	soɹiʒinal	elision
c'utilisez	sytilize	elision
c'équitable	sekitabl	elision
c'éventuelle	sevɑ̃tyɛl	elision
c'évidente	sevidɑ̃t	elision
c'évolutions	sevolysjɔ̃	elision
c'aborde	sabɔɹd	elision
c'aimée	sɛme	elision
c'ajoutent	saʒut	elision
c'ambitions	sɑ̃bitjɔ̃	elision
c'apportent	sapɔɹt	elision
c'aquitaine	sakitɛn	elision
c'ar	saɹ	elision
c'edouard	sedwaɹ	elision
c'elysée	selize	elision
c'entrepris	sɑ̃tɹəpɹi	elision
c'entretient	sɑ̃tɹətjɛ̃	elision
c'externes	sɛkstɛɹn	elision
c'homosexuels	somozɛksyɛl	elision
c'impasse	sɛ̃pas	elision
c'incidents	sɛ̃sidɑ̃	elision
c'informatiques	sɛ̃fɔɹmatik	elision
c'insertion	sɛ̃sɛɹtjɔ̃	elision
c'otages	sotaʒ	elision
c'économiste	sekonomist	elision
c'établis	setabli	elision
c'étranges	setɹɑ̃ʒ	elision
c'académique	sakademik	elision
c'acceptation	saksɛptatjɔ̃	elision
c'accroche	sakɹɔʃ	elision
c'accrocher	sakɹoʃe	elision
c'accusés	sakyze	elision
c'acheteur	saʃtœɹ	elision
c'achève	saʃɛv	elision
c'adhérents	sadeɹɑ̃	elision
c'armement	saɹməmɑ̃	elision
c'atteintes	satɛ̃t	elision
c'attendons	satɑ̃dɔ̃	elision
c'audit	sodi	elision
c'austérité	sosteɹite	elision
c'aéronautique	saeɹonotik	elision
c'edition	seditjɔ̃	elision
c'enseignements	sɑ̃sɛɲə-mɑ̃	elision
c'entourée	sɑ̃tuɹe	elision
c'entrain	sɑ̃tɹɛ̃	elision
c'envergure	sɑ̃vɛɹɡyɹ	elision
c'explose	sɛksplɔz	elision
c'expo	sɛkspo	elision
c'exportation	sɛkspɔɹtatjɔ̃	elision
c'expulsion	sɛkspylsjɔ̃	elision
c'habitations	sabitatjɔ̃	elision
c'happy	(en)sihapi(fɹ)	elision
c'herbes	sɛɹb	elision
c'hill	sil	elision
c'immunité	simynite	elision
c'incarne	sɛ̃kaɹn	elision
c'ingrédients	sɛ̃ɡɹedjɑ̃	elision
c'interrogé	sɛ̃tɛɹoʒe	elision
c'intégrée	sɛ̃teɡɹe	elision
c'irait	siɹɛ	elision
c'ordi	sɔɹdi	elision
c'ouvrière	suvɹiɛɹ	elision
c'éclair	seklɛɹ	elision
c'éclaté	seklate	elision
c'africaines	safɹikɛn	elision
c'aidera	sɛdɹa	elision
c'allocation	salokatjɔ̃	elision
c'allumer	salyme	elision
c'anvers	sɑ̃vɛɹ	elision
c'appellation	sapɛlatjɔ̃	elision
c'appelles	sapɛl	elision
c'applicable	saplikabl	elision
c'architectes	saɹʃitɛkt	elision
c'associe	sasosi	elision
c'attribue	satɹiby	elision
c'augmentent	soɡmɑ̃t	elision
c'ego	seɡo	elision
c'emporté	sɑ̃pɔɹte	elision
c'emprisonnement	sɑ̃pɹizɔnmɑ̃	elision
c'enculé	sɑ̃kyle	elision
c'envoient	sɑ̃vwa	elision
c'essentielles	sesɑ̃sjɛl	elision
c'expliquant	sɛksplikɑ̃	elision
c'hi	si	elision
c'historiquement	sistoɹikmɑ̃	elision
c'idiots	sidjo	elision
c'idéale	sideal	elision
c'inclure	sɛ̃klyɹ	elision
c'inconscient	sɛ̃kɔ̃sjɑ̃	elision
c'indienne	sɛ̃djɛn	elision
c'occidentales	sɔksidɑ̃tal	elision
c'offerte	sɔfɛɹt	elision
c'offerts	sɔfɛɹ	elision
c'oliver	solive	elision
c'unesco	synɛsko	elision
c'urbains	syɹbɛ̃	elision
c'écossais	sekɔsɛ	elision
c'élites	selit	elision
c'équipés	sekipe	elision
c'abattre	sabatɹ	elision
c'about	sabu	elision
c'accompagnés	sakɔ̃panje	elision
c'admission	sadmisjɔ̃	elision
c'animée	sanime	elision
c'animés	sanime	elision
c'anneaux	sano	elision
c'annoncent	sanɔ̃s	elision
c'appliquent	saplik	elision
c'arrache	saɹaʃ	elision
c'attachement	sataʃmɑ̃	elision
c'attachée	sataʃe	elision
c'em	sɛm	elision
c'enrichir	sɑ̃ɹiʃiɹ	elision
c'entrant	sɑ̃tɹɑ̃	elision
c'eugène	søʒɛn	elision
c'han	sɑ̃	elision
c'hip	sip	elision
c'honneurs	sɔnœɹ	elision
c'honnêtes	sɔnɛt	elision
c'honteux	sɔ̃tø	elision
c'hydrogène	sidɹoʒɛn	elision
c'hymne	simn	elision
c'hôtes	sot	elision
c'impliquant	sɛ̃plikɑ̃	elision
c'indicateur	sɛ̃dikatœɹ	elision
c'indispensables	sɛ̃dispɑ̃sabl	elision
c'informe	sɛ̃fɔɹm	elision
c'interprété	sɛ̃tɛɹpɹete	elision
c'interruption	sɛ̃tɛɹyptjɔ̃	elision
c'islamiste	sislamist	elision
c'obligatoires	sɔbliɡatwaɹ	elision
c'olive	soliv	elision
c'opposent	sɔpoz	elision
c'ordinaires	sɔɹdinɛɹ	elision
c'user	syze	elision
c'édit	sedi	elision
c'élégance	seleɡɑ̃s	elision
c'éternelle	setɛɹnɛl	elision
c'évacuer	sevakye	elision
c'acceptable	saksɛptabl	elision
c'acceptent	saksɛpt	elision
c'acides	sasid	elision
c'adrien	sadɹiɛ̃	elision
c'affichage	safiʃaʒ	elision
c'affreux	safɹø	elision
c'ajoutez	saʒute	elision
c'aléatoire	saleatwaɹ	elision
c'app	sap	elision
c'appelant	saplɑ̃	elision
c'argentin	saɹʒɑ̃tɛ̃	elision
c'arte	saɹte	elision
c'atout	satu	elision
c'aval	saval	elision
c'efficacement	sefikasmɑ̃	elision
c'employer	sɑ̃plwaje	elision
c'enfermé	sɑ̃fɛɹme	elision
c'enregistrée	sɑ̃ɹʒistɹe	elision
c'enregistrés	sɑ̃ɹʒistɹe	elision
c'entiers	sɑ̃tje	elision
c'entrainement	sɑ̃tɹɛnmɑ̃	elision
c'equipe	sekip	elision
c'espionnage	sɛspjɔnaʒ	elision
c'estimations	sɛstimatjɔ̃	elision
c'habitent	sabit	elision
c'habituelle	sabityɛl	elision
c'hospitalier	sɔspitalje	elision
c'hydro	sidɹo	elision
c'hésiter	sezite	elision
c'illustré	silystɹe	elision
c'impliqués	sɛ̃plike	elision
c'incertitude	sɛ̃sɛɹtityd	elision
c'inciter	sɛ̃site	elision
c'incontournable	sɛ̃kɔ̃tuɹnabl	elision
c'indemnité	sɛ̃dɛmnite	elision
c'obscurité	sɔbskyɹite	elision
c'obtenue	sɔbtny	elision
c'ombres	sɔ̃bɹ	elision
c'opus	sopys	elision
c'organisateurs	sɔɹɡanizatœɹ	elision
c'économistes	sekonomist	elision
c'épousé	sepuze	elision
c'étonner	setɔne	elision
c'achetez	saʃte	elision
c'ahmed	(en)siɑmd(fɹ)	elision
c'alexander	salɛksɑ̃de	elision
c'alias	salja	elision
c'allier	salje	elision
c'angel	sɑ̃ʒɛl	elision
c'apprennent	sapɹɛn	elision
c'archipel	saɹʃipɛl	elision
c'engin	sɑ̃ʒɛ̃	elision
c'entités	sɑ̃tite	elision
c'estimée	sɛstime	elision
c'excellents	sɛksɛl	elision
c'exclusive	sɛksklyziv	elision
c'exigence	sɛɡziʒɑ̃s	elision
c'existantes	sɛɡzistɑ̃t	elision
c'extinction	sɛkstɛ̃ksjɔ̃	elision
c'extraire	sɛkstɹɛɹ	elision
c'honorable	sonoɹabl	elision
c'illustrations	silystɹatjɔ̃	elision
c'imprimerie	sɛ̃pɹimɹi	elision
c'inc	sɛ̃k	elision
c'indemnités	sɛ̃dɛmnite	elision
c'indépendamment	sɛ̃depɑ̃damɑ̃	elision
c'infiniment	sɛ̃finimɑ̃	elision
c'inquiétant	sɛ̃kjetɑ̃	elision
c'intéressée	sɛ̃teɹɛse	elision
c'ios	sjo	elision
c'ip	sipe	elision
c'occupant	sɔkypɑ̃	elision
c'oeuf	sœf	elision
c'opère	sopɛɹ	elision
c'usb	syɛsbe	elision
c'écrivent	sekɹiv	elision
c'électorales	selɛktoɹal	elision
c'abraham	sabɹaam	elision
c'accumulation	sakymylatjɔ̃	elision
c'accélération	sakseleɹatjɔ̃	elision
c'achever	saʃve	elision
c'administrateurs	sadministɹatœɹ	elision
c'ag	saɡ	elision
c'agnès	sanjɛs	elision
c'aident	sɛd	elision
c'allen	salɛn	elision
c'appuyé	sapyije	elision
c'assistante	sasistɑ̃t	elision
c'attaquent	satak	elision
c'attrapé	satɹape	elision
c'audrey	sodɹɛ	elision
c'editions	seditjɔ̃	elision
c'emprise	sɑ̃pɹiz	elision
c'emprunté	sɑ̃pɹœ̃te	elision
c'enregistrements	sɑ̃ɹʒistɹəmɑ̃	elision
c'entendue	sɑ̃tɑ̃dy	elision
c'entendus	sɑ̃tɑ̃dy	elision
c'environnementale	sɑ̃viɹɔnmɑ̃tal	elision
c'envisagé	sɑ̃vizaʒe	elision
c'exclure	sɛksklyɹ	elision
c'habillé	sabije	elision
c'habitués	sabitye	elision
c'harvey	saɹvɛ	elision
c'have	sav	elision
c'honnêteté	sɔnɛtte	elision
c'hypocrisie	sipɔkɹizi	elision
c'hésité	sezite	elision
c'impérial	sɛ̃peɹjal	elision
c'indirectement	sɛ̃diɹɛktəmɑ̃	elision
c'insurrection	sɛ̃syɹɛktjɔ̃	elision
c'ix	siks	elision
c'optimiste	sɔptimist	elision
c'oscars	sɔskaɹ	elision
c'écarter	sekaɹte	elision
c'épicerie	sepisɹi	elision
c'abrite	sabɹit	elision
c'accouchement	sakuʃmɑ̃	elision
c'adaptés	sadapte	elision
c'admiration	sadmiɹatjɔ̃	elision
c'aigle	sɛɡl	elision
c'allocations	salokatjɔ̃	elision
c'amendes	samɑ̃d	elision
c'améliorations	sameljoɹatjɔ̃	elision
c'amélioré	sameljoɹe	elision
c'antisémitisme	sɑ̃tisemitism	elision
c'approuve	sapɹuv	elision
c'aprés	sapɹe	elision
c'archéologie	saɹkeoloʒi	elision
c'assassin	sasasɛ̃	elision
c'autonomes	sotonom	elision
c'essaient	sesɛ	elision
c'honorer	sonoɹe	elision
c'indigènes	sɛ̃diʒɛn	elision
c'innovations	sinovatjɔ̃	elision
c'insécurité	sɛ̃sekyɹite	elision
c'interaction	sɛ̃tɛɹaktjɔ̃	elision
c'intervenants	sɛ̃tɛɹvənɑ̃	elision
c'obsession	sɔbsɛsjɔ̃	elision
c'occupait	sɔkypɛ	elision
c'old	(en)siəʊld(fɹ)	elision
c'écrasé	sekɹaze	elision
c'édifices	sedifis	elision
c'émettre	semɛtɹ	elision
c'énervé	senɛɹve	elision
c'épuisé	sepyize	elision
c'acceptée	saksɛpte	elision
c'admire	sadmiɹ	elision
c'affectés	safɛkte	elision
c'allume	salym	elision
c'anonymes	sanonim	elision
c'appréciation	sapɹesjatjɔ̃	elision
c'assad	sasad	elision
c'assurés	sasyɹe	elision
c'astuce	sastys	elision
c'atterrissage	satɛɹisaʒ	elision
c'aude	sod	elision
c'auteure	sotœɹ	elision
c'avaler	savale	elision
c'averti	savɛɹti	elision
c'avocate	savokat	elision
c'elisabeth	(en)siɛlɪseɪbəθ(fɹ)	elision
c'endormir	sɑ̃dɔɹmiɹ	elision
c'etant	setɑ̃	elision
c'eurent	syɹ	elision
c'hab	(en)sihab(fɹ)	elision
c'hais	sɛ	elision
c'halloween	(en)sihaləʊin(fɹ)	elision
c'homicide	somisid	elision
c'hybride	sibɹid	elision
c'idéologique	sideoloʒik	elision
c'illustrer	silystɹe	elision
c'impressions	sɛ̃pɹɛsjɔ̃	elision
c'inacceptable	sinaksɛptabl	elision
c'indifférence	sɛ̃difeɹɑ̃s	elision
c'indépendantes	sɛ̃depɑ̃dɑ̃t	elision
c'infractions	sɛ̃fɹaktjɔ̃	elision
c'interactions	sɛ̃tɛɹaktjɔ̃	elision
c'intérim	sɛ̃teɹim	elision
c'inédite	sinedit	elision
c'iront	siɹɔ̃	elision
c'over	(en)siəʊvə(fɹ)	elision
c'urbaines	syɹbɛn	elision
c'écarts	sekaɹ	elision
c'échéance	seʃeɑ̃s	elision
c'éclairer	seklɛɹe	elision
c'étroit	setɹwa	elision
c'accroché	sakɹoʃe	elision
c'acheteurs	saʃtœɹ	elision
c'affiché	safiʃe	elision
c'afro	safɹo	elision
c'ail	saj	elision
c'aimable	sɛmabl	elision
c'anderson	(en)siandəsən(fɹ)	elision
c'annuels	sanyɛl	elision
c'arrangement	saɹɑ̃ʒmɑ̃	elision
c'arrivées	saɹive	elision
c'assemblées	sasɑ̃ble	elision
c'emparer	sɑ̃paɹe	elision
c'engagent	sɑ̃ɡaʒ	elision
c'entame	sɑ̃tam	elision
c'escorte	sɛskɔɹt	elision
c'exposées	sɛkspoze	elision
c'handicapés	sɑ̃dikape	elision
c'hebdo	sɛbdo	elision
c'imbécile	sɛ̃besil	elision
c'immigrants	simiɡɹɑ̃	elision
c'immobiliers	simobilje	elision
c'immobilière	simobiljɛɹ	elision
c'indignation	sɛ̃dinjatjɔ̃	elision
c'infirmières	sɛ̃fiɹmjɛɹ	elision
c'inférieurs	sɛ̃feɹjœɹ	elision
c'innocents	sinosɑ̃	elision
c'inondations	sinɔ̃datjɔ̃	elision
c'interlocuteur	sɛ̃tɛɹlokytœɹ	elision
c'intervalle	sɛ̃tɛɹval	elision
c'iris	siɹis	elision
c'isolés	sizole	elision
c'oct	sɔkt	elision
c'okay	sokɛ	elision
c'opposée	sɔpoze	elision
c'opéré	sopeɹe	elision
c'orientales	soɹjɑ̃tal	elision
c'orienter	soɹjɑ̃te	elision
c'our	suɹ	elision
c'âne	san	elision
c'éco	seko	elision
c'éducatif	sedykatif	elision
c'élaboré	selaboɹe	elision
c'élargir	selaɹʒiɹ	elision
c'élémentaire	selemɑ̃tɛɹ	elision
c'éventuel	sevɑ̃tyɛl	elision
c'aaron	saaɹɔ̃	elision
c'adeptes	sadɛpt	elision
c'adressée	sadɹɛse	elision
c'affirment	safiɹm	elision
c'agissent	saʒis	elision
c'agressif	saɡɹɛsif	elision
c'aies	sɛ	elision
c'airbus	sɛɹby	elision
c'alliances	saljɑ̃s	elision
c'allo	salo	elision
c'america	samɹika	elision
c'anecdotes	sanɛkdot	elision
c'antilles	sɑ̃tij	elision
c'aperçoit	sapɛɹswa	elision
c'apocalypse	sapokalips	elision
c'approches	sapɹoʃ	elision
c'apprête	sapɹɛt	elision
c'associées	sasosje	elision
c'assurément	sasyɹemɑ̃	elision
c'attachés	sataʃe	elision
c'attendaient	satɑ̃dɛ	elision
c'aéroports	saeɹopɔɹ	elision
c'enfermer	sɑ̃fɛɹme	elision
c'envies	sɑ̃vi	elision
