tier	score	en	fr	flags	en_ipa	fr_ipa	alignment
B	0.71	dug	dog		dʌɡ	dɔɡ	
B	0.71	bash	biche		bæʃ	biʃ	
B	0.71	curb	cab		kɜːb	kab	
B	0.71	supper	sep		sʌpɐ	sɛp	
B	0.71	knot	notes		nɒt	nɔt	
B	0.71	rang	ring	loanword	ɹæŋ	ʁiŋ	
B	0.71	rug	rogue		ɹʌɡ	ʁɔɡ	
B	0.71	calf	kiffe		kɑːf	kif	
B	0.71	forestry	fortiori		fɒɹɪstɹi	fɔʁsjɔʁi	
B	0.71	lag	ligues		læɡ	liɡ	
B	0.71	rash	riches		ɹæʃ	ʁiʃ	
B	0.71	coss	cosse		kɒs	kɔs	
B	0.71	coss	cosses		kɒs	kɔs	
B	0.71	doss	dos		dɒs	do	
B	0.71	mod	mode		mɒd	mɔd	
B	0.71	mosh	moche		mɒʃ	mɔʃ	
B	0.71	mosh	moches		mɒʃ	mɔʃ	
B	0.71	pom	pomme		pɒm	pɔm	
B	0.71	pom	pomment		pɒm	pɔm	
B	0.71	pom	pommes		pɒm	pɔm	
B	0.71	sot	sotte		sɒt	sɔt	
B	0.71	sot	sottes		sɒt	sɔt	
B	0.71	fess	faites		fɛs	fɛt	
B	0.71	net	notent		nɛt	nɔt	
B	0.71	naught	nets		nɔːt	nɛt	
B	0.71	cooed	couse		kuːd	kuz	
B	0.71	not	notent		nɒt	nɔt	
B	0.71	seek	tics		siːk	tik	
B	0.71	keck	coques		kɛk	kɔk	
B	0.71	fawn	faine		fɔːn	fɛn	
B	0.71	pep	pop		pɛp	pɔp	
B	0.71	sec	teck		sɛk	tɛk	
B	0.71	seek	tiquent		siːk	tik	
B	0.71	cede	sise		siːd	siz	
B	0.71	talk	tecks		tɔːk	tɛk	
B	0.71	net	notes		nɛt	nɔt	
B	0.71	toot	soutes		tuːt	sut	
B	0.71	talk	soc		tɔːk	sɔk	
B	0.71	cease	tisses		siːs	tis	
B	0.71	seat	tite		siːt	tit	
B	0.71	seize	cid		siːz	sid	
B	0.71	teat	site		tiːt	sit	
B	0.71	keck	coque		kɛk	kɔk	
B	0.71	cease	tissent		siːs	tis	
B	0.71	talk	socques		tɔːk	sɔk	
B	0.71	seek	tic		siːk	tik	
B	0.71	seek	tiques		siːk	tik	
B	0.71	cede	sises		siːd	siz	
B	0.71	talk	socs		tɔːk	sɔk	
B	0.71	said	seize		sɛd	sɛz	
B	0.71	vet	votes		vɛt	vɔt	
B	0.71	met	mottes		mɛt	mɔt	
B	0.71	meet	misses		miːt	mis	
B	0.71	sec	socque		sɛk	sɔk	
B	0.71	knot	note		nɒt	nɔt	
B	0.71	sec	soc		sɛk	sɔk	
B	0.71	teat	tisses		tiːt	tis	
B	0.71	sec	socques		sɛk	sɔk	
B	0.71	naught	noce		nɔːt	nɔs	
B	0.71	bet	bottent		bɛt	bɔt	
B	0.71	tech	sec		tɛk	sɛk	
B	0.71	teat	tissent		tiːt	tis	
B	0.71	sec	socs		sɛk	sɔk	
B	0.71	ben	bonne		bɛn	bɔn	
B	0.71	ben	bonnes		bɛn	bɔn	
B	0.71	sec	tecks		sɛk	tɛk	
B	0.71	toot	soute		tuːt	sut	
B	0.71	tech	toc		tɛk	teose	
B	0.71	cease	tisse		siːs	tis	
B	0.71	meet	missent		miːt	mis	
B	0.71	mess	mettent		mɛs	mɛt	
B	0.71	mock	moques		mɒk	mɔk	
B	0.71	mess	mettes		mɛs	mɛt	
B	0.71	meat	misses		miːt	mis	
B	0.71	sought	cette		sɔːt	sɛt	
B	0.71	cease	citent		siːs	sit	
B	0.71	tech	toquent		tɛk	tɔk	
B	0.71	vet	votent		vɛt	vɔt	
B	0.71	knot	notent		nɒt	nɔt	
B	0.71	cease	sites		siːs	sit	
B	0.71	cease	cites		siːs	sit	
B	0.71	sought	sept		sɔːt	sɛt	
B	0.71	pep	popes		pɛp	pɔp	
B	0.71	bet	baisse		bɛt	bɛs	
B	0.71	bead	bises		biːd	biz	
B	0.71	teat	sites		tiːt	sit	
B	0.71	cede	six		siːd	sis	
B	0.71	seat	six		siːt	sis	
B	0.71	bead	bise		biːd	biz	
B	0.71	taught	sotte		tɔːt	sɔt	
B	0.71	teat	tisse		tiːt	tis	
B	0.71	tech	toques		tɛk	tɔk	
B	0.71	met	messes		mɛt	mɛs	
B	0.71	suit	toute		suːt	tut	
B	0.71	mesh	moche		mɛʃ	mɔʃ	
B	0.71	meet	misse		miːt	mis	
B	0.71	naught	net		nɔːt	nɛt	
B	0.71	meat	missent		miːt	mis	
B	0.71	booze	boude		buːz	bud	
B	0.71	boos	boude		buːz	bud	
B	0.71	tech	secs		tɛk	sɛk	
B	0.71	mess	mette		mɛs	mɛt	
B	0.71	teat	citent		tiːt	sit	
B	0.71	bet	botte		bɛt	bɔt	
B	0.71	taut	sotte		tɔːt	sɔt	
B	0.71	booze	boudes		buːz	bud	
B	0.71	keck	coqs		kɛk	kɔk	
B	0.71	teat	cites		tiːt	sit	
B	0.71	cooed	cousent		kuːd	kuz	
B	0.71	sees	cid		siːz	sid	
B	0.71	talk	tek		tɔːk	tɛk	
B	0.71	bet	baissent		bɛt	bɛs	
B	0.71	seed	sise		siːd	siz	
B	0.71	posh	poche		pɒʃ	pɔʃ	
B	0.71	sought	sets		sɔːt	sɛt	
B	0.71	suit	toutes		suːt	tut	
B	0.71	meet	miss		miːt	mis	
B	0.71	bet	baisses		bɛt	bɛs	
B	0.71	boos	boudes		buːz	bud	
B	0.71	posh	pochent		pɒʃ	pɔʃ	
B	0.71	meat	misse		miːt	mis	
B	0.71	seed	sises		siːd	siz	
B	0.71	fawn	fen		fɔːn	fɛn	
B	0.71	cease	cite		siːs	sit	
B	0.71	mock	moquent		mɒk	mɔk	
B	0.71	pep	pope		pɛp	pɔp	
B	0.71	taught	sottes		tɔːt	sɔt	
B	0.71	seas	cid		siːz	sid	
B	0.71	talk	teks		tɔːk	tɛk	
B	0.71	met	motte		mɛt	mɔt	
B	0.71	sought	cet		sɔːt	sɛt	
B	0.71	ben	bonn		bɛn	bɔn	
B	0.71	bet	bote		bɛt	bɔt	
B	0.71	not	note		nɒt	nɔt	
B	0.71	set	sotte		sɛt	sɔt	
B	0.71	posh	poches		pɒʃ	pɔʃ	
B	0.71	met	mess		mɛt	mɛs	
B	0.71	booed	bouses		buːd	buz	
B	0.71	taut	sottes		tɔːt	sɔt	
B	0.71	keck	coke		kɛk	kɔk	
B	0.71	net	note		nɛt	nɔt	
B	0.71	meat	miss		miːt	mis	
B	0.71	teak	sic		tiːk	sik	
B	0.71	sec	tek		sɛk	tɛk	
B	0.71	teat	cite		tiːt	sit	
B	0.71	tech	tocs		tɛk	tɔk	
B	0.71	vet	vote		vɛt	vɔt	
B	0.71	motte	mottes	cognate	mɒt	mɔt	
B	0.71	met	messe		mɛt	mɛs	
B	0.71	bet	bottes		bɛt	bɔt	
B	0.71	sought	set		sɔːt	sɛt	
B	0.71	tech	toque		tɛk	tɔk	
B	0.71	mesh	moches		mɛʃ	mɔʃ	
B	0.71	booze	boudent		buːz	bud	
B	0.71	boos	boudent		buːz	bud	
B	0.71	teak	sikh		tiːk	sik	
B	0.71	bees	bides		biːz	bid	
B	0.71	keck	coq		kɛk	kɔk	
B	0.71	sec	teks		sɛk	tɛk	
B	0.71	seek	tique		siːk	tik	
B	0.71	bees	bide		biːz	bid	
B	0.71	bet	botes		bɛt	bɔt	
B	0.71	talk	teck		tɔːk	tɛk	
B	0.71	naught	noces		nɔːt	nɔs	
B	0.71	booed	bouse		buːd	buz	
B	0.71	set	sottes		sɛt	sɔt	
B	0.71	seed	six		siːd	sis	
B	0.71	talk	socque		tɔːk	sɔk	
B	0.71	mock	moque		mɒk	mɔk	
B	0.71	cease	site		siːs	sit	
B	0.71	cooed	couses		kuːd	kuz	
B	0.709	index	cedex		ɪndɛks	sedɛks	
B	0.709	personnel	panel		pɜːsənɛl	panɛl	
B	0.709	networks	nettoie		nɛtwɜːks	nɛtwa	
B	0.709	privacy	précis		pɹɪvəsi	pʁesi	
B	0.709	expand	excède		ɛkspænd	ɛksɛd	
B	0.709	concepts	concept	cognate	kɒnsɛpts	kɔ̃sɛpt	
B	0.709	quarterly	quotas		kwɔːtəli	kwɔta	
B	0.709	execute	exquis		ɛksɪkjuːt	ɛkski	
B	0.709	sculpture	sketch		skʌlptʃɐ	skɛtʃ	
B	0.709	farewell	fertile		feəwɛl	fɛʁtil	
B	0.709	autonomy	ennemies		ɔːtɒnəmi	ɛnəmi	
B	0.709	genesis	jeans		dʒɛnɪsɪs	dʒins	
B	0.709	exempt	exit		ɛɡzɛmpt	ɛɡzit	
B	0.709	template	tempo		tɛmpleɪt	tɛmpo	
B	0.709	temples	tempo		tɛmpəlz	tɛmpo	
B	0.708	miles	malaise		maɪlz	malɛz	
B	0.708	hotel	hôtels	cognate	həʊtɛl	otɛl	
B	0.708	raised	résident		ɹeɪzd	ʁezidɑ̃	
B	0.708	count	canettes		kaʊnt	kanɛt	
B	0.708	supply	cela		səplaɪ	səla	
B	0.708	proud	parade		pɹaʊd	paʁad	
B	0.708	counter	canettes		kaʊntɐ	kanɛt	
B	0.708	pride	parade		pɹaɪd	paʁad	
B	0.708	piano	pinot		pɪænəʊ	pino	
B	0.708	slide	salades		slaɪd	salad	
B	0.708	coaches	coach	loanword	kəʊtʃɪz	kotʃ	
B	0.708	sandy	samedis		sændi	samdi	
B	0.708	mild	malades		maɪld	malad	
B	0.708	rage	rédige		ɹeɪdʒ	ʁediʒ	
B	0.708	raped	répètent		ɹeɪpt	ʁepɛt	
B	0.708	mates	métis		meɪts	metis	
B	0.708	pirate	partent		paɪɹət	paʁt	
B	0.708	spouse	espaces		spaʊs	ɛspas	
B	0.708	oppose	reposent		əpəʊz	ʁəpoz	
B	0.708	spice	espaces		spaɪs	ɛspas	
B	0.708	polite	plates		pəlaɪt	plat	
B	0.708	swallow	solos		swɒləʊ	sɔlo	
B	0.708	marina	marines		məɹiːnɐ	maʁin	
B	0.708	supplier	cela		səplaɪə	səla	
B	0.708	spoiled	soldes		spɔɪld	sɔld	
B	0.708	stray	centrée		stɹeɪ	sɑ̃tʁe	
B	0.708	dilemma	dilemme	cognate	daɪlɛmɐ	dilɛm	
B	0.708	cholesterol	cholestérol	cognate	kəlɛstəɹɒl	kɔlɛsteʁɔl	
B	0.708	apex	épaisses		eɪpɛks	epɛs	
B	0.708	trousers	traces		tɹaʊsəz	tʁas	
B	0.707	just	jets		dʒʌst	ʒɛ	
B	0.707	such	sketch		sʌtʃ	skɛtʃ	
B	0.707	must	mixtes		mʌst	mikst	
B	0.707	future	putsch		fjuːtʃɐ	putʃ	
B	0.707	front	frotte		fɹʌnt	fʁɔt	
B	0.707	study	sidi		stʌdi	sidi	
B	0.707	plans	plaisent		plænz	plɛz	
B	0.707	nearly	nient		niəli	ni	
B	0.707	teams	timides		tiːmz	timid	
B	0.707	effective	affective		ɪfɛktɪv	afɛktiv	
B	0.707	queen	cousine		kwiːn	kuzin	
B	0.707	brand	bride		bɹænd	bʁid	
B	0.707	owned	round	loanword	əʊnd	ɹaʊnd	
B	0.707	believed	bled		bɪliːvd	blɛd	
B	0.707	frank	fric		fɹæŋk	fʁik	
B	0.707	lovely	lits		lʌvli	li	
B	0.707	links	lynx		lɪŋks	lɛ̃ks	
B	0.707	sky	scanner		skaɪ	skane	
B	0.707	brothers	brise		bɹʌðəz	bʁiz	
B	0.707	jump	jeep	loanword	dʒʌmp	dʒip	
B	0.707	planned	plaide		plænd	plɛd	
B	0.707	requires	turquoise		ɹɪkwaɪəz	tyʁkwaz	
B	0.707	journey	déni		dʒɜːni	deni	
B	0.707	weekly	ouïe		wiːkli	uj	
B	0.707	promote	prenantes		pɹəməʊt	pʁənɑ̃t	
B	0.707	dirty	décrits		dɜːti	dekʁi	
B	0.707	meanwhile	minable		miːnwaɪl	minabl	
B	0.707	jimmy	demie		dʒɪmi	dəmi	
B	0.707	blocks	boxe		blɒks	bɔks	
B	0.707	pizza	python		piːtsɐ	pitɔ̃	
B	0.707	speaks	sexes		spiːks	sɛks	
B	0.707	struck	stocks		stɹʌk	stɔk	
B	0.707	trans	treize		tɹænz	tʁɛz	
B	0.707	lessons	laisseront		lɛsənz	lɛsəʁɔ̃	
B	0.707	merely	mit		miəli	mi	
B	0.707	flood	fluides		flʌd	flɥid	
B	0.707	satellite	relate		sætəlaɪt	ʁəlat	
B	0.707	edited	aides		ɛdɪtɪd	ɛd	
B	0.707	steady	sidi		stɛdi	sidi	
B	0.707	craft	crêtes		kɹɑːft	kʁɛt	
B	0.707	beliefs	blesse		bɪliːfs	blɛs	
B	0.707	snake	shake	loanword	sneɪk	ʃeɪk	
B	0.707	cleared	claude		kliəd	klod	
B	0.707	trapped	traites		tɹæpt	tʁɛt	
B	0.707	rifle	rafales		ɹaɪfəl	ʁafal	
B	0.707	beloved	bled		bᵻlʌvd	blɛd	
B	0.707	blacks	blesse		blæks	blɛs	
B	0.707	swift	souhaites		swɪft	swet	
B	0.707	stamp	step		stæmp	stɛp	
B	0.707	spam	sperme		spæm	spɛʁm	
B	0.707	crashed	crêtes		kɹæʃt	kʁɛt	
B	0.707	crushed	crêtes		kɹʌʃt	kʁɛt	
B	0.707	essence	ès		ɛsəns	ɛs	
B	0.707	badge	bridge		bædʒ	bʁidʒ	
B	0.707	shifts	shirts	loanword	ʃɪfts	ʃɜːts	
B	0.707	cracked	crêtes		kɹækt	kʁɛt	
B	0.707	dancer	jeans		dɑːnsɐ	dʒins	
B	0.707	straw	stresse		stɹɔː	stʁɛs	
B	0.707	dense	jeans		dɛns	dʒins	
B	0.707	pillow	flow	loanword	pɪləʊ	fləʊ	
B	0.707	rhetoric	resterait		ɹɛtəɹɪk	ʁɛstəʁɛ	
B	0.707	mint	maintes		mɪnt	mɛ̃t	
B	0.707	midst	must	loanword	mɪdst	mœst	
B	0.707	misery	mairies		mɪzəɹi	meʁi	
B	0.707	crashes	crises		kɹæʃɪz	kʁiz	
B	0.707	tasty	testés		teɪsti	tɛste	
B	0.707	teammate	timides		tiːmeɪt	timid	
B	0.707	cheeks	tex		tʃiːks	tɛks	
B	0.707	grams	grises		ɡɹæmz	ɡʁiz	
B	0.707	guru	gourou	cognate	ɡjʊɹuː	ɡuʁu	
B	0.707	bricks	books	loanword	bɹɪks	bʊks	
B	0.707	performer	parme		pəfɔːmɐ	paʁm	
B	0.707	spelled	soldes		spɛld	sɔld	
B	0.707	trader	traîner		tɹeɪdɐ	tʁɛne	
B	0.707	brewing	brouille		bɹuːɪŋ	bʁuj	
B	0.707	tray	traîner		tɹeɪ	tʁɛne	
B	0.707	ceremonies	sermon		sɛɹɪmənɪz	sɛʁmɔ̃	
B	0.707	grabs	grises		ɡɹæbz	ɡʁiz	
B	0.707	macro	micros		mækɹəʊ	mikʁo	
B	0.707	jumper	jeep	loanword	dʒʌmpɐ	dʒip	
B	0.707	maternity	maçonnerie		mətɜːnɪti	masɔnʁi	
B	0.706	lying	line	loanword	laɪɪŋ	laɪn	
B	0.706	compete	cockpit		kəmpiːt	kɔkpit	
B	0.706	entrepreneur	entrepreneurs	cognate	ɒntɹɪpɹɪnɜː	ɑ̃tʁəpʁənœʁ	
B	0.706	electron	électrons	cognate	ɪlɛktɹɒn	elɛktʁɔ̃	
B	0.705	example	exemples	cognate	ɛɡzɑːmpəl	ɛɡzɑ̃pl	
B	0.705	china	chat		tʃaɪnɐ	ʃa	
B	0.705	prints	princes		pɹɪnts	pʁɛ̃s	
B	0.705	quantities	comprises		kwɒntɪtiz	kɔ̃pʁiz	
B	0.704	concrete	écrites		kɒŋkɹiːt	ekʁit	
B	0.704	textbook	texture		tɛkstbʊk	tɛkstyʁ	
B	0.703	five	live	loanword	faɪv	laɪv	
B	0.703	shield	guilde		ʃiːld	ɡild	
B	0.703	baker	shake	loanword	beɪkɐ	ʃeɪk	
B	0.703	timeline	line	loanword	taɪmlaɪn	laɪn	
B	0.703	exercises	extase		ɛksəsaɪzɪz	ɛkstaz	
B	0.703	glorious	gloria		ɡlɔːɹɪəs	ɡloʁja	
B	0.703	rope	roll	loanword	ɹəʊp	ɹəʊl	
B	0.703	proceeds	précises		pɹoʊsiːdz	pʁesiz	
B	0.703	exceptions	exception	cognate	ɛksɛpʃənz	ɛksɛpsjɔ̃	
B	0.703	priced	proteste		pɹaɪst	pʁɔtɛst	
B	0.703	bake	shake	loanword	beɪk	ʃeɪk	
B	0.702	days	dises		deɪz	diz	
B	0.702	play	plis		pleɪ	pli	
B	0.702	case	caisses		keɪs	kɛs	
B	0.702	face	fils		feɪs	fis	
B	0.702	nice	naze		naɪs	naz	
B	0.702	late	let	loanword	leɪt	lɛt	
B	0.702	main	mènent		meɪn	mɛn	
B	0.702	died	dates		daɪd	dat	
B	0.702	player	plis		pleɪɐ	pli	
B	0.702	save	sève		seɪv	sɛv	
B	0.702	vote	votes	cognate	vəʊt	vɔt	
B	0.702	code	côtes		kəʊd	kot	
B	0.702	paper	pipe		peɪpɐ	pip	
B	0.702	note	notes	cognate	nəʊt	nɔt	
B	0.702	boys	bosses		bɔɪz	bɔs	
B	0.702	wide	watts		waɪd	wat	
B	0.702	gain	gaine		ɡeɪn	ɡɛn	
B	0.702	excellent	excellentes	cognate	ɛksələnt	ɛkselɑ̃t	
B	0.702	boat	botte		bəʊt	bɔt	
B	0.702	mode	modes	cognate	məʊd	mɔd	
B	0.702	fail	files		feɪl	fil	
B	0.702	laid	laide		leɪd	lɛd	
B	0.702	noise	noces		nɔɪz	nɔs	
B	0.702	motor	maures		məʊtɐ	mɔʁ	
B	0.702	solar	sole		səʊlɐ	sɔl	
B	0.702	tone	tonnes		təʊn	tɔn	
B	0.702	bone	bonnes		bəʊn	bɔn	
B	0.702	contrast	contrastes	cognate	kɑːntɹæst	kɔ̃tʁast	
B	0.702	tape	types		teɪp	tip	
B	0.702	fate	fêtes		feɪt	fɛt	
B	0.702	tail	tels		teɪl	tɛl	
B	0.702	shake	chèques		ʃeɪk	ʃɛk	
B	0.702	tiger	tac		taɪɡɐ	tak	
B	0.702	tale	tels		teɪl	tɛl	
B	0.702	pays	pèsent		peɪz	pɛz	
B	0.702	powder	patte		paʊdɐ	pat	
B	0.702	powered	patte		paʊəd	pat	
B	0.702	wider	watts		waɪdɐ	wat	
B	0.702	folk	phoques		fəʊk	fɔk	
B	0.702	woke	walk	loanword	wəʊk	wɔːk	
B	0.702	dose	doses	cognate	dəʊs	doz	
B	0.702	laser	lès		leɪzɐ	lɛ	
B	0.702	layers	lès		leɪɚz	lɛ	
B	0.702	coke	coques		kəʊk	kɔk	
B	0.702	towers	tasses		taʊɚz	tas	
B	0.702	tweets	twist		twiːts	twist	
B	0.702	void	votes		vɔɪd	vɔt	
B	0.702	wade	oued		weɪd	wɛd	
B	0.702	lame	lime		leɪm	lim	
B	0.702	bait	bêtes		beɪt	bɛt	
B	0.702	lace	lys		leɪs	lis	
B	0.702	roommate	roumains		ɹuːmeɪt	ʁumɛ̃	
B	0.702	weighed	oued		weɪd	wɛd	
B	0.702	wired	watts		waɪəd	wat	
B	0.702	vein	veines	cognate	veɪn	vɛn	
B	0.702	splendid	splendide	cognate	splɛndɪd	splɑ̃did	
B	0.702	vain	veines		veɪn	vɛn	
B	0.702	gays	guise		ɡeɪz	ɡiz	
B	0.702	gaze	guise		ɡeɪz	ɡiz	
B	0.702	lays	lès		leɪz	lɛ	
B	0.702	mole	molle		moʊl	mɔl	
B	0.702	veil	villes		veɪl	vil	
B	0.702	sheik	chic		ʃeɪk	ʃik	
B	0.702	sheik	chics		ʃeɪk	ʃik	
B	0.702	sheik	chique		ʃeɪk	ʃik	
B	0.702	sheik	chiquent		ʃeɪk	ʃik	
B	0.702	sheik	chiques		ʃeɪk	ʃik	
B	0.702	sheikh	chic		ʃeɪk	ʃik	
B	0.702	sheikh	chics		ʃeɪk	ʃik	
B	0.702	sheikh	chique		ʃeɪk	ʃik	
B	0.702	sheikh	chiquent		ʃeɪk	ʃik	
B	0.702	sheikh	chiques		ʃeɪk	ʃik	
B	0.701	corporation	coréenne		kɔːpəɹeɪʃən	kɔʁeɛn	
B	0.701	drops	dressent		dɹɒps	dʁes	
B	0.701	bloody	bandits		blʌdi	bɑ̃di	
B	0.701	lawsuit	loft		lɔːsuːt	lɔft	
B	0.701	screens	script		skɹiːnz	skʁipt	
B	0.701	props	presses		pɹɒps	pʁes	
B	0.701	restoring	restaurée		ɹɪstɔːɹɪŋ	ʁɛstɔʁe	
B	0.701	salute	selon		səluːt	səlɔ̃	
B	0.7	our	ha		aʊə	a	
B	0.7	oh	ho		əʊ	o	
B	0.7	land	landes		lænd	lɑ̃d	
B	0.7	hour	ha		aʊə	a	
B	0.7	dark	déc		dɑːk	dek	
B	0.7	standard	stands		stændəd	stɑ̃d	
B	0.7	band	bandes	cognate	bænd	bɑ̃d	
B	0.7	planet	plantes		plænɪt	plɑ̃t	
B	0.7	granted	grandes		ɡɹɑːntɪd	ɡʁɑ̃d	
B	0.7	protected	protecteurs		pɹətɛktɪd	pʁɔtɛktœʁ	
B	0.7	banned	bandes		bænd	bɑ̃d	
B	0.7	doc	déc		dɒk	dek	
B	0.7	eh	hé		eɪ	e	
B	0.7	palm	paume	cognate	pɑːm	pom	
B	0.7	settings	serveuse		sɛtɪŋz	sɛʁvøz	
B	0.7	pollution	pelouses		pəluːʃən	pəluz	
B	0.7	wrap	rampe		ɹæp	ʁɑ̃p	
B	0.7	lap	lampes		læp	lɑ̃p	
B	0.7	stairs	sterling	loanword	steəz	stɛʁliŋ	
B	0.7	owe	oh		əʊ	o	
B	0.7	rap	rampe		ɹæp	ʁɑ̃p	
B	0.7	freely	freelance	loanword	fɹiːli	fɹiːlans	
B	0.7	complexity	complexes		kəmplɛksɪti	kɔ̃plɛks	
B	0.7	dock	déc		dɒk	dek	
B	0.7	rapper	rampe		ɹæpɐ	ʁɑ̃p	
B	0.7	monk	manques		mʌnk	mɑ̃k	
B	0.7	bomber	baume		bɒmɐ	bom	
B	0.7	sofa	sauf		səʊfɐ	sof	
B	0.7	freelance	fritz		fɹiːlɑːns	fʁits	
B	0.7	strand	stands		stɹænd	stɑ̃d	
B	0.7	bock	banque		bɒk	bɑ̃k	
B	0.7	bock	banquent		bɒk	bɑ̃k	
B	0.7	bock	banques		bɒk	bɑ̃k	
B	0.7	bong	bang	cognate	bɒŋ	bɑ̃ŋ	
B	0.7	bong	bangs	cognate	bɒŋ	bɑ̃ŋ	
B	0.7	cop	campe		kɒp	kɑ̃p	
B	0.7	cop	campent		kɒp	kɑ̃p	
B	0.7	cop	campes		kɒp	kɑ̃p	
B	0.7	knot	nantes		nɒt	nɑ̃t	
B	0.7	not	nantes		nɒt	nɑ̃t	
B	0.7	mock	manque		mɒk	mɑ̃k	
B	0.7	mock	manquent		mɒk	mɑ̃k	
B	0.7	mock	manques		mɒk	mɑ̃k	
B	0.7	motte	mante		mɒt	mɑ̃t	
B	0.7	motte	mantes		mɒt	mɑ̃t	
B	0.7	motte	mente		mɒt	mɑ̃t	
B	0.7	motte	mentent		mɒt	mɑ̃t	
B	0.7	motte	mentes		mɒt	mɑ̃t	
B	0.7	motte	menthe		mɒt	mɑ̃t	
B	0.7	motte	menthes		mɒt	mɑ̃t	
B	0.7	posh	penche		pɒʃ	pɑ̃ʃ	
B	0.7	posh	penchent		pɒʃ	pɑ̃ʃ	
B	0.7	posh	penches		pɒʃ	pɑ̃ʃ	
B	0.7	pod	pende		pɒd	pɑ̃d	
B	0.7	pod	pendent		pɒd	pɑ̃d	
B	0.7	pod	pendes		pɒd	pɑ̃d	
B	0.7	pot	pente		pɒt	pɑ̃t	
B	0.7	pot	pentes		pɒt	pɑ̃t	
B	0.7	shot	chante		ʃɒt	ʃɑ̃t	
B	0.7	shot	chantent		ʃɒt	ʃɑ̃t	
B	0.7	shot	chantes		ʃɒt	ʃɑ̃t	
B	0.7	tod	tende		tɒd	tɑ̃d	
B	0.7	tod	tendent		tɒd	tɑ̃d	
B	0.7	tod	tendes		tɒd	tɑ̃d	
B	0.7	top	tempe		tɒp	tɑ̃p	
B	0.7	top	tempes		tɒp	tɑ̃p	
B	0.7	tosh	tanche		tɒʃ	tɑ̃ʃ	
B	0.7	tosh	tanches		tɒʃ	tɑ̃ʃ	
B	0.7	tot	tante		tɒt	tɑ̃t	
B	0.7	tot	tantes		tɒt	tɑ̃t	
B	0.7	tot	tente		tɒt	tɑ̃t	
B	0.7	tot	tentent		tɒt	tɑ̃t	
B	0.7	tot	tentes		tɒt	tɑ̃t	
B	0.7	peak	tic		piːk	tik	
B	0.7	peak	tiques		piːk	tik	
B	0.7	beep	bites		biːp	bit	
B	0.7	seem	seines		siːm	sin	
B	0.7	teat	type		tiːt	tip	
B	0.7	teak	piquent		tiːk	pik	
B	0.7	suit	soupe		suːt	sup	
B	0.7	met	net		mɛt	nɛt	
B	0.7	doss	danses		dɒs	dɑ̃s	
B	0.7	teat	tip		tiːt	tip	
B	0.7	peas	pive		piːz	piv	
B	0.7	pees	pive		piːz	piv	
B	0.7	naught	motte		nɔːt	mɔt	
B	0.7	feat	site		fiːt	sit	
B	0.7	coot	coupe		kuːt	kup	
B	0.7	beep	bits		biːp	bit	
B	0.7	feet	site		fiːt	sit	
B	0.7	doss	dansent		dɒs	dɑ̃s	
B	0.7	beep	bit		biːp	bit	
B	0.7	scene	fines		siːn	fin	
B	0.7	beep	bite		biːp	bit	
B	0.7	says	fez		sɛz	fɛz	
B	0.7	peep	types		piːp	tip	
B	0.7	scene	cimes		siːn	sim	
B	0.7	meme	mine		miːm	min	
B	0.7	set	cep		sɛt	sɛp	
B	0.7	dawn	dom		dɔːn	dɔm	
B	0.7	meme	minent		miːm	min	
B	0.7	scene	cime		siːn	sim	
B	0.7	beep	bitte		biːp	bit	
B	0.7	fez	seize		fɛz	sɛz	
B	0.7	net	mettent		nɛt	mɛt	
B	0.7	net	mettes		nɛt	mɛt	
B	0.7	beep	bittent		biːp	bit	
B	0.7	doss	danse		dɒs	dɑ̃s	
B	0.7	coot	coupes		kuːt	kup	
B	0.7	piece	tisses		piːs	tis	
B	0.7	piece	tissent		piːs	tis	
B	0.7	beat	bip		biːt	bip	
B	0.7	meme	mines		miːm	min	
B	0.7	peace	tisses		piːs	tis	
B	0.7	seam	seine		siːm	sɛn	
B	0.7	teak	pic		tiːk	pik	
B	0.7	feet	sites		fiːt	sit	
B	0.7	net	mette		nɛt	mɛt	
B	0.7	seen	fines		siːn	fin	
B	0.7	scene	fine		siːn	fin	
B	0.7	zen	vaines		zɛn	vɛn	
B	0.7	seen	cimes		siːn	sim	
B	0.7	peep	type		piːp	tip	
B	0.7	feat	citent		fiːt	sit	
B	0.7	feat	sites		fiːt	sit	
B	0.7	teak	pique		tiːk	pik	
B	0.7	feat	cites		fiːt	sit	
B	0.7	naught	mottes		nɔːt	mɔt	
B	0.7	peace	tissent		piːs	tis	
B	0.7	feet	citent		fiːt	sit	
B	0.7	met	nets		mɛt	nɛt	
B	0.7	peep	tip		piːp	tip	
B	0.7	beet	bip		biːt	bip	
B	0.7	pease	pives		piːz	piv	
B	0.7	piece	tisse		piːs	tis	
B	0.7	feet	cites		fiːt	sit	
B	0.7	seen	cime		siːn	sim	
B	0.7	mean	miment		miːn	mim	
B	0.7	fought	sotte		fɔːt	sɔt	
B	0.7	seam	seines		siːm	sin	
B	0.7	peek	tique		piːk	tik	
B	0.7	doss	dense		dɒs	dɑ̃s	
B	0.7	mean	mime		miːn	mim	
B	0.7	peak	tique		piːk	tik	
B	0.7	soup	soutes		suːp	sut	
B	0.7	pease	pive		piːz	piv	
B	0.7	seem	seine		siːm	sɛn	
B	0.7	teak	pics		tiːk	pik	
B	0.7	teat	types		tiːt	tip	
