en	fr	pair_score	passages	best_subchain_quality	mean_subchain_quality	min_hops	density_score	example
sought	sotte	1.0	11	0.978	0.9503	2	10.45	en:suit ≈ fr:soute ~ fr:sotte ≈ en:sought
frisson ya	prisonnier	0.94	11	0.958	0.9504	2	10.45	en:frisson ya ≈ fr:prisonnier ~ en:prisoner
frisson ya	prisonniers	0.94	11	0.958	0.9501	2	10.45	en:frisson ya ≈ fr:prisonniers ~ en:prisoners
terror	terres	1.0	11	0.975	0.9482	2	10.43	en:terrors ~ en:terror ≈ fr:terres
feature	fient chez	1.0	11	0.966	0.9472	2	10.42	en:feature ≈ fr:fient chez ~ fr:liguent chez
cocky	kaki	0.97	11	0.973	0.9459	2	10.4	en:kaki ~ fr:kaki ≈ en:cocky
season	scies haine	0.976	11	0.959	0.9439	2	10.38	en:season ≈ fr:scies haine ~ fr:haine
clem	club	0.911	11	0.945	0.9435	2	10.38	≈ en:clam ~ en:clem ≈ fr:club
refreshing	rient rechigne	0.914	11	0.949	0.9425	2	10.37	en:refreshing ≈ fr:rient rechigne ~ fr:dis ânesse
bet	bettes	1.0	11	0.983	0.9405	2	10.35	en:betting ~ fr:bettes ≈ en:bet
do	doues	1.0	11	0.958	0.9402	2	10.34	en:do ≈ fr:doues ~ fr:hâtes
collie	colis	0.975	11	0.948	0.9398	2	10.34	en:collie ≈ fr:colis = en:parcel
mainstream	mines trime	0.96	11	0.952	0.9394	2	10.33	en:mainstream ≈ fr:mines trime ~ fr:mines tri
density	tain cité	0.935	11	0.945	0.9375	2	10.31	en:denied ≈ fr:tain aède ~ fr:tain cité ≈ en:density
should	chaude	0.921	11	0.94	0.9371	3	10.31	en:shotgun ≈ fr:chaud gaine ~ fr:chaude ≈ en:should
rumen	roumaine	1.0	11	0.958	0.9359	2	10.3	en:rummy ~ en:rumen ≈ fr:roumaine
spin	speed	0.915	11	0.946	0.9345	2	10.28	~ en:beaters fr:vitesse ~ fr:speed ≈ en:spin
diseases	dis isis	0.954	11	0.938	0.9341	2	10.28	en:eases ≈ fr:isis ~ fr:dis isis ≈ en:diseases
partner	bat né	0.964	11	0.955	0.9331	2	10.26	en:partners ~ en:partner ≈ fr:bat né
texture	taxent chez	0.949	11	0.947	0.9327	2	10.26	en:texture ≈ fr:taxent chez ~ fr:traquent chez
corrected	croquent aide	0.933	11	0.937	0.9325	2	10.26	en:corrected ≈ fr:croquent aide ~ fr:plient aide
pixel	pics elle	0.944	11	0.954	0.9319	2	10.25	en:pixel ≈ fr:pics elle ~ fr:pissent elle
twisted	tissent aide	0.947	11	0.934	0.9304	2	10.23	en:twisted ≈ fr:tissent aide ~ fr:prennent aide
assaulted	isolent aide	0.935	11	0.931	0.9301	2	10.23	en:assaulted ≈ fr:isolent aide ~ fr:plient aide
wheelchair	veulent chez	0.912	11	0.934	0.9278	2	10.21	en:wheelchair ≈ fr:veulent chez ~ fr:mènent chez
endless	haines laisse	0.94	11	0.933	0.9256	2	10.18	en:endless ≈ fr:haines laisse ~ fr:haines est
bothered	bas aide	0.905	11	0.932	0.9256	2	10.18	en:bothered ≈ fr:bas aide ~ fr:plient aide
minded	man aide	0.932	11	0.929	0.9258	2	10.18	en:minded ≈ fr:man aide ~ fr:prennent aide
baptist	battent est	0.916	11	0.939	0.9245	2	10.17	en:baptist ≈ fr:battent est ~ fr:bat né
detect	dit acte	0.924	11	0.932	0.9219	2	10.14	en:detect ≈ fr:dit acte ~ fr:prêt acte
routinely	ruent inouï	0.954	11	0.934	0.921	2	10.13	en:routinely ≈ fr:ruent inouï ~ fr:inouï
liberties	levait aise	0.911	11	0.939	0.919	2	10.11	~ en:losses fr:las aise ~ fr:levait aise ≈ en:liberties
clique	clic	1.0	11	0.98	0.9138	2	10.05	en:clique ≈ fr:clic ~ fr:clics
ante	hindi	0.911	11	0.929	0.9106	2	10.02	en:ante ≈ fr:hindi ~ fr:vis hindi
mortgages	moquent chaise	0.925	11	0.917	0.9098	2	10.01	en:mortgages ≈ fr:moquent chaise ~ fr:coud chaise
matters	mat aise	0.952	11	0.919	0.9086	2	10.0	en:matters ≈ fr:mat aise ~ fr:mat chaise
enforce	aident os	0.902	11	0.912	0.9065	2	9.97	en:enforce ≈ fr:aident os ~ fr:prennent aide
shoe	choux	1.0	10	0.984	0.9762	2	9.76	en:shoe ≈ fr:choux ~ fr:piégé
teak	tiquent	1.0	10	0.977	0.975	3	9.75	en:tartar ≈ fr:tâter ~ fr:tiquent ≈ en:teak
fork	phoques	1.0	10	0.983	0.9719	2	9.72	en:fork ≈ fr:phoques = en:seal
tarter	tâter	0.985	10	0.977	0.9682	2	9.68	en:tarter ≈ fr:tâter ~ fr:tiquent
secede	ces ides	0.976	10	0.972	0.9677	2	9.68	en:ready ≈ fr:raies dits ~ fr:ces ides ≈ en:secede
pressure	prêche	1.0	10	0.978	0.966	2	9.66	en:pressure ≈ fr:prêche ~ fr:prêcher
leg	legs	1.0	10	0.983	0.9648	2	9.65	en:legs ~ fr:legs ≈ en:leg
bris	presse	0.94	10	0.967	0.9643	2	9.64	≈ en:presses ~ fr:presse ≈ en:bris
chute	shootes	1.0	10	0.983	0.962	4	9.62	≈ fr:shoot en:shoot ≈ fr:shoote ~ fr:shootes ≈ en:chute
en	aine	1.0	10	0.986	0.9602	2	9.6	≈ en:em ~ en:en ≈ fr:aine
all	hall	0.95	10	0.97	0.9592	2	9.59	en:lobby = fr:hall ≈ en:all
seizes	scies aise	0.976	10	0.961	0.9575	2	9.57	en:seizes ≈ fr:scies aise ~ fr:scies
claws	clause	0.975	10	0.975	0.956	2	9.56	en:grief ≈ fr:griffes = en:claws ≈ fr:clause
footballer	fait bolée	0.979	10	0.972	0.9554	2	9.55	en:footballer ≈ fr:fait bolée ~ fr:fait bol
classic	clés hic	0.944	10	0.965	0.9547	2	9.55	en:classic ≈ fr:clés hic ~ fr:clés
masterpiece	massent pisse	0.97	10	0.965	0.9552	2	9.55	en:masterpiece ≈ fr:massent pisse ~ fr:pisses
techies	déguise	0.912	10	0.957	0.9555	2	9.55	en:disguise ~ fr:déguise ≈ en:techies
presenter	prison tes	0.943	10	0.954	0.954	2	9.54	en:presenter ≈ fr:prison tes ~ en:prison
ridgy	rient chie	0.932	10	0.963	0.9532	2	9.53	en:ridgy ≈ fr:rient chie ~ fr:rient hélas
patron	peut reine	0.949	10	0.963	0.9527	2	9.53	en:veteran ≈ fr:fait reine ~ fr:peut reine ≈ en:patron
out	hâtent	0.96	10	0.975	0.9513	2	9.51	en:preset ~ fr:hâtent ≈ en:out
creators	créait aise	0.943	10	0.951	0.9498	2	9.5	en:creators ≈ fr:créait aise ~ fr:prêtait aise
partly	bat lis	0.964	10	0.969	0.9492	2	9.49	en:partly ≈ fr:bat lis ~ fr:batte
tinder	tain des	0.952	10	0.955	0.9489	2	9.49	en:tinder ≈ fr:tain des ~ fr:tain paul
defending	divin digne	0.93	10	0.954	0.9488	2	9.49	en:defended ~ en:defending ≈ fr:divin digne
defender	divin des	0.952	10	0.952	0.948	2	9.48	~ en:defending fr:divin digne ~ fr:divin des ≈ en:defender
mistress	mais tresses	0.949	10	0.949	0.9476	2	9.48	en:distress ≈ fr:dis tresses ~ fr:mais tresses ≈ en:mistress
piton	paient haine	0.952	10	0.951	0.9471	2	9.47	en:piton ≈ fr:paient haine ~ fr:haine
dances	tan six	0.944	10	0.948	0.9453	2	9.45	en:dances ≈ fr:tan six ~ fr:six
prevention	prison chaîne	0.903	10	0.944	0.944	2	9.44	en:prevention ≈ fr:prison chaîne ~ en:prison
kami	camée	0.955	10	0.961	0.9428	2	9.43	≈ en:we ~ en:kami ≈ fr:camée
temperature	tain prêt chez	0.94	10	0.946	0.9427	2	9.43	en:temperatures ~ en:temperature ≈ fr:tain prêt chez
references	refrain six	0.949	10	0.945	0.9426	2	9.43	en:references ≈ fr:refrain six ~ fr:six
northwest	nœud ouest	0.932	10	0.959	0.942	2	9.42	en:southwest ~ en:northwest ≈ fr:nœud ouest
terrorism	terreurs homme	0.947	10	0.95	0.9422	2	9.42	en:tourism ≈ fr:tords homme ~ fr:terreurs homme ≈ en:terrorism
pointed	peinent aide	0.932	10	0.945	0.9417	2	9.42	en:pointed ≈ fr:peinent aide ~ fr:saignent aide
ed	aide	1.0	10	0.954	0.9402	3	9.4	~ en:artiste fr:assiste ~ fr:aide ≈ en:ed
sensitive	sain sait ive	0.958	10	0.941	0.9396	2	9.4	en:sensitive ≈ fr:sain sait ive ~ fr:sain aise
council	cannes elle	0.949	10	0.963	0.9394	2	9.39	en:council ≈ fr:cannes elle ~ fr:pissent elle
essentially	sain joli	0.94	10	0.948	0.9382	3	9.38	en:sensory ≈ fr:sain serez ~ fr:sain joli ≈ en:essentially
denied	tain aède	0.921	10	0.945	0.9381	2	9.38	en:denied ≈ fr:tain aède ~ fr:tain cité
versus	vais aise	0.929	10	0.955	0.9367	2	9.37	en:treasurer ≈ fr:trais aurez ~ fr:vais aise ≈ en:versus
menaced	main est	0.96	10	0.944	0.9372	2	9.37	en:menace ~ en:menaced ≈ fr:main est
prejudice	prêt jouent hisse	0.962	10	0.939	0.9372	2	9.37	en:prejudice ≈ fr:prêt jouent hisse ~ fr:jouent aise
bottle	bat elle	0.952	10	0.956	0.9357	2	9.36	en:bottle ≈ fr:bat elle ~ fr:pissent elle
redrew	rient roues	0.976	10	0.946	0.936	2	9.36	en:redrew ≈ fr:rient roues ~ fr:rient aise
sheen	chinent	1.0	10	0.965	0.9347	2	9.35	en:sheen ≈ fr:chinent ~ fr:chenal
entities	aident dix	0.932	10	0.95	0.9355	2	9.35	en:entities ≈ fr:aident dix ~ fr:taies dix
exodus	excès os	0.932	10	0.939	0.9331	3	9.33	en:exhort ≈ fr:exode = en:exodus ≈ fr:excès os
rooted	ruent aide	0.952	10	0.943	0.9319	2	9.32	en:rooted ≈ fr:ruent aide ~ fr:dis traquent aide
petit eve	positive	0.915	10	0.955	0.9309	2	9.31	en:petit eve ≈ fr:positive ~ fr:positif
fit evil	festival	0.926	10	0.943	0.9313	2	9.31	en:fit evil ≈ fr:festival ~ en:festival
beater	bitter	1.0	10	0.935	0.9296	2	9.3	en:beaters ~ en:beater ≈ fr:bitter
petit if	positif	0.901	10	0.93	0.9283	2	9.28	en:petit eve ≈ fr:positive ~ fr:positif ≈ en:petit if
arrested	hérissent aide	0.949	10	0.939	0.92	2	9.2	en:arrested ≈ fr:hérissent aide ~ fr:fait aide
secondary	déconnent ri	0.903	10	0.922	0.919	2	9.19	en:secondary ≈ fr:déconnent ri ~ fr:déconne
sustain	cessent haine	0.952	10	0.919	0.9156	2	9.16	en:sustain ≈ fr:cessent haine ~ fr:axent haines in
deleted	délit aide	0.949	10	0.932	0.9136	2	9.14	en:deleted ≈ fr:délit aide ~ fr:dis traquent aide
pander	pan des	0.94	10	0.922	0.909	2	9.09	en:pander ≈ fr:pan des ~ fr:bas tee
rendered	reines aide	0.94	10	0.917	0.9066	2	9.07	≈ en:render ~ en:rendered ≈ fr:reines aide
coo	coup	1.0	9	0.993	0.9854	2	8.87	en:coo ≈ fr:coup ~ en:coup
seller	selle	1.0	9	0.992	0.9838	2	8.85	en:cellar ≈ fr:seller ~ en:seller ≈ fr:selle
tel	telle	1.0	9	0.993	0.9824	3	8.84	en:tell ≈ fr:telles ~ fr:telle ≈ en:tel
boss	bosse	1.0	9	0.992	0.9813	2	8.83	en:boss ≈ fr:bosse ~ fr:boss
soupy	souper	0.97	9	0.978	0.9737	2	8.76	en:soupy ≈ fr:souper ~ en:soup
telly	télé	0.945	9	0.973	0.973	2	8.76	≈ en:tell ~ en:telly ≈ fr:télé
shoot	choute	1.0	9	0.978	0.9727	3	8.75	en:chute ≈ fr:shoot ~ en:shoot ≈ fr:choute
supreme	soupe rimes	1.0	9	0.976	0.9696	3	8.73	en:supreme ≈ fr:soupe rimes ~ fr:soupes ≈ en:soup
poop	poupe	1.0	9	0.976	0.9683	3	8.71	en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop
tics	sexe	0.911	9	0.971	0.9674	4	8.71	≈ fr:teck = en:teak fr:tics ~ en:tics ≈ fr:sexe
less	laisses	1.0	9	0.971	0.9677	2	8.71	en:less ≈ fr:laisses ~ fr:laissent
peat olla	pistolet	0.935	9	0.971	0.9679	2	8.71	en:peat olla ≈ fr:pistolet ~ en:pistol
mess	messe	1.0	9	0.987	0.9664	2	8.7	en:stem ≈ fr:stemms ~ fr:messe ≈ en:mess
cool	coulent	1.0	9	0.983	0.9659	2	8.69	en:cootie ≈ fr:coutil ~ fr:coulent ≈ en:cool
ben	bennes	1.0	9	0.982	0.9656	2	8.69	en:ben ≈ fr:bennes ~ fr:saisis
reader	rides	1.0	9	0.981	0.965	3	8.69	en:readers ~ en:reader ≈ fr:rides ~ fr:ride
preacher	prient chez	1.0	9	0.969	0.9653	2	8.69	en:preacher ≈ fr:prient chez ~ fr:dit chez
meet	mites	1.0	9	0.983	0.9628	3	8.66	en:meat ≈ fr:mite ~ fr:mites ≈ en:meet
loop	loupe	1.0	9	0.98	0.9623	2	8.66	en:loop ≈ fr:loupe ~ fr:loués
beak	bique	1.0	9	0.977	0.9621	2	8.66	en:beak ≈ fr:bique ~ fr:biche
dare	der	1.0	9	0.97	0.962	2	8.66	en:dare ≈ fr:der ~ fr:se
sect	sectes	1.0	9	0.964	0.9618	2	8.66	en:sect ≈ fr:sectes ~ fr:secte
talk	toquent	1.0	9	0.975	0.9599	2	8.64	en:talk ≈ fr:toquent ~ fr:touchés
sketch	sketchs	1.0	9	0.963	0.9606	2	8.64	en:sketch ≈ fr:sketchs ~ en:sketches
been	bine	1.0	9	0.963	0.9593	3	8.63	en:meter ≈ fr:mire ~ fr:bine ≈ en:been
messy	mets sis	1.0	9	0.966	0.9569	3	8.61	en:sexy ≈ fr:secs sis ~ fr:mets sis ≈ en:messy
center	sain tes	0.976	9	0.965	0.9569	2	8.61	en:bending ≈ fr:ben digne ~ fr:sain tes ≈ en:center
preppy	brebis	0.929	9	0.963	0.9557	2	8.6	en:preppy ≈ fr:brebis = en:sheep
clews	cluses	0.97	9	0.958	0.953	2	8.58	en:clews ≈ fr:cluses ~ fr:clous
treason	tries haine	0.98	9	0.958	0.9539	2	8.58	en:treason ≈ fr:tries haine ~ fr:haines tri
friendly	freinent lis	0.983	9	0.96	0.9522	2	8.57	en:friendly ≈ fr:freinent lis ~ fr:plaisante
booze	bouses	1.0	9	0.953	0.9523	2	8.57	≈ fr:steppes ~ fr:bouses ≈ en:booze
podcast	pot caste	0.957	9	0.961	0.9508	2	8.56	en:podcast ≈ fr:pot caste ~ fr:peut aise
stelae	stylé	0.929	9	0.952	0.9511	2	8.56	en:stela ~ en:stelae ≈ fr:stylé
acoustic	égouts tic	0.952	9	0.965	0.9501	2	8.55	en:acoustic ≈ fr:égouts tic ~ fr:tic
modern	mot haine	0.929	9	0.954	0.9496	2	8.55	≈ fr:pris haine ~ fr:mot haine ≈ en:modern
predators	prêtait aise	0.955	9	0.951	0.9497	2	8.55	en:creators ≈ fr:créait aise ~ fr:prêtait aise ≈ en:predators
moisture	bossent chez	0.949	9	0.962	0.9467	2	8.52	en:moisture ≈ fr:bossent chez ~ fr:dit chez
pattern	peut haine	0.929	9	0.957	0.9453	2	8.51	en:pattern ≈ fr:peut haine ~ fr:sait haine
wonder	van des	0.9	9	0.956	0.9447	3	8.5	en:lender ≈ fr:lin des ~ fr:van des ≈ en:wonder
needed	nid aide	0.952	9	0.955	0.9442	2	8.5	en:rickey ≈ fr:requis = en:needed ≈ fr:nid aide
forensic	forain sec	0.955	9	0.948	0.9431	2	8.49	en:forensic ≈ fr:forain sec ~ en:sec
softball	savent bol	0.966	9	0.947	0.9432	2	8.49	en:baseball ~ en:softball ≈ fr:savent bol
rebury	repris	0.952	9	0.953	0.9418	2	8.48	en:rebury ≈ fr:repris ~ en:recoup
closing	clous in	0.924	9	0.947	0.942	2	8.48	en:closing ≈ fr:clous in ~ fr:clous
survival	ces aval	0.903	9	0.943	0.9427	2	8.48	en:survival ≈ fr:ces aval ~ fr:raies les
enjoyed	haines chaude	0.918	9	0.943	0.9397	2	8.46	en:enjoys ~ en:enjoyed ≈ fr:haines chaude
reaches	rient chaise	0.98	9	0.945	0.9386	2	8.45	≈ en:reaching ~ en:reaches ≈ fr:rient chaise
transmitted	traînes met aide	0.94	9	0.944	0.9387	2	8.45	en:transmitted ≈ fr:traînes met aide ~ fr:plient aide
cooed	coude	1.0	9	0.954	0.9378	4	8.44	~ fr:country en:cooed rhea ~ en:cooed ≈ fr:coude ~ fr:coudes
counted	gagnent aide	0.927	9	0.941	0.9373	2	8.44	en:counting ~ en:counted ≈ fr:gagnent aide
proceeding	près éden	0.922	9	0.938	0.9376	2	8.44	en:pressmen ≈ fr:près mène ~ fr:près éden ≈ en:proceeding
according	écot in	0.922	9	0.938	0.9373	2	8.44	en:printing ≈ fr:prennent in ~ fr:écot in ≈ en:according
shooters	jouent aise	0.952	9	0.939	0.937	3	8.43	en:prejudice ≈ fr:prêt jouent hisse ~ fr:jouent aise ≈ en:shooters
creditors	crédit aise	0.96	9	0.938	0.9369	2	8.43	en:creditors ≈ fr:crédit aise ~ en:credit
pretty	prêter	0.952	9	0.937	0.9362	2	8.43	en:pretor ≈ fr:prêtons ~ fr:prêter ≈ en:pretty
created	créait aide	0.943	9	0.941	0.9357	2	8.42	en:created ≈ fr:créait aide ~ fr:plient aide
transit	train cette	0.932	9	0.938	0.9351	2	8.42	en:transit ≈ fr:train cette ~ fr:cet
mourning	mon in	0.926	9	0.936	0.9349	2	8.41	en:mourning ≈ fr:mon in ~ en:in
court art	constate	0.931	9	0.944	0.9338	2	8.4	en:court art ≈ fr:constate ~ fr:constater
edges	aides aise	0.929	9	0.937	0.9336	2	8.4	en:edges ≈ fr:aides aise ~ fr:aident aise
census	sain cesse	0.96	9	0.934	0.9328	2	8.4	en:census ≈ fr:sain cesse ~ fr:prient cessé
arrest	restent	1.0	9	0.947	0.9322	2	8.39	en:remainder ~ fr:restent ≈ en:arrest
gesture	jet chez	0.966	9	0.934	0.9322	2	8.39	en:gesture ≈ fr:jet chez ~ en:jet
court utter	constater	0.932	9	0.944	0.9309	2	8.38	en:court art ≈ fr:constate ~ fr:constater ≈ en:court utter
bucked	pacte	0.94	9	0.935	0.9309	2	8.38	≈ en:busted ~ en:bucked ≈ fr:pacte
foresaw	fonçons	0.94	9	0.958	0.9296	2	8.37	en:foresaw ≈ fr:fonçons ~ fr:foncés
quantity	quad tee	0.94	9	0.943	0.9299	2	8.37	en:quantities ~ en:quantity ≈ fr:quad tee
residential	raies tain gel	0.94	9	0.934	0.93	2	8.37	en:residential ≈ fr:raies tain gel ~ fr:faut chenet lis
deceit	décide	0.929	9	0.93	0.9298	2	8.37	≈ en:decease ~ en:deceit ≈ fr:décide
melted	mènent aide	0.921	9	0.937	0.9267	2	8.34	en:pointed ≈ fr:peinent aide ~ fr:mènent aide ≈ en:melted
traders	trait aise	0.935	9	0.935	0.927	2	8.34	en:traders ≈ fr:trait aise ~ fr:trait in
beaches	but chaise	0.947	9	0.934	0.927	2	8.34	en:beaches ≈ fr:but chaise ~ fr:bradent chaise
it attack	esthétique	0.915	9	0.933	0.9268	2	8.34	en:it attack ≈ fr:esthétique ~ en:aesthetic
wardrobe	vont robe	0.903	9	0.932	0.9254	2	8.33	en:wardrobe ≈ fr:vont robe ~ fr:con veste
planted	planent aide	0.966	9	0.932	0.9254	2	8.33	en:planting ~ en:planted ≈ fr:planent aide
itself	êtes elfes	0.96	9	0.931	0.9256	2	8.33	en:itself ≈ fr:êtes elfes ~ fr:mas elfes
error	aires	1.0	9	0.976	0.9244	2	8.32	en:error ≈ fr:aires ~ fr:amas
gasoline	gars ligne	0.919	9	0.933	0.924	2	8.32	en:gasoline ≈ fr:gars ligne ~ fr:gars aise
credited	crédit aide	0.96	9	0.926	0.9249	2	8.32	en:credited ≈ fr:crédit aide ~ en:credit
engine	haines gêne	0.94	9	0.928	0.9232	2	8.31	en:frozen ≈ fr:frais haine ~ fr:haines gêne ≈ en:engine
pitcher	paient chez	0.976	9	0.933	0.9221	2	8.3	en:pitcher ≈ fr:paient chez ~ fr:taxent chez
expressing	exprès in	0.959	9	0.924	0.9219	2	8.3	en:expressing ≈ fr:exprès in ~ fr:justifie
descended	dizaines aide	0.928	9	0.927	0.9217	2	8.29	en:descended ≈ fr:dizaines aide ~ fr:plient aide
quantities	quad dix	0.934	9	0.927	0.921	2	8.29	en:quantity ~ en:quantities ≈ fr:quad dix
whichever	huit cheveux	0.93	9	0.92	0.9177	2	8.26	en:whichever ≈ fr:huit cheveux ~ fr:cheveux
engineered	haines jeun ides	0.914	9	0.921	0.9157	2	8.24	en:engineered ≈ fr:haines jeun ides ~ fr:sait haine
conductor	con dictée	0.94	9	0.93	0.9144	2	8.23	en:conductor ≈ fr:con dictée ~ fr:disent
fleas	plisse	0.911	9	0.94	0.9138	2	8.22	en:fleas ≈ fr:plisse ~ fr:plié
flu	floue	1.0	9	0.928	0.9134	3	8.22	en:grippe ≈ fr:grippe = en:flu ≈ fr:floue
rendering	reines ring	0.935	9	0.945	0.9126	2	8.21	en:render ~ en:rendering ≈ fr:reines ring
trusting	tracent in	0.947	9	0.923	0.911	2	8.2	≈ en:trusted ~ en:trusting ≈ fr:tracent in
commonly	commun lis	0.935	9	0.914	0.9076	2	8.17	en:manly ≈ fr:main lis ~ fr:commun lis ≈ en:commonly
congressional	con greffon elle	0.908	9	0.922	0.9064	2	8.16	en:congressional ≈ fr:con greffon elle ~ fr:parrain ode
restricted	ries trinquent aide	0.942	9	0.916	0.9049	2	8.14	en:restricted ≈ fr:ries trinquent aide ~ fr:trient aide
endangered	haines in jette	0.905	9	0.905	0.9032	2	8.13	en:endangered ≈ fr:haines in jette ~ en:jet
destroys	dissent rose	0.96	9	0.91	0.9001	2	8.1	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes
bordered	bond aide	0.929	9	0.9	0.899	2	8.09	en:bordered ≈ fr:bond aide ~ fr:aident aide
porting	bottines	0.926	9	0.898	0.8976	2	8.08	≈ en:ported ~ en:porting ≈ fr:bottines
bet	bêtes	1.0	8	0.991	0.9817	3	7.85	en:fall ≈ fr:folle ~ fr:bêtes ≈ en:bet
scene	seine	1.0	8	0.982	0.9808	2	7.85	en:scene ≈ fr:seine ~ fr:seines
fess	fesses	1.0	8	0.986	0.9796	2	7.84	en:fess ≈ fr:fesses = en:booty
bootie	boutis	1.0	8	0.98	0.9775	2	7.82	en:bootee ~ en:bootie ≈ fr:boutis
tel	telles	1.0	8	0.985	0.976	3	7.81	en:tell ≈ fr:tels ~ en:tel ≈ fr:telles
cootie	coutil	1.0	8	0.983	0.9721	2	7.78	en:cootie ≈ fr:coutil ~ fr:coulent
lessee	laisser	0.97	8	0.976	0.972	2	7.78	en:lessee ≈ fr:laisser ~ fr:laisse
call	collent	1.0	8	0.983	0.9697	2	7.76	en:calling ~ en:call ≈ fr:collent
sued	soudes	1.0	8	0.977	0.9705	2	7.76	en:suing ~ en:sued ≈ fr:soudes
said	cède	1.0	8	0.977	0.9673	2	7.74	en:said ≈ fr:cède ~ fr:délivré
settlers	sait lès	0.98	8	0.973	0.9678	2	7.74	en:settler ~ en:settlers ≈ fr:sait lès
caught	cote	1.0	8	0.977	0.966	3	7.73	en:court ≈ fr:cotes ~ fr:cote ≈ en:caught
quick	couic	0.975	8	0.975	0.9668	2	7.73	en:quick ≈ fr:couic ~ fr:coulent
monthly	mènent lis	0.935	8	0.971	0.966	2	7.73	en:monthly ≈ fr:mènent lis ~ fr:mènent
fraught	frotte	1.0	8	0.989	0.965	2	7.72	en:fraught ≈ fr:frotte ~ fr:fronde
zest	zestes	1.0	8	0.977	0.9649	2	7.72	en:zest ≈ fr:zestes ~ fr:jurassic
sexy	secs sis	1.0	8	0.977	0.965	2	7.72	en:cm ≈ fr:sis aiment ~ fr:secs sis ≈ en:sexy
beefy	biffer	0.97	8	0.969	0.9645	2	7.72	en:beefy ≈ fr:biffer ~ fr:biffent
peaky	piquer	0.97	8	0.973	0.9636	2	7.71	en:peaky ≈ fr:piquer ~ fr:piquent
teak	tique	1.0	8	0.972	0.9642	2	7.71	≈ fr:teck = en:teak ≈ fr:tique
beef	biffent	1.0	8	0.969	0.9637	2	7.71	en:beefy ≈ fr:biffer ~ fr:biffent ≈ en:beef
cm	sis aiment	1.0	8	0.977	0.962	2	7.7	en:cm ≈ fr:sis aiment ~ fr:secs sis
chef	chefs	1.0	8	0.975	0.9625	2	7.7	en:chef ≈ fr:chefs ~ fr:directeurs
debtor	doté	0.94	8	0.966	0.9611	2	7.69	≈ en:debt ~ en:debtor ≈ fr:doté
suit	soutes	1.0	8	0.966	0.961	3	7.69	~ en:settees fr:sottises ~ fr:soutes ≈ en:suit
bending	ben digne	0.944	8	0.965	0.9594	2	7.68	en:bending ≈ fr:ben digne ~ fr:sain tes
stalky	stocker	0.976	8	0.961	0.9599	2	7.68	≈ en:stalk ~ en:stalky ≈ fr:stocker
picky	piquer	0.945	8	0.968	0.9591	2	7.67	en:picky ≈ fr:piquer ~ fr:piquent
parental	prennent elle	0.963	8	0.961	0.9594	2	7.67	en:parenting ~ en:parental ≈ fr:prennent elle
pees	pise	1.0	8	0.979	0.9581	2	7.66	en:pee ~ en:pees ≈ fr:pise
preserve	pris ève	0.944	8	0.958	0.957	2	7.66	≈ fr:pris né ~ fr:pris ève ≈ en:preserve
pl	pie aile	1.0	8	0.958	0.9576	2	7.66	en:pl ≈ fr:pie aile ~ fr:pie
reddest	raies est	0.94	8	0.958	0.9566	2	7.65	en:redden ~ en:reddest ≈ fr:raies est
dancers	tan seize	0.94	8	0.956	0.955	2	7.64	en:dancers ≈ fr:tan seize ~ en:seize
readies	redisent	0.956	8	0.956	0.9555	2	7.64	en:redder ~ fr:redisent ≈ en:readies
particle	bat quel	0.94	8	0.965	0.9534	2	7.63	en:particle ≈ fr:bat quel ~ fr:bat les
porgy	pot chie	0.932	8	0.954	0.954	2	7.63	en:porgy ≈ fr:pot chie ~ fr:peut aise
anis	anise	0.945	8	0.982	0.9523	2	7.62	en:anise ~ fr:anise ≈ en:anis
marques	max	0.985	8	0.969	0.953	2	7.62	en:maxed ~ fr:max ≈ en:marques
teddy	dédie	0.945	8	0.968	0.9521	2	7.62	en:deport ≈ fr:dépote ~ fr:dédie ≈ en:teddy
butler	bat les	0.976	8	0.965	0.9527	2	7.62	en:particle ≈ fr:bat quel ~ fr:bat les ≈ en:butler
custom	cassent homme	0.96	8	0.953	0.9524	2	7.62	≈ fr:cessent homme ~ fr:cassent homme ≈ en:custom
seated	scient aide	0.976	8	0.953	0.953	2	7.62	en:seated ≈ fr:scient aide ~ fr:scient
an	haine	0.94	8	0.954	0.949	4	7.59	≈ fr:prison tes en:prison ≈ fr:pris haine ~ fr:haine ≈ en:an
bellied	bolide	0.932	8	0.949	0.9481	2	7.59	en:bellied ≈ fr:bolide ~ fr:boris
ceded	scient aide	0.952	8	0.949	0.949	2	7.59	en:ceded ≈ fr:scient aide ~ fr:scient
seeded	scient aide	0.952	8	0.949	0.949	2	7.59	en:seeded ≈ fr:scient aide ~ fr:scient
bellies	belize	0.96	8	0.948	0.948	3	7.58	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies
cedars	scient aise	0.952	8	0.948	0.948	2	7.58	en:cedars ≈ fr:scient aise ~ fr:scient
requested	recoins tête	0.93	8	0.948	0.947	3	7.58	en:granted ≈ fr:cran tête ~ fr:recoins tête ≈ en:requested
seeders	scient aise	0.952	8	0.948	0.948	2	7.58	en:seeders ≈ fr:scient aise ~ fr:scient
exhort	exode	0.976	8	0.972	0.946	2	7.57	en:exodus = fr:exode ≈ en:exhort
