en	fr	old_combo	prosody	meaning	tier
very little	territoire	0.475	0.638	0.348	A
act of	active	0.631	0.912	0.543	GOLD
why did	les aides	0.504	0.816	0.347	A
make him	maxime	0.577	0.785	0.452	GOLD
only the	on lies a	0.524	0.817	0.257	A
that time	but âme	0.540	0.838	0.458	GOLD
though in	lorraine	0.493	0.772	0.371	A
but though	but deux	0.494	0.843	0.576	GOLD
of whom	aux hommes	0.502	0.773	0.546	GOLD
last night	les trente	0.546	0.735	0.353	A
degree of	drive	0.514	0.702	0.202	A
well known	yen aune	0.538	0.861	0.307	A
of seeing	as hic	0.459	0.867	0.375	A
he can	icône	0.634	0.869	0.497	GOLD
father and	pas rendent	0.493	0.775	0.435	A
to day	tout et	0.517	0.830	0.452	GOLD
endeavour to	un des tout	0.566	0.844	0.425	A
to return	certaines	0.603	0.882	0.383	A
did the	dit le	0.598	0.910	0.608	GOLD
oh yes	horace	0.585	0.740	0.583	GOLD
you shall	michel	0.452	0.861	0.504	GOLD
that will	dit il	0.480	0.849	0.535	GOLD
not one	d n	0.470	0.827	0.420	A
thought it	tout êtes	0.512	0.867	0.514	GOLD
how could	arcades	0.491	0.766	0.276	A
the fact	d actes	0.558	0.871	0.621	GOLD
to understand	tout stade	0.566	0.778	0.575	GOLD
colonel fitzwilliam	con out septième	0.500	0.819	0.220	A
my wife	mariages	0.533	0.718	0.655	GOLD
the strange	des train d	0.462	0.714	0.522	GOLD
that at	d hôte	0.495	0.844	0.472	GOLD
the fishery	d écrits	0.496	0.754	0.340	A
his boat	ces pote	0.475	0.789	0.321	A
his crew	inscrit	0.507	0.676	0.426	A
yet the	et de	0.499	0.703	0.752	GOLD
of time	aux dames	0.484	0.840	0.468	GOLD
to live	relève	0.583	0.896	0.486	GOLD
her for	et or	0.608	0.672	0.384	A
know how	noria	0.580	0.754	0.459	GOLD
in fact	on actes	0.558	0.831	0.600	GOLD
of good	aux guide	0.458	0.863	0.468	GOLD
the general	d génial	0.464	0.859	0.375	A
these are	des are	0.542	0.811	0.510	GOLD
is more	n or	0.495	0.783	0.505	GOLD
and lydia	in lady	0.503	0.716	0.560	GOLD
connected with	connectent s	0.635	0.901	0.734	GOLD
any one	un moine	0.488	0.842	0.320	A
and some	n aime	0.492	0.863	0.483	GOLD
see you	signé	0.579	0.862	0.411	A
me my	main a	0.535	0.806	0.564	GOLD
be no	bon au	0.607	0.731	0.527	GOLD
come back	québec	0.553	0.869	0.228	A
it on	arène	0.511	0.759	0.502	GOLD
be more	bitter	0.549	0.709	0.331	A
gone to	gain tout	0.749	0.885	0.342	A
you mean	on n	0.479	0.762	0.564	GOLD
great deal	griffes il	0.692	0.816	0.396	A
had to	et tout	0.638	0.804	0.451	GOLD
then you	son ion	0.464	0.811	0.348	A
and an	en donne	0.537	0.816	0.558	GOLD
being the	bien de	0.595	0.724	0.607	GOLD
listened to	les on tout	0.634	0.864	0.404	A
you as	noise	0.463	0.830	0.172	A
back and	bancaire	0.461	0.815	0.322	A
the chief	d sauf	0.459	0.856	0.511	GOLD
not for	et for	0.651	0.704	0.554	GOLD
and do	in do	0.533	0.792	0.910	GOLD
had done	en donne	0.521	0.856	0.403	A
without any	les et henni	0.588	0.825	0.408	A
uncle and	on calendes	0.514	0.796	0.410	A
for what	froide	0.563	0.840	0.323	A
away to	avait où	0.609	0.860	0.571	GOLD
feel the	fils et	0.702	0.964	0.490	GOLD
whole of	relève	0.499	0.807	0.590	GOLD
and be	n dit	0.591	0.898	0.628	GOLD
time the	thèmes a	0.494	0.845	0.290	A
was my	les ma	0.508	0.738	0.592	GOLD
do so	tous à	0.546	0.827	0.589	GOLD
had passed	et poste	0.565	0.835	0.480	GOLD
took the	toutes à	0.473	0.831	0.600	GOLD
now to	met où	0.600	0.821	0.623	GOLD
the true	d roue	0.600	0.786	0.498	GOLD
and still	en style	0.598	0.886	0.353	A
mrs collins	mais escale	0.474	0.894	0.366	A
was about	les évite	0.494	0.797	0.512	GOLD
scene of	son s	0.487	0.739	0.509	GOLD
him when	on veine	0.585	0.820	0.295	A
baker street	banques frites	0.660	0.807	0.376	A
cried the	bras de	0.560	0.625	0.377	A
down upon	don open	0.481	0.709	0.277	A
the carpenter	décapante	0.485	0.821	0.384	A
mr starbuck	must avec	0.455	0.801	0.506	GOLD
me it	merde	0.491	0.780	0.751	GOLD
be an	viennent	0.515	0.839	0.487	GOLD
the english	bien glace	0.456	0.798	0.256	A
and is	en dise	0.566	0.893	0.667	GOLD
the former	réforme	0.716	0.806	0.435	A
as with	aux ouais	0.479	0.841	0.613	GOLD
to chapter	t chatte	0.548	0.898	0.280	A
by their	bas air	0.784	0.809	0.348	A
speak of	stockage	0.462	0.826	0.262	A
some one	son vannes	0.583	0.824	0.501	GOLD
none of	non as	0.523	0.773	0.719	GOLD
for she	forte	0.635	0.724	0.435	A
that but	d but	0.479	0.860	0.625	GOLD
have gone	aux bonne	0.536	0.816	0.492	GOLD
at netherfield	et deux files	0.509	0.840	0.322	A
bingley was	bon clients	0.528	0.849	0.215	A
looking at	lien as	0.465	0.760	0.654	GOLD
are very	algérie	0.555	0.725	0.225	A
power of	pareil	0.567	0.735	0.503	GOLD
because he	billets et	0.489	0.827	0.408	A
how he	haïti	0.513	0.743	0.217	A
opportunity of	afin rives	0.502	0.679	0.543	A
make the	mecs a	0.520	0.887	0.486	GOLD
to each	torches	0.582	0.698	0.243	A
himself and	un certaines	0.453	0.784	0.559	GOLD
afraid of	et des ève	0.471	0.810	0.246	A
was more	les bords	0.486	0.745	0.502	GOLD
know the	nos a	0.623	0.830	0.663	GOLD
manner of	mon rêve	0.602	0.726	0.341	A
standing in	stand in	0.573	0.740	0.903	GOLD
it at	arrêtent	0.511	0.759	0.523	GOLD
how to	aillent où	0.637	0.822	0.513	GOLD
at him	et homme	0.507	0.756	0.712	GOLD
even the	enfin je	0.474	0.705	0.424	A
that some	d hommes	0.478	0.835	0.514	GOLD
the hall	viol	0.581	0.801	0.479	GOLD
which has	laid chose	0.493	0.860	0.497	GOLD
but on	but n	0.595	0.910	0.624	GOLD
had just	as geste	0.555	0.912	0.434	A
was he	les qui	0.480	0.831	0.511	GOLD
time for	tapent or	0.716	0.834	0.357	A
to every	devrait	0.517	0.730	0.542	GOLD
that by	d bah	0.514	0.879	0.413	A
was but	les bit	0.494	0.880	0.448	A
him by	on bail	0.499	0.780	0.279	A
why should	vachette	0.453	0.845	0.333	A
see it	suite	0.663	0.951	0.363	A
and here	en dire	0.552	0.705	0.653	GOLD
or in	honnête	0.481	0.800	0.479	GOLD
of sight	as as	0.480	0.879	0.393	A
but all	but il	0.571	0.875	0.699	GOLD
by its	baguette	0.557	0.786	0.344	A
never mind	nos malte	0.505	0.796	0.375	A
the lower	cela	0.517	0.814	0.430	A
the floor	d lors	0.482	0.826	0.418	A
out upon	et havane	0.469	0.784	0.570	GOLD
the black	technique	0.450	0.820	0.262	A
lord st	lord set	0.811	0.898	0.771	GOLD
of nantucket	n en tact	0.476	0.858	0.447	A
the sailors	ces elfes	0.464	0.811	0.255	A
whale was	réalise	0.454	0.804	0.259	A
the bows	repose	0.495	0.826	0.387	A
and its	en dix	0.534	0.832	0.577	GOLD
however that	arrives êtes	0.481	0.780	0.590	GOLD
to show	touchée	0.502	0.806	0.561	GOLD
for there	fonds air	0.671	0.838	0.381	A
the better	refaire	0.571	0.744	0.470	GOLD
not go	t go	0.484	0.831	0.675	GOLD
the full	d elle	0.472	0.855	0.513	GOLD
his mind	ces malte	0.462	0.796	0.380	A
had he	et qui	0.503	0.730	0.579	GOLD
the slightest	d ladite	0.517	0.812	0.485	GOLD
the reason	séries n	0.551	0.755	0.383	A
will do	ils où	0.524	0.879	0.474	GOLD
opinion of	opinion ève	0.508	0.856	0.921	GOLD
said mr	saint piste	0.650	0.900	0.388	A
find that	fan set	0.618	0.871	0.222	A
left the	laid de	0.654	0.790	0.511	GOLD
they should	décide	0.494	0.785	0.445	A
the honour	diane	0.533	0.872	0.441	A
soon after	son s	0.485	0.757	0.502	GOLD
to join	son jeune	0.502	0.808	0.302	A
what could	et code	0.508	0.857	0.358	A
into it	en tête	0.507	0.726	0.533	GOLD
how it	carte	0.479	0.709	0.662	GOLD
to believe	sublime	0.534	0.849	0.396	A
make her	marquis	0.481	0.767	0.202	A
he made	limite	0.488	0.825	0.299	A
colonel forster	con alors se	0.586	0.694	0.364	A
be to	but où	0.775	0.976	0.518	GOLD
the face	d s	0.474	0.828	0.346	A
had left	et lest	0.581	0.877	0.557	GOLD
her daughter	on or	0.622	0.741	0.285	A
having been	afin mine	0.502	0.828	0.489	GOLD
view of	brave	0.457	0.702	0.332	A
you say	yeux au	0.502	0.709	0.497	GOLD
or rather	horloge	0.548	0.712	0.212	A
have already	effondrait a	0.480	0.793	0.429	A
the appearance	différences	0.478	0.681	0.468	A
he then	les n	0.540	0.833	0.528	GOLD
for them	fonds aimes	0.671	0.940	0.617	GOLD
from your	frontière	0.623	0.747	0.361	A
forward and	fort en est	0.579	0.738	0.570	GOLD
the garden	regard n	0.546	0.837	0.383	A
what they	watts et	0.541	0.912	0.256	A
the utmost	d poste	0.529	0.803	0.516	GOLD
the soul	des îles	0.482	0.775	0.257	A
may not	minutes	0.576	0.797	0.273	A
loss of	les if	0.500	0.856	0.294	A
the passage	repas êtes	0.457	0.885	0.382	A
to turn	tout n	0.588	0.856	0.456	GOLD
in so	on saut	0.555	0.826	0.651	GOLD
in me	on mi	0.678	0.891	0.691	GOLD
its own	et zone	0.514	0.832	0.389	A
the third	d aides	0.460	0.861	0.483	GOLD
me of	brave	0.488	0.713	0.503	GOLD
again to	gain tout	0.628	0.867	0.467	GOLD
his mouth	ces masse	0.474	0.804	0.332	A
called the	collent de	0.833	0.852	0.637	GOLD
with its	les s	0.455	0.803	0.661	GOLD
do with	duel	0.498	0.906	0.281	A
of death	aux dette	0.470	0.891	0.354	A
this the	dit le	0.488	0.878	0.705	GOLD
st clair	son clair	0.784	0.803	0.656	GOLD
the land	relate	0.462	0.839	0.322	A
whale as	venise	0.474	0.773	0.244	A
look ye	locaux	0.498	0.807	0.532	GOLD
to marry	on henri	0.563	0.646	0.401	A
one in	on n	0.531	0.759	0.579	GOLD
even now	hymen a	0.547	0.830	0.258	A
as good	aux guide	0.476	0.850	0.390	A
two of	trouve	0.574	0.819	0.563	GOLD
read it	rider	0.715	0.793	0.293	A
not you	d où	0.480	0.810	0.382	A
him of	on ève	0.487	0.754	0.579	GOLD
friend and	freinent in	0.632	0.637	0.454	A
me so	mis à	0.628	0.815	0.702	GOLD
was over	les aube	0.521	0.835	0.239	A
were at	relate	0.470	0.832	0.445	A
oh my	homard	0.628	0.783	0.506	GOLD
give you	gays où	0.607	0.918	0.335	A
this man	d man	0.499	0.923	0.569	GOLD
sister and	set rade	0.617	0.862	0.328	A
were of	arrive	0.510	0.761	0.535	GOLD
that their	des air	0.576	0.764	0.419	A
was by	les bah	0.508	0.845	0.484	GOLD
with what	les êtes	0.481	0.814	0.550	GOLD
his life	les light	0.459	0.779	0.317	A
to mrs	tenait s	0.563	0.829	0.582	GOLD
convinced that	con vain stade	0.544	0.873	0.468	GOLD
was his	les use	0.511	0.796	0.399	A
to receive	taux if	0.501	0.930	0.387	A
face of	fait as	0.490	0.857	0.575	GOLD
of two	aux tout	0.601	0.917	0.528	GOLD
for such	fort as	0.641	0.853	0.692	GOLD
and such	in patch	0.492	0.769	0.284	A
her uncle	terrain quel	0.503	0.764	0.260	A
eyes were	aux ouah	0.531	0.808	0.427	A
were it	ouest	0.572	0.791	0.432	A
attempt to	et aimait tout	0.593	0.783	0.212	A
on it	honnête	0.785	0.940	0.497	GOLD
should like	son lac	0.593	0.831	0.351	A
that could	d guide	0.479	0.884	0.386	A
us the	et de	0.525	0.739	0.544	GOLD
give him	gars aimes	0.545	0.832	0.660	GOLD
himself in	on certaines	0.521	0.815	0.407	A
quite so	toit zoo	0.484	0.850	0.278	A
before and	porridge	0.450	0.726	0.238	A
it could	et code	0.521	0.899	0.345	A
other and	aux rendent	0.507	0.760	0.597	GOLD
there she	merci	0.577	0.756	0.466	GOLD
but by	but bah	0.683	0.891	0.590	GOLD
time in	domaine	0.529	0.844	0.314	A
well then	ils n	0.567	0.812	0.615	GOLD
we should	ouest	0.507	0.778	0.283	A
he went	ouverte	0.481	0.770	0.255	A
saw that	ces a	0.486	0.804	0.582	GOLD
open and	afin hard	0.477	0.725	0.432	A
by one	baronne	0.653	0.737	0.409	A
over me	aux mi	0.694	0.858	0.722	GOLD
owing to	ornent où	0.575	0.782	0.440	A
and finally	in vain allie	0.534	0.796	0.438	A
the red	serait	0.608	0.698	0.451	A
his feet	les vite	0.533	0.871	0.452	GOLD
death and	d un	0.462	0.819	0.453	GOLD
body of	but ive	0.519	0.836	0.402	A
we saw	ouais au	0.545	0.806	0.567	GOLD
miss austen	mais est n	0.546	0.831	0.206	A
the story	des série	0.558	0.720	0.626	GOLD
wickham and	recommande	0.477	0.807	0.465	GOLD
of miss	aux baisse	0.458	0.863	0.465	GOLD
are so	art au	0.451	0.646	0.331	A
nature of	d slave	0.462	0.833	0.435	A
certain that	son set	0.523	0.800	0.428	A
is at	aux êtes	0.511	0.864	0.631	GOLD
are in	antenne	0.507	0.824	0.146	A
bennet and	bon et n	0.528	0.860	0.819	GOLD
being in	bien n	0.605	0.874	0.508	GOLD
mr and	mais trente	0.580	0.775	0.266	A
the gentlemen	laid gênent n n	0.597	0.929	0.493	GOLD
went away	vain télé	0.471	0.843	0.227	A
happened to	open tout	0.593	0.743	0.274	A
long and	lin in	0.451	0.663	0.269	A
he may	chimie	0.509	0.828	0.209	A
for in	forte	0.711	0.709	0.508	GOLD
him it	un êtes	0.502	0.774	0.651	GOLD
fond of	fan as	0.496	0.929	0.657	GOLD
and very	in série	0.525	0.716	0.659	GOLD
shall have	genève	0.478	0.786	0.567	GOLD
the gentleman	laid gênent n n	0.597	0.929	0.427	A
in no	un au	0.570	0.718	0.519	GOLD
towards him	dehors comme	0.506	0.827	0.464	GOLD
to longbourn	saison bornes	0.552	0.794	0.477	GOLD
miss lucas	mais luxe	0.495	0.833	0.328	A
he thought	et honte	0.493	0.807	0.353	A
man that	main set	0.584	0.851	0.294	A
much in	met chaîne	0.603	0.924	0.377	A
for many	fortin a	0.628	0.717	0.402	A
to pass	défense	0.494	0.845	0.320	A
has the	yeux de	0.487	0.727	0.433	A
that would	d lord	0.468	0.861	0.483	GOLD
of mine	aux man	0.570	0.863	0.548	GOLD
found the	femmes de	0.638	0.760	0.384	A
the work	avec	0.471	0.863	0.575	GOLD
table and	témoigner	0.491	0.732	0.239	A
be as	brave	0.481	0.738	0.421	A
first time	test âme	0.637	0.891	0.247	A
is always	isoloir	0.497	0.826	0.364	A
have never	n ève	0.649	0.934	0.344	A
engaged in	un gueux jeune	0.472	0.820	0.392	A
of both	aux beauf	0.461	0.835	0.492	GOLD
parts of	partent if	0.578	0.863	0.435	A
until the	un tels est	0.455	0.860	0.497	GOLD
little of	lyonnaise	0.453	0.749	0.247	A
to enter	tiennent	0.600	0.845	0.511	GOLD
us all	et il	0.495	0.782	0.508	GOLD
understand that	n stand cette	0.585	0.770	0.516	GOLD
each of	et savent	0.498	0.840	0.352	A
the son	d n	0.495	0.855	0.401	A
son of	son s	0.510	0.769	0.758	GOLD
in time	on dame	0.536	0.820	0.406	A
hope that	complètes	0.467	0.772	0.447	A
see how	signé	0.563	0.756	0.363	A
that as	d use	0.474	0.832	0.432	A
death of	d if	0.474	0.888	0.264	A
as ever	élèves	0.640	0.900	0.382	A
so in	sienne	0.593	0.774	0.682	GOLD
all right	oriente	0.460	0.730	0.529	GOLD
now for	d or	0.563	0.776	0.437	A
two days	tout âge	0.594	0.822	0.377	A
seen the	son de	0.610	0.703	0.633	GOLD
that man	d man	0.509	0.933	0.611	GOLD
the blue	tableau	0.501	0.871	0.472	GOLD
the corner	records	0.635	0.790	0.168	A
me at	merde	0.461	0.780	0.671	GOLD
it then	s n	0.600	0.910	0.568	GOLD
the lord	pilote	0.457	0.841	0.281	A
my hands	mayonnaise	0.495	0.767	0.133	A
the lake	reliques	0.582	0.844	0.273	A
of water	aux or	0.607	0.702	0.350	A
the life	relate	0.569	0.839	0.424	A
the rope	salope	0.460	0.758	0.504	GOLD
the pacific	spécifique	0.500	0.874	0.430	A
of whaling	ivoirienne	0.459	0.805	0.225	A
this whale	d huile	0.464	0.851	0.127	A
of ye	avion	0.511	0.811	0.313	A
deck and	liquide	0.463	0.847	0.181	A
good deal	goût il	0.679	0.890	0.417	A
sure that	chairs a	0.506	0.818	0.178	A
possible that	pas belles et	0.488	0.849	0.435	A
the hope	découpe	0.470	0.761	0.247	A
was impossible	les on pas belle	0.478	0.847	0.420	A
if not	et notes	0.481	0.867	0.356	A
be said	but aides	0.706	0.948	0.444	A
though she	souci	0.487	0.771	0.398	A
us in	et n	0.540	0.866	0.458	GOLD
and miss	in mince	0.456	0.807	0.422	A
this and	d hard	0.460	0.804	0.404	A
speak to	piquent a	0.663	0.934	0.505	GOLD
now it	naïf	0.638	0.900	0.305	A
place and	plus hard	0.596	0.734	0.370	A
better than	maires n	0.570	0.861	0.420	A
day before	déclare	0.584	0.656	0.478	A
he continued	écart un coude	0.499	0.736	0.361	A
and never	un ève	0.689	0.880	0.379	A
few days	fut haïssent	0.480	0.836	0.221	A
from one	fromage	0.542	0.736	0.335	A
to bring	technique	0.452	0.792	0.291	A
illustration chapter	les trahison chips	0.454	0.764	0.160	A
never heard	les aides	0.494	0.814	0.227	A
attention to	et un ton tout	0.559	0.782	0.557	GOLD
half an	et n	0.496	0.741	0.461	GOLD
him there	un chair	0.582	0.693	0.580	A
her as	cerise	0.526	0.768	0.548	GOLD
right to	rat tout	0.799	0.778	0.410	A
wish of	lessive	0.504	0.856	0.445	A
the object	land secte	0.583	0.831	0.259	A
to discover	t et gave	0.536	0.875	0.449	A
he does	et onze	0.503	0.756	0.310	A
chance of	tchad as	0.546	0.899	0.276	A
open the	enfin je	0.468	0.648	0.400	A
suppose that	impôts dette	0.525	0.838	0.177	A
the question	secret chaîne	0.516	0.812	0.369	A
in life	on light	0.573	0.820	0.361	A
line of	lien as	0.475	0.765	0.482	GOLD
to remain	termine	0.680	0.803	0.505	GOLD
fear of	france	0.493	0.638	0.181	A
in many	on mini	0.606	0.878	0.306	A
something in	son pain in	0.464	0.672	0.207	A
day of	dérive	0.683	0.801	0.447	A
at night	et notes	0.514	0.818	0.329	A
appear to	était où	0.583	0.848	0.467	GOLD
and aunt	en dites	0.513	0.800	0.482	GOLD
made the	mais je	0.595	0.745	0.412	A
to follow	t aller	0.480	0.811	0.666	GOLD
you for	but or	0.558	0.781	0.491	GOLD
them at	limite	0.502	0.865	0.389	A
had already	et offrait a	0.452	0.746	0.522	GOLD
there he	série	0.533	0.781	0.507	GOLD
door of	arrive	0.506	0.683	0.600	A
end to	est tout	0.707	0.842	0.472	GOLD
the windows	soin doses	0.563	0.818	0.153	A
to myself	on hais elfes	0.599	0.852	0.224	A
his son	ils n	0.495	0.813	0.404	A
even to	in tout	0.498	0.818	0.684	GOLD
will find	veulent hard	0.457	0.781	0.428	A
they may	germer	0.506	0.796	0.318	A
have thought	aux pote	0.538	0.822	0.558	GOLD
then it	son êtes	0.500	0.852	0.691	GOLD
the death	laid s	0.512	0.925	0.414	A
of so	as au	0.491	0.755	0.524	GOLD
long time	son dame	0.509	0.784	0.364	A
we all	viol	0.650	0.893	0.437	A
the trees	d rose	0.469	0.766	0.293	A
the front	retraite	0.456	0.723	0.252	A
seen him	son aimes	0.584	0.836	0.619	GOLD
that sort	d short	0.633	0.829	0.423	A
the various	des iris	0.531	0.719	0.349	A
was this	as s	0.472	0.875	0.379	A
even as	venise	0.636	0.813	0.380	A
the streets	ces tristes	0.589	0.754	0.395	A
up by	abbaye	0.470	0.843	0.404	A
the spot	d pâte	0.504	0.931	0.376	A
tell him	totem	0.641	0.804	0.403	A
but only	but on lie	0.646	0.833	0.495	GOLD
out for	art for	0.736	0.784	0.330	A
and half	un if	0.504	0.778	0.247	A
the city	des ri	0.577	0.672	0.407	A
hundred and	un très hard	0.482	0.664	0.389	A
the upper	drape	0.488	0.779	0.415	A
the murderer	son être	0.477	0.808	0.509	GOLD
like an	label	0.556	0.784	0.311	A
the tail	t il	0.571	0.906	0.449	A
boat was	but vases	0.577	0.870	0.226	A
the moon	on une	0.461	0.853	0.346	A
the quarter	déclare	0.462	0.721	0.517	GOLD
the stern	d n	0.478	0.846	0.445	A
at sea	et si	0.665	0.917	0.434	A
the leviathan	délais et n	0.483	0.797	0.256	A
sea the	ces a	0.526	0.877	0.499	GOLD
the fiend	décide	0.471	0.837	0.594	GOLD
men and	main un	0.530	0.816	0.559	GOLD
world and	golden	0.472	0.842	0.283	A
though not	son hôte	0.488	0.800	0.417	A
much for	met for	0.690	0.850	0.429	A
need not	nous nantes	0.583	0.864	0.444	A
which might	et smart	0.535	0.765	0.455	GOLD
darcy and	partiel	0.456	0.716	0.387	A
the common	décan n	0.503	0.860	0.540	GOLD
any rate	on arrête	0.499	0.718	0.272	A
me by	moment	0.494	0.779	0.533	GOLD
it should	est sud	0.486	0.819	0.322	A
to jane	t jeune	0.582	0.884	0.367	A
the north	son or	0.545	0.789	0.313	A
with mr	les piste	0.523	0.847	0.409	A
as any	aux aînés	0.619	0.912	0.403	A
my poor	major	0.641	0.628	0.255	A
depend upon	pain domaine	0.534	0.834	0.275	A
his character	les correct	0.505	0.748	0.473	GOLD
at their	as air	0.600	0.791	0.335	A
what can	et cane	0.508	0.857	0.351	A
them as	venise	0.476	0.822	0.406	A
and make	as mec	0.478	0.867	0.533	GOLD
well to	veulent où	0.718	0.950	0.586	GOLD
for though	forte	0.629	0.662	0.601	A
that were	tatoué	0.512	0.869	0.275	A
would never	un ève	0.683	0.887	0.302	A
came from	kit rome	0.521	0.807	0.353	A
had better	et par	0.492	0.701	0.610	GOLD
with no	les nos	0.475	0.722	0.536	GOLD
she added	viande	0.479	0.788	0.450	GOLD
make it	méthode	0.553	0.777	0.503	GOLD
the power	sympa	0.517	0.850	0.394	A
might not	man as	0.590	0.894	0.272	A
two years	tir	0.475	0.703	0.388	A
darcy was	dans élèves	0.474	0.821	0.242	A
the smallest	d modeste	0.528	0.859	0.671	GOLD
had made	et merde	0.490	0.767	0.382	A
by him	baptême	0.683	0.767	0.317	A
he sat	et êtes	0.519	0.781	0.204	A
have ever	élèves	0.592	0.837	0.318	A
without being	les et bine	0.460	0.793	0.411	A
him on	on n	0.499	0.764	0.660	GOLD
heart and	artiste	0.486	0.730	0.299	A
know it	noël	0.504	0.857	0.574	GOLD
her face	et haïssent	0.479	0.792	0.353	A
than he	jeudi	0.519	0.808	0.301	A
expression of	s prison f	0.554	0.809	0.264	A
see what	silence	0.593	0.856	0.293	A
at pemberley	et pain plie	0.570	0.883	0.493	GOLD
go on	baronne	0.552	0.765	0.343	A
long as	son aise	0.485	0.835	0.359	A
the distance	d stade	0.452	0.849	0.384	A
in short	on short	0.778	0.793	0.940	GOLD
cried elizabeth	créait les baisse	0.502	0.758	0.353	A
place in	plus n	0.647	0.820	0.436	A
the wild	bavarde	0.456	0.757	0.573	GOLD
in them	ils aiment	0.597	0.900	0.559	GOLD
them for	vain for	0.671	0.808	0.514	GOLD
behaviour to	pays et où	0.473	0.803	0.367	A
how many	gamin et	0.450	0.800	0.366	A
not do	d tout	0.500	0.881	0.418	A
piece of	pas as	0.482	0.837	0.557	GOLD
me what	milan	0.608	0.803	0.509	GOLD
could only	but on lie	0.556	0.798	0.394	A
made up	madame	0.505	0.806	0.294	A
let the	laid de	0.714	0.843	0.672	GOLD
again in	rien n	0.558	0.815	0.417	A
where she	merci	0.560	0.734	0.358	A
turning to	on un tout	0.556	0.814	0.361	A
my feelings	met héloïse	0.493	0.856	0.342	A
few moments	sinon hertz	0.484	0.738	0.324	A
did she	d j	0.608	0.892	0.357	A
listen to	les en tout	0.653	0.872	0.492	GOLD
but of	but if	0.500	0.897	0.581	GOLD
this world	d lord	0.452	0.816	0.449	A
have some	as home	0.481	0.842	0.308	A
them that	thèmes a	0.489	0.874	0.402	A
and found	in tarde	0.459	0.767	0.345	A
or to	eurent où	0.740	0.852	0.533	GOLD
it by	et bah	0.528	0.842	0.493	GOLD
can hardly	canards dit	0.609	0.805	0.374	A
many years	main erreur	0.480	0.755	0.297	A
on either	on il	0.540	0.878	0.650	GOLD
occurred to	était tout	0.548	0.822	0.672	GOLD
was left	les laisse	0.475	0.867	0.655	GOLD
the company	chacun petit	0.528	0.809	0.277	A
it over	grave	0.472	0.649	0.380	A
the loss	police	0.458	0.834	0.182	A
she cried	secrète	0.477	0.675	0.196	A
and without	un des out	0.485	0.856	0.544	GOLD
when my	vain ma	0.563	0.725	0.639	GOLD
his daughter	s or	0.605	0.780	0.223	A
confess that	con fesses as	0.618	0.933	0.390	A
concerning the	con son un de	0.536	0.765	0.547	GOLD
on and	on hard	0.531	0.727	0.610	GOLD
for any	forain a	0.539	0.728	0.532	GOLD
what has	et case	0.481	0.802	0.499	GOLD
came in	copine	0.584	0.824	0.380	A
he now	un are	0.488	0.749	0.417	A
life of	land if	0.458	0.830	0.316	A
off to	ont tout	0.637	0.895	0.429	A
you did	but aides	0.476	0.887	0.231	A
among them	mon thème	0.557	0.772	0.421	A
ever since	s s	0.563	0.885	0.434	A
and also	en donnent au	0.509	0.722	0.672	GOLD
that such	d patch	0.554	0.874	0.252	A
off from	est femme	0.471	0.863	0.341	A
back in	bancaire	0.494	0.806	0.347	A
that that	dit cet	0.473	0.725	0.717	GOLD
what did	et z	0.488	0.820	0.473	GOLD
these were	disait	0.522	0.886	0.640	GOLD
stand by	stand bah	0.739	0.877	0.753	GOLD
the facts	d actes	0.465	0.857	0.615	GOLD
his back	les bac	0.456	0.871	0.462	GOLD
the wall	viol	0.565	0.823	0.501	GOLD
my friends	mat rhin d	0.547	0.783	0.462	GOLD
stubb and	stupide	0.601	0.849	0.391	A
the seas	d use	0.490	0.847	0.204	A
thou art	yaourt	0.535	0.710	0.558	GOLD
to leeward	police	0.475	0.836	0.316	A
cried stubb	grand stop	0.507	0.790	0.118	A
chapter chapter	tchad chatte	0.616	0.893	0.187	A
who are	voire	0.478	0.686	0.507	A
all things	holdings	0.474	0.665	0.317	A
three years	prière	0.478	0.737	0.266	A
the picture	débecte	0.457	0.879	0.554	GOLD
of no	n au	0.475	0.750	0.684	GOLD
and nothing	in dancing	0.476	0.675	0.227	A
had at	en hâte	0.537	0.748	0.532	GOLD
the party	reparti	0.527	0.787	0.352	A
you come	yoga	0.458	0.825	0.086	A
heard that	et cette	0.473	0.652	0.608	A
to visit	devez if	0.512	0.905	0.309	A
over it	aux dette	0.558	0.800	0.341	A
intended to	on n tout	0.670	0.837	0.478	GOLD
morning and	man un in	0.479	0.661	0.431	A
and once	on douanes	0.505	0.869	0.615	GOLD
jane was	viennoise	0.534	0.803	0.734	GOLD
her at	honnête	0.495	0.813	0.444	A
never saw	neiges on	0.601	0.927	0.339	A
that which	d lèche	0.475	0.861	0.601	GOLD
but was	but as	0.490	0.894	0.697	GOLD
nor was	normal	0.605	0.753	0.147	A
said in	saint n	0.646	0.916	0.382	A
pleasure of	plus rêve	0.616	0.833	0.458	GOLD
she should	chiffres	0.580	0.718	0.175	A
than she	on chie	0.600	0.866	0.303	A
but these	but disent	0.655	0.928	0.529	GOLD
had she	et j	0.527	0.762	0.497	GOLD
of happiness	assassin s	0.473	0.762	0.235	A
eyes of	arrive	0.592	0.793	0.389	A
turned to	n tout	0.597	0.895	0.483	GOLD
before she	et archi	0.605	0.675	0.393	A
pair of	preuve	0.573	0.726	0.429	A
how long	colonne	0.502	0.837	0.159	A
