en	fr	sound	meaning	cognate	tier
balloon	ballon	0.532	1.0	1	DUAL-B
sponsors	sponsors	0.566	1.0	1	DUAL-B
greenland	groenland	0.670	1.0	1	DUAL-A
demographic	démographiques	0.614	1.0	0	DUAL-A
demographic	démographique	0.614	1.0	1	DUAL-A
rahman	rahman	0.638	1.0	1	DUAL-A
ivy	ivy	0.648	1.0	1	DUAL-A
wigan	wigan	0.691	1.0	1	DUAL-A
accreditation	accréditation	0.494	1.0	1	DUAL-B
accreditation	accréditations	0.494	1.0	1	DUAL-B
vicar	vicaire	0.528	1.0	1	DUAL-B
surprising	surprenantes	0.534	1.0	0	DUAL-B
surprising	surprenant	0.541	1.0	0	DUAL-B
surprising	surprenants	0.541	1.0	0	DUAL-B
surprising	surprenante	0.534	1.0	0	DUAL-B
sandra	sandra	0.622	1.0	1	DUAL-A
rats	rats	0.572	1.0	1	DUAL-B
mali	malien	0.534	1.0	1	DUAL-B
mali	mali	0.793	1.0	1	DUAL-S
baku	bakou	0.793	1.0	1	DUAL-S
stranger	étranger	0.490	1.0	1	DUAL-B
stranger	etranger	0.490	1.0	1	DUAL-B
installations	installations	0.490	1.0	1	DUAL-B
payne	payne	0.706	1.0	1	DUAL-A
mod	mod	0.681	1.0	1	DUAL-A
projection	projection	0.649	1.0	1	DUAL-A
projection	projections	0.649	1.0	1	DUAL-A
ferrari	ferrari	0.666	1.0	1	DUAL-A
collectors	collecteur	0.683	1.0	1	DUAL-A
collectors	collecteurs	0.683	1.0	1	DUAL-A
collectors	collectionneurs	0.574	1.0	1	DUAL-B
sands	sables	0.489	1.0	0	DUAL-B
sands	sands	0.565	1.0	1	DUAL-B
subtle	subtil	0.539	1.0	1	DUAL-B
subtle	subtile	0.539	1.0	1	DUAL-B
shoe	chaussure	0.522	1.0	0	DUAL-B
basket	basket	0.694	1.0	1	DUAL-A
moroccan	marocains	0.512	1.0	0	DUAL-B
moroccan	marocain	0.512	1.0	1	DUAL-B
moroccan	marocaine	0.574	1.0	0	DUAL-B
fisheries	pêcheries	0.519	1.0	0	DUAL-B
gfdl	gfdl	0.713	1.0	1	DUAL-A
resolutions	résolutions	0.495	1.0	1	DUAL-B
silicon	silicon	0.544	1.0	1	DUAL-B
silicon	silicone	0.594	1.0	1	DUAL-B
silicon	silicium	0.484	1.0	0	DUAL-B
rage	rage	0.649	1.0	1	DUAL-A
brent	brent	0.640	1.0	1	DUAL-A
aliens	étrangers	0.459	1.0	0	DUAL-B
aliens	etrangers	0.459	1.0	0	DUAL-B
cao	cao	0.710	1.0	1	DUAL-A
imagery	imagerie	0.647	1.0	1	DUAL-A
practically	pratiquement	0.507	1.0	0	DUAL-B
simmons	simmons	0.548	1.0	1	DUAL-B
circuits	circuits	0.485	1.0	1	DUAL-B
definitive	définitive	0.569	1.0	1	DUAL-B
definitive	définitif	0.509	1.0	0	DUAL-B
definitive	définitifs	0.509	1.0	0	DUAL-B
definitive	définitives	0.569	1.0	1	DUAL-B
promotes	promeut	0.586	1.0	0	DUAL-B
uranium	uranium	0.484	1.0	1	DUAL-B
complications	complication	0.513	1.0	1	DUAL-B
complications	complications	0.513	1.0	1	DUAL-B
sega	sega	0.532	1.0	1	DUAL-B
zambia	zambie	0.622	1.0	1	DUAL-A
employ	emploient	0.481	1.0	0	DUAL-B
isabella	isabella	0.568	1.0	1	DUAL-B
isabella	isabelle	0.587	1.0	1	DUAL-B
abandon	abandon	0.470	1.0	1	DUAL-B
abandon	abandonner	0.451	1.0	1	DUAL-B
abandon	abandonne	0.537	1.0	1	DUAL-B
marriages	mariages	0.497	1.0	1	DUAL-B
probable	probables	0.643	1.0	1	DUAL-A
probable	vraisemblable	0.472	1.0	0	DUAL-B
probable	probable	0.643	1.0	1	DUAL-A
amino	aminé	0.615	1.0	1	DUAL-A
amino	aminés	0.615	1.0	0	DUAL-A
accent	accentué	0.492	1.0	1	DUAL-B
accent	accentuation	0.463	1.0	0	DUAL-B
accent	accent	0.536	1.0	1	DUAL-B
accent	accents	0.536	1.0	1	DUAL-B
incorporates	incorpore	0.488	1.0	1	DUAL-B
robots	robotique	0.547	1.0	0	DUAL-B
robots	robots	0.604	1.0	1	DUAL-A
weston	weston	0.725	1.0	1	DUAL-A
parachute	parachute	0.591	1.0	1	DUAL-B
parachute	parachutisme	0.480	1.0	1	DUAL-B
parachute	parachutes	0.591	1.0	1	DUAL-B
lauren	lauren	0.645	1.0	1	DUAL-A
skiers	skieurs	0.607	1.0	1	DUAL-A
belarusian	biélorusses	0.478	1.0	0	DUAL-B
belarusian	biélorusse	0.478	1.0	0	DUAL-B
clearance	clairance	0.670	1.0	1	DUAL-A
martínez	martínez	0.566	1.0	1	DUAL-B
mercer	mercer	0.533	1.0	1	DUAL-B
mercer	mercier	0.522	1.0	1	DUAL-B
crimson	crimson	0.605	1.0	1	DUAL-A
incorrectly	incorrectement	0.552	1.0	0	DUAL-B
pharmaceutical	pharmaceutique	0.521	1.0	1	DUAL-B
dominion	dominion	0.518	1.0	1	DUAL-B
chemist	chimiste	0.562	1.0	1	DUAL-B
medley	medley	0.633	1.0	1	DUAL-A
proves	prouve	0.844	1.0	1	DUAL-S
porn	pornographie	0.644	1.0	0	DUAL-A
porn	porno	0.822	1.0	1	DUAL-S
mirrors	miroirs	0.507	1.0	1	DUAL-B
expressions	expressions	0.754	1.0	1	DUAL-S
leningrad	leningrad	0.630	1.0	1	DUAL-A
psychiatric	psychiatrique	0.538	1.0	1	DUAL-B
psychiatric	psychiatrie	0.469	1.0	1	DUAL-B
psychiatric	psychiatriques	0.538	1.0	1	DUAL-B
laos	laos	0.670	1.0	1	DUAL-A
traced	tracés	0.592	1.0	0	DUAL-B
traced	retracé	0.497	1.0	0	DUAL-B
wiltshire	wiltshire	0.673	1.0	1	DUAL-A
tense	tendu	0.503	1.0	0	DUAL-B
tense	tendus	0.503	1.0	0	DUAL-B
tense	tendue	0.503	1.0	0	DUAL-B
hectares	hectares	0.595	1.0	1	DUAL-B
hectares	hectare	0.595	1.0	1	DUAL-B
curling	curling	0.691	1.0	1	DUAL-A
fernández	fernandez	0.516	1.0	1	DUAL-B
fernández	fernández	0.516	1.0	1	DUAL-B
fury	fury	0.601	1.0	1	DUAL-A
fury	fureur	0.487	1.0	0	DUAL-B
fury	furie	0.691	1.0	0	DUAL-A
bihar	bihar	0.667	1.0	1	DUAL-A
kraków	cracovie	0.552	1.0	0	DUAL-B
confident	confiant	0.492	1.0	1	DUAL-B
confident	confiants	0.492	1.0	1	DUAL-B
confident	confiante	0.555	1.0	1	DUAL-B
pioneering	pionnier	0.460	1.0	0	DUAL-B
pioneering	pionnière	0.481	1.0	0	DUAL-B
suzuki	suzuki	0.694	1.0	1	DUAL-A
mobility	mobilité	0.566	1.0	1	DUAL-B
fascist	fasciste	0.676	1.0	1	DUAL-A
fascist	fascistes	0.676	1.0	1	DUAL-A
marquis	marquis	0.786	1.0	1	DUAL-S
registry	registre	0.622	1.0	1	DUAL-A
registry	greffe	0.468	1.0	0	DUAL-B
numerical	numérique	0.505	1.0	0	DUAL-B
catches	prises	0.467	1.0	0	DUAL-B
catches	captures	0.455	1.0	0	DUAL-B
halt	halte	0.663	1.0	1	DUAL-A
chronology	chronologie	0.643	1.0	1	DUAL-A
polytechnic	polytechnique	0.702	1.0	1	DUAL-A
randall	randall	0.608	1.0	1	DUAL-A
dunn	dunn	0.671	1.0	1	DUAL-A
leased	loués	0.554	1.0	0	DUAL-B
leased	louées	0.554	1.0	0	DUAL-B
leased	loué	0.554	1.0	0	DUAL-B
chandler	chandler	0.596	1.0	1	DUAL-B
sophisticated	sophistiqué	0.585	1.0	0	DUAL-B
sophisticated	sophistiqués	0.585	1.0	0	DUAL-B
sophisticated	sophistiquée	0.585	1.0	0	DUAL-B
laurence	laurence	0.621	1.0	1	DUAL-A
laurence	laurent	0.538	1.0	1	DUAL-B
sealed	scellées	0.525	1.0	0	DUAL-B
sealed	scellée	0.525	1.0	0	DUAL-B
sealed	scellés	0.525	1.0	0	DUAL-B
sealed	scellé	0.525	1.0	0	DUAL-B
verde	verde	0.683	1.0	1	DUAL-A
curved	courbé	0.471	1.0	0	DUAL-B
curved	courbe	0.492	1.0	0	DUAL-B
reilly	reilly	0.691	1.0	1	DUAL-A
spatial	spatiale	0.626	1.0	1	DUAL-A
commissions	commissions	0.507	1.0	1	DUAL-B
approximate	approximative	0.516	1.0	1	DUAL-B
approximate	approximatif	0.523	1.0	1	DUAL-B
approximate	approximativement	0.489	1.0	1	DUAL-B
counterpart	contrepartie	0.540	1.0	1	DUAL-B
cease	cesse	0.713	1.0	1	DUAL-A
cease	cesser	0.539	1.0	0	DUAL-B
cease	cessez	0.539	1.0	0	DUAL-B
fraction	fraction	0.586	1.0	1	DUAL-B
rivera	rivera	0.514	1.0	1	DUAL-B
transaction	transaction	0.555	1.0	1	DUAL-B
decay	décadence	0.486	1.0	0	DUAL-B
lineage	lignée	0.500	1.0	0	DUAL-B
substances	substances	0.613	1.0	1	DUAL-A
guam	guam	0.793	1.0	1	DUAL-S
syndicated	syndiqué	0.567	1.0	0	DUAL-B
zhou	zhou	0.607	1.0	1	DUAL-A
finalists	finalistes	0.553	1.0	1	DUAL-B
mir	mir	0.733	1.0	1	DUAL-A
electrons	électrons	0.681	1.0	1	DUAL-A
turbine	turbine	0.552	1.0	1	DUAL-B
install	installer	0.512	1.0	1	DUAL-B
install	installent	0.614	1.0	1	DUAL-A
install	installe	0.614	1.0	1	DUAL-A
majesty	majesté	0.573	1.0	1	DUAL-B
zürich	zürich	0.623	1.0	1	DUAL-A
zürich	zurich	0.623	1.0	1	DUAL-A
eduardo	eduardo	0.581	1.0	1	DUAL-B
vince	vince	0.707	1.0	1	DUAL-A
katie	katie	0.623	1.0	1	DUAL-A
bizarre	bizarre	0.634	1.0	1	DUAL-A
ign	ign	0.591	1.0	1	DUAL-B
swansea	swansea	0.619	1.0	1	DUAL-A
refusing	refusant	0.496	1.0	1	DUAL-B
slip	slip	0.787	1.0	1	DUAL-S
shri	shri	0.663	1.0	1	DUAL-A
gore	gore	0.733	1.0	1	DUAL-A
herb	herb	0.590	1.0	1	DUAL-B
herb	herbes	0.590	1.0	1	DUAL-B
herb	herbe	0.590	1.0	1	DUAL-B
rep	rep	1.000	1.0	1	DUAL-S
rep	rép	0.733	1.0	0	DUAL-A
crescent	croissant	0.573	1.0	0	DUAL-B
crescent	crescent	0.753	1.0	1	DUAL-S
possibilities	possibilités	0.471	1.0	1	DUAL-B
syntax	syntaxe	0.683	1.0	1	DUAL-A
genome	génome	0.619	1.0	1	DUAL-A
hale	hale	0.565	1.0	1	DUAL-B
sonny	sonny	0.570	1.0	1	DUAL-B
favored	favorisés	0.456	1.0	0	DUAL-B
favored	favorisé	0.456	1.0	0	DUAL-B
jonas	jonas	0.527	1.0	1	DUAL-B
hawkins	hawkins	0.725	1.0	1	DUAL-A
similarity	similitude	0.488	1.0	0	DUAL-B
similarity	similarité	0.549	1.0	1	DUAL-B
suspicion	soupçon	0.498	1.0	0	DUAL-B
suspicion	soupçons	0.498	1.0	0	DUAL-B
suspicion	suspicion	0.544	1.0	1	DUAL-B
molecule	molécule	0.567	1.0	1	DUAL-B
winters	winters	0.615	1.0	1	DUAL-A
launches	lancements	0.460	1.0	0	DUAL-B
tonnes	tonnes	0.556	1.0	1	DUAL-B
nautical	nautique	0.500	1.0	0	DUAL-B
nautical	nautiques	0.500	1.0	0	DUAL-B
preferences	préférences	0.558	1.0	1	DUAL-B
cds	cds	0.694	1.0	1	DUAL-A
cds	cd	0.517	1.0	1	DUAL-B
casa	casa	0.549	1.0	1	DUAL-B
tricks	astuces	0.473	1.0	0	DUAL-B
burlington	burlington	0.774	1.0	1	DUAL-S
partnerships	partenariats	0.505	1.0	0	DUAL-B
confined	confinée	0.500	1.0	1	DUAL-B
confined	confiné	0.500	1.0	1	DUAL-B
terminated	terminée	0.557	1.0	1	DUAL-B
adjusted	ajustés	0.484	1.0	0	DUAL-B
adjusted	ajusté	0.484	1.0	0	DUAL-B
adjusted	ajustée	0.484	1.0	1	DUAL-B
guaranteed	garantie	0.588	1.0	1	DUAL-B
guaranteed	garanti	0.588	1.0	0	DUAL-B
guaranteed	garantis	0.588	1.0	0	DUAL-B
guaranteed	garanties	0.588	1.0	0	DUAL-B
dove	dove	0.710	1.0	1	DUAL-A
jennings	jennings	0.752	1.0	1	DUAL-S
beneficial	bénéfique	0.462	1.0	0	DUAL-B
beneficial	bénéfiques	0.462	1.0	0	DUAL-B
annexed	annexé	0.669	1.0	1	DUAL-A
annexed	annexée	0.669	1.0	1	DUAL-A
sutherland	sutherland	0.774	1.0	1	DUAL-S
gym	gym	0.577	1.0	1	DUAL-B
patriotic	patriotisme	0.504	1.0	1	DUAL-B
patriotic	patriotique	0.596	1.0	1	DUAL-B
patriotic	patriotes	0.531	1.0	1	DUAL-B
patriotic	patriote	0.525	1.0	1	DUAL-B
suspects	suspects	0.755	1.0	1	DUAL-S
collectively	collectivement	0.612	1.0	1	DUAL-A
staffordshire	staffordshire	0.599	1.0	1	DUAL-B
eet	eet	0.512	1.0	1	DUAL-B
revenues	revenus	0.527	1.0	1	DUAL-B
müller	müller	0.551	1.0	1	DUAL-B
bremen	brème	0.797	1.0	0	DUAL-S
bremen	brême	0.797	1.0	0	DUAL-S
licenses	licences	0.506	1.0	1	DUAL-B
credible	crédible	0.653	1.0	1	DUAL-A
credible	crédibles	0.653	1.0	1	DUAL-A
ingredients	ingrédients	0.496	1.0	1	DUAL-B
ingredients	ingrédient	0.496	1.0	1	DUAL-B
benny	benny	0.648	1.0	1	DUAL-A
stafford	stafford	0.581	1.0	1	DUAL-B
stephens	stephens	0.586	1.0	1	DUAL-B
dramatically	dramatiquement	0.503	1.0	0	DUAL-B
racer	racer	0.528	1.0	1	DUAL-B
translators	traducteurs	0.502	1.0	0	DUAL-B
translators	traducteur	0.502	1.0	0	DUAL-B
beef	bœuf	0.690	1.0	0	DUAL-A
beef	boeuf	0.690	1.0	0	DUAL-A
modules	modules	0.510	1.0	1	DUAL-B
precious	précieux	0.572	1.0	0	DUAL-B
precious	précieuse	0.564	1.0	0	DUAL-B
precious	précieuses	0.564	1.0	0	DUAL-B
dei	dei	0.618	1.0	1	DUAL-A
moist	moelleux	0.474	1.0	0	DUAL-B
moist	moite	0.617	1.0	1	DUAL-A
garrett	garrett	0.643	1.0	1	DUAL-A
garrett	garret	0.552	1.0	1	DUAL-B
dinosaur	dinosaures	0.559	1.0	1	DUAL-B
dinosaur	dinosaure	0.625	1.0	1	DUAL-A
emblem	emblème	0.661	1.0	1	DUAL-A
plague	peste	0.493	1.0	0	DUAL-B
plague	fléau	0.477	1.0	0	DUAL-B
christchurch	christchurch	0.695	1.0	1	DUAL-A
pie	pie	0.563	1.0	1	DUAL-B
spiral	spirale	0.651	1.0	1	DUAL-A
spiral	spirales	0.651	1.0	1	DUAL-A
marcos	marcos	0.693	1.0	1	DUAL-A
tensions	tensions	0.501	1.0	1	DUAL-B
orchestral	orchestrale	0.780	1.0	1	DUAL-S
cement	ciments	0.508	1.0	1	DUAL-B
cement	ciment	0.508	1.0	1	DUAL-B
refugee	réfugiés	0.514	1.0	0	DUAL-B
refugee	réfugiées	0.514	1.0	0	DUAL-B
refugee	réfugiée	0.514	1.0	0	DUAL-B
refugee	réfugié	0.514	1.0	0	DUAL-B
continually	continuellement	0.478	1.0	0	DUAL-B
madame	madame	0.632	1.0	1	DUAL-A
luigi	luigi	0.840	1.0	1	DUAL-S
ieee	ieee	0.656	1.0	1	DUAL-A
donation	dons	0.491	1.0	0	DUAL-B
donation	don	0.491	1.0	0	DUAL-B
donation	donation	0.565	1.0	1	DUAL-B
café	café	0.667	1.0	1	DUAL-A
hare	lièvre	0.508	1.0	0	DUAL-B
hare	hare	0.563	1.0	1	DUAL-B
correction	corriger	0.462	1.0	0	DUAL-B
correction	correction	0.625	1.0	1	DUAL-A
correction	rectification	0.491	1.0	0	DUAL-B
correction	correcteur	0.589	1.0	0	DUAL-B
correction	rectificatif	0.472	1.0	0	DUAL-B
jensen	jensen	0.592	1.0	1	DUAL-B
crusade	croisades	0.619	1.0	1	DUAL-A
crusade	croisade	0.619	1.0	1	DUAL-A
talbot	talbot	0.606	1.0	1	DUAL-A
brooke	brooke	0.648	1.0	1	DUAL-A
extensions	extensions	0.649	1.0	1	DUAL-A
cube	cube	0.689	1.0	1	DUAL-A
cube	cubique	0.499	1.0	0	DUAL-B
migrated	migré	0.636	1.0	0	DUAL-A
goa	goa	0.684	1.0	1	DUAL-A
maggie	maggie	0.785	1.0	1	DUAL-S
boots	bottines	0.493	1.0	0	DUAL-B
boots	boots	0.648	1.0	1	DUAL-A
boots	bottes	0.547	1.0	0	DUAL-B
submerged	submergé	0.523	1.0	1	DUAL-B
submerged	submergés	0.523	1.0	1	DUAL-B
submerged	submergée	0.523	1.0	1	DUAL-B
ambulance	ambulances	0.489	1.0	1	DUAL-B
ambulance	ambulance	0.489	1.0	1	DUAL-B
sanctioned	sanctionnés	0.489	1.0	1	DUAL-B
sanctioned	sanctionné	0.489	1.0	1	DUAL-B
sanctioned	sanctionnée	0.489	1.0	1	DUAL-B
tyne	tyne	0.663	1.0	1	DUAL-A
byrne	byrne	0.611	1.0	1	DUAL-A
luna	luna	0.556	1.0	1	DUAL-B
flint	flint	0.673	1.0	1	DUAL-A
skeleton	squelette	0.580	1.0	0	DUAL-B
skeleton	squelettes	0.580	1.0	0	DUAL-B
burmese	birmans	0.482	1.0	0	DUAL-B
burmese	birman	0.482	1.0	0	DUAL-B
burmese	birmane	0.480	1.0	0	DUAL-B
burmese	birmanie	0.483	1.0	0	DUAL-B
kurdish	kurdes	0.480	1.0	1	DUAL-B
kurdish	kurde	0.480	1.0	0	DUAL-B
weaver	weaver	0.576	1.0	1	DUAL-B
mai	mai	0.563	1.0	1	DUAL-B
mai	maï	0.725	1.0	0	DUAL-A
einstein	einstein	0.681	1.0	1	DUAL-A
gould	gould	0.591	1.0	1	DUAL-B
crosby	crosby	0.741	1.0	1	DUAL-A
livingston	livingston	0.793	1.0	1	DUAL-S
niagara	niagara	0.488	1.0	1	DUAL-B
demons	démons	0.547	1.0	1	DUAL-B
treatments	traitements	0.631	1.0	1	DUAL-A
vintage	vintage	0.588	1.0	1	DUAL-B
perkins	perkins	0.532	1.0	1	DUAL-B
gdp	pib	0.455	1.0	0	DUAL-B
pius	pius	0.595	1.0	1	DUAL-B
pius	pie	0.530	1.0	0	DUAL-B
stereo	stéréo	0.605	1.0	0	DUAL-A
troubles	troubles	0.590	1.0	1	DUAL-B
tina	tina	0.771	1.0	1	DUAL-S
resume	reprenez	0.457	1.0	0	DUAL-B
resume	reprendre	0.455	1.0	0	DUAL-B
resume	reprise	0.451	1.0	0	DUAL-B
footnote	note	0.539	1.0	0	DUAL-B
molly	molly	0.499	1.0	1	DUAL-B
robbie	robbie	0.748	1.0	1	DUAL-A
decisive	décisives	0.571	1.0	1	DUAL-B
decisive	décisive	0.571	1.0	1	DUAL-B
decisive	décisif	0.501	1.0	0	DUAL-B
mans	mans	0.571	1.0	1	DUAL-B
boost	boost	0.648	1.0	1	DUAL-A
boost	booster	0.631	1.0	1	DUAL-A
restoring	restaurer	0.683	1.0	0	DUAL-A
rim	rebord	0.500	1.0	0	DUAL-B
rim	rim	0.733	1.0	1	DUAL-A
procedural	procédural	0.586	1.0	1	DUAL-B
assam	assam	0.585	1.0	1	DUAL-B
abundant	abondante	0.520	1.0	1	DUAL-B
abundant	abondantes	0.520	1.0	1	DUAL-B
wendy	wendy	0.691	1.0	1	DUAL-A
gran	gran	0.703	1.0	1	DUAL-A
alison	alison	0.462	1.0	1	DUAL-B
niger	nigérien	0.473	1.0	0	DUAL-B
niger	niger	0.493	1.0	1	DUAL-B
emmanuel	emmanuel	0.511	1.0	1	DUAL-B
oaks	oaks	0.573	1.0	1	DUAL-B
umbrella	ombrelle	0.670	1.0	1	DUAL-A
elliot	elliot	0.619	1.0	1	DUAL-A
edith	edith	0.648	1.0	1	DUAL-A
rotating	rotation	0.542	1.0	1	DUAL-B
rotating	rotatives	0.531	1.0	0	DUAL-B
rotating	rotatif	0.538	1.0	1	DUAL-B
tolerance	tolérance	0.565	1.0	1	DUAL-B
tolerance	tolérances	0.565	1.0	1	DUAL-B
survives	survit	0.470	1.0	0	DUAL-B
berg	berg	0.683	1.0	1	DUAL-A
combines	combine	0.498	1.0	1	DUAL-B
resistant	résistante	0.618	1.0	1	DUAL-A
resistant	résistant	0.560	1.0	1	DUAL-B
resistant	résistants	0.560	1.0	1	DUAL-B
resistant	résistantes	0.618	1.0	1	DUAL-A
paula	paula	0.559	1.0	1	DUAL-B
affiliates	affiliés	0.450	1.0	1	DUAL-B
memorable	mémorable	0.559	1.0	1	DUAL-B
memorable	mémorables	0.559	1.0	1	DUAL-B
concentrate	concentré	0.607	1.0	1	DUAL-A
concentrate	concentre	0.544	1.0	1	DUAL-B
concentrate	concentrer	0.607	1.0	1	DUAL-A
prop	prop	0.748	1.0	1	DUAL-A
mansfield	mansfield	0.678	1.0	1	DUAL-A
refusal	refus	0.499	1.0	1	DUAL-B
rama	rama	0.564	1.0	1	DUAL-B
paved	pavée	0.517	1.0	1	DUAL-B
paved	pavé	0.517	1.0	0	DUAL-B
afb	afb	0.730	1.0	1	DUAL-A
demonstrating	démontrant	0.544	1.0	0	DUAL-B
demonstrating	démontrer	0.590	1.0	0	DUAL-B
violet	violette	0.584	1.0	1	DUAL-B
violet	violettes	0.584	1.0	1	DUAL-B
violet	violet	0.511	1.0	1	DUAL-B
northampton	northampton	0.660	1.0	1	DUAL-A
blamed	blâmé	0.590	1.0	0	DUAL-B
wordpress	wordpress	0.752	1.0	1	DUAL-S
globally	globalement	0.595	1.0	0	DUAL-B
abbreviation	abréviation	0.487	1.0	1	DUAL-B
loneos	loneos	0.614	1.0	1	DUAL-A
gentleman	gentleman	0.502	1.0	1	DUAL-B
cosmic	cosmique	0.590	1.0	0	DUAL-B
cosmic	cosmiques	0.590	1.0	0	DUAL-B
shawn	shawn	0.591	1.0	1	DUAL-B
piper	piper	0.516	1.0	1	DUAL-B
banker	banquier	0.524	1.0	0	DUAL-B
villagers	villageois	0.478	1.0	1	DUAL-B
bullets	balles	0.516	1.0	1	DUAL-B
bullets	puces	0.493	1.0	0	DUAL-B
holden	holden	0.615	1.0	1	DUAL-A
lionel	lionel	0.584	1.0	1	DUAL-B
demonstrations	démonstrations	0.574	1.0	1	DUAL-B
daniels	daniels	0.602	1.0	1	DUAL-A
prosecutor	procureur	0.592	1.0	0	DUAL-B
photographed	photographié	0.579	1.0	1	DUAL-B
inaccurate	inexactes	0.472	1.0	0	DUAL-B
inaccurate	inexacte	0.472	1.0	0	DUAL-B
inaccurate	inexact	0.472	1.0	0	DUAL-B
bollywood	bollywood	0.647	1.0	1	DUAL-A
irene	irene	0.510	1.0	1	DUAL-B
irene	irène	0.521	1.0	1	DUAL-B
anita	anita	0.522	1.0	1	DUAL-B
apartheid	apartheid	0.692	1.0	1	DUAL-A
simplified	simplifiée	0.536	1.0	1	DUAL-B
simplified	simplifié	0.536	1.0	1	DUAL-B
simplified	simplifiées	0.536	1.0	1	DUAL-B
simplified	simplifiés	0.536	1.0	1	DUAL-B
reject	refuser	0.464	1.0	0	DUAL-B
reject	rejeter	0.503	1.0	1	DUAL-B
abbott	abbott	0.570	1.0	1	DUAL-B
stephanie	stéphanie	0.726	1.0	1	DUAL-A
stephanie	stephanie	0.859	1.0	1	DUAL-S
longitude	longitude	0.589	1.0	1	DUAL-B
mack	mack	0.730	1.0	1	DUAL-A
lucia	lucie	0.511	1.0	1	DUAL-B
lucia	lucia	0.517	1.0	1	DUAL-B
smile	souriez	0.452	1.0	0	DUAL-B
injection	injections	0.571	1.0	1	DUAL-B
injection	injection	0.571	1.0	1	DUAL-B
calcium	calcium	0.656	1.0	1	DUAL-A
redskins	redskins	0.793	1.0	1	DUAL-S
jill	jill	0.648	1.0	1	DUAL-A
sophia	sophia	0.611	1.0	1	DUAL-A
swords	sabres	0.505	1.0	0	DUAL-B
pokémon	pokémon	0.647	1.0	1	DUAL-A
multimedia	multimédias	0.535	1.0	1	DUAL-B
multimedia	multimédia	0.535	1.0	1	DUAL-B
buchanan	buchanan	0.479	1.0	1	DUAL-B
declaring	déclarer	0.539	1.0	0	DUAL-B
declaring	déclarant	0.537	1.0	0	DUAL-B
proving	prouver	0.753	1.0	0	DUAL-S
proving	prouvant	0.751	1.0	0	DUAL-S
sanction	sanctionner	0.494	1.0	1	DUAL-B
sanction	sanction	0.516	1.0	1	DUAL-B
māori	maorie	0.810	1.0	0	DUAL-S
māori	maori	0.810	1.0	1	DUAL-S
māori	maoris	0.810	1.0	0	DUAL-S
employs	emploie	0.475	1.0	0	DUAL-B
sant	sant	0.587	1.0	1	DUAL-B
horace	horace	0.647	1.0	1	DUAL-A
emerson	emerson	0.615	1.0	1	DUAL-A
mandarin	mandarin	0.524	1.0	1	DUAL-B
mandarin	mandarine	0.583	1.0	1	DUAL-B
garde	garde	0.793	1.0	1	DUAL-S
ipswich	ipswich	0.736	1.0	1	DUAL-A
vaughan	vaughan	0.517	1.0	1	DUAL-B
philanthropist	philanthrope	0.630	1.0	1	DUAL-A
rajasthan	rajasthan	0.793	1.0	1	DUAL-S
collar	collier	0.508	1.0	1	DUAL-B
collar	collet	0.507	1.0	0	DUAL-B
collar	col	0.681	1.0	0	DUAL-A
inherent	inhérente	0.513	1.0	1	DUAL-B
jamaican	jamaïcain	0.457	1.0	1	DUAL-B
jamaican	jamaïcains	0.457	1.0	1	DUAL-B
jamaican	jamaïcaine	0.509	1.0	1	DUAL-B
fcc	fcc	0.730	1.0	1	DUAL-A
advent	avènement	0.563	1.0	0	DUAL-B
priory	prieuré	0.645	1.0	0	DUAL-A
brigades	brigades	0.587	1.0	1	DUAL-B
talents	talents	0.525	1.0	1	DUAL-B
jakarta	djakarta	0.567	1.0	1	DUAL-B
natalie	natalie	0.670	1.0	1	DUAL-A
natalie	nathalie	0.670	1.0	1	DUAL-A
chin	chin	0.466	1.0	1	DUAL-B
chin	tchin	0.707	1.0	1	DUAL-A
lester	lester	0.828	1.0	1	DUAL-S
macau	macao	0.631	1.0	1	DUAL-A
barbados	barbade	0.563	1.0	1	DUAL-B
activism	activisme	0.571	1.0	1	DUAL-B
consumed	consommée	0.504	1.0	0	DUAL-B
consumed	consommé	0.504	1.0	0	DUAL-B
consumed	consommées	0.504	1.0	0	DUAL-B
consumed	consommés	0.504	1.0	0	DUAL-B
spectators	spectateurs	0.709	1.0	1	DUAL-A
silesian	silésie	0.472	1.0	0	DUAL-B
homosexuality	homosexualité	0.522	1.0	1	DUAL-B
recruit	recrue	0.629	1.0	1	DUAL-A
recruit	recruter	0.596	1.0	1	DUAL-B
recruit	recrute	0.706	1.0	1	DUAL-A
twilight	twilight	0.756	1.0	1	DUAL-S
lowe	lowe	0.583	1.0	1	DUAL-B
assassinated	assassiné	0.500	1.0	1	DUAL-B
assassinated	assassinés	0.500	1.0	0	DUAL-B
denotes	dénote	0.526	1.0	1	DUAL-B
sergei	sergei	0.656	1.0	1	DUAL-A
sergei	sergueï	0.765	1.0	1	DUAL-S
sergei	serge	0.656	1.0	1	DUAL-A
kirby	kirby	0.648	1.0	1	DUAL-A
displaced	déplacés	0.555	1.0	0	DUAL-B
displaced	déplacée	0.555	1.0	0	DUAL-B
displaced	déplacé	0.555	1.0	0	DUAL-B
displaced	déplacées	0.555	1.0	0	DUAL-B
occurrence	occurrence	0.494	1.0	1	DUAL-B
firefox	firefox	0.587	1.0	1	DUAL-B
leonardo	léonard	0.496	1.0	1	DUAL-B
leonardo	leonardo	0.617	1.0	1	DUAL-A
