a	b	type	w
en:dictated	en:dictation	~syn	0.7
fr:concis	fr:concises	~syn	0.7
fr:migrants	fr:migrant	~syn	0.7
fr:édulcorant	fr:édulcorants	~syn	0.7
fr:miraculeusement	fr:miraculeuse	~syn	0.7
fr:glacé	fr:glacés	~syn	0.7
fr:expliqués	fr:expliquée	~syn	0.7
en:flying	en:steal	~syn	0.7
en:restitution	en:refund	~syn	0.7
en:delightfully	en:deliciously	~syn	0.7
en:tic	en:icts	~syn	0.7
fr:formés	fr:formées	~syn	0.7
en:chin	en:clink	~syn	0.7
en:moist	en:damp	~syn	0.7
en:raspberry	en:raspberries	~syn	0.7
fr:chercher	fr:recherche	~syn	0.7
fr:moutons	fr:brebis	~syn	0.7
fr:caves	fr:cavernes	~syn	0.7
en:graves	en:tombes	~syn	0.7
fr:mécontentement	fr:insatisfaction	~syn	0.7
fr:diffuser	fr:diffuses	~syn	0.7
fr:différente	fr:différents	~syn	0.7
fr:louée	fr:loués	~syn	0.7
en:retaliation	en:riposte	~syn	0.7
en:milan	en:milano	~syn	0.7
fr:consommée	fr:consommé	~syn	0.7
fr:cutané	fr:cutanés	~syn	0.7
fr:dépensée	fr:dépensés	~syn	0.7
en:parrot	en:parrots	~syn	0.7
fr:thirteenth	fr:xiiie	~syn	0.7
fr:mémoriser	fr:mémorisation	~syn	0.7
fr:macroéconomique	fr:macroéconomiques	~syn	0.7
fr:tenir	fr:tiens	~syn	0.7
fr:rénovés	fr:rénové	~syn	0.7
en:refining	en:refinement	~syn	0.7
fr:côtes	fr:littoral	~syn	0.7
fr:diagnostiques	fr:diagnostics	~syn	0.7
fr:circulaire	fr:circulaires	~syn	0.7
fr:aidants	fr:soignant	~syn	0.7
en:conversion	en:reconversion	~syn	0.7
en:puck	en:washer	~syn	0.7
fr:dégâts	fr:dommage	~syn	0.7
en:ample	en:amply	~syn	0.7
fr:oubli	fr:oublie	~syn	0.7
fr:arrondi	fr:arrondis	~syn	0.7
fr:accoutumée	fr:habitué	~syn	0.7
en:cold	en:chill	~syn	0.7
fr:notable	fr:remarquables	~syn	0.7
en:resentment	en:resentful	~syn	0.7
fr:supérieurs	fr:superieur	~syn	0.7
fr:harmonieuses	fr:harmonieux	~syn	0.7
fr:lavés	fr:lavée	~syn	0.7
fr:rousse	fr:roux	~syn	0.7
fr:sax	fr:saxophone	~syn	0.7
fr:ravie	fr:ravis	~syn	0.7
en:economic	en:economy	~syn	0.7
en:botanical	en:botany	~syn	0.7
en:cylinder	en:cylinders	~syn	0.7
en:devils	en:diables	~syn	0.7
fr:abandonnées	fr:abandonnée	~syn	0.7
fr:promotions	fr:spéciaux	~syn	0.7
en:spc	en:rcp	~syn	0.7
en:pajama	en:pyjama	~syn	0.7
fr:précieuse	fr:précieuses	~syn	0.7
fr:sérum	fr:sérique	~syn	0.7
fr:daedalus	fr:dédale	~syn	0.7
fr:biathlète	fr:biathlon	~syn	0.7
fr:récupérées	fr:récupérée	~syn	0.7
en:include	en:includes	~syn	0.7
fr:volontaires	fr:bénévolat	~syn	0.7
fr:instinct	fr:instinctivement	~syn	0.7
fr:tétons	fr:mamelons	~syn	0.7
fr:pêché	fr:pécher	~syn	0.7
en:break	en:breakup	~syn	0.7
fr:superbe	fr:magnifique	~syn	0.7
en:hezbollah	en:hizbollah	~syn	0.7
en:riddle	en:enigma	~syn	0.7
fr:intelligents	fr:intelligentes	~syn	0.7
fr:ouganda	fr:ougandais	~syn	0.7
en:scary	en:spooky	~syn	0.7
fr:aimée	fr:adoré	~syn	0.7
fr:répugnance	fr:réticences	~syn	0.7
fr:épi	fr:epi	~syn	0.7
en:tests	en:essays	~syn	0.7
en:relocated	en:resettled	~syn	0.7
fr:convertibles	fr:décapotable	~syn	0.7
fr:fourth	fr:quatrièmement	~syn	0.7
en:reservation	en:bookings	~syn	0.7
fr:réussi	fr:réussie	~syn	0.7
fr:corne	fr:cor	~syn	0.7
fr:eer	fr:époque	~syn	0.7
fr:larbin	fr:laquais	~syn	0.7
fr:ange	fr:anges	~syn	0.7
en:linguist	en:linguists	~syn	0.7
en:bags	en:pouches	~syn	0.7
en:deformation	en:deformations	~syn	0.7
en:elk	en:élan	~syn	0.7
fr:homicide	fr:criminelle	~syn	0.7
fr:islamiste	fr:musulman	~syn	0.7
fr:outillage	fr:outillages	~syn	0.7
fr:travaux	fr:travail	~syn	0.7
en:manufacture	en:fabrication	~syn	0.7
fr:manipuler	fr:manipulations	~syn	0.7
en:citation	en:quote	~syn	0.7
fr:épidémie	fr:éclosion	~syn	0.7
fr:applaudir	fr:encouragements	~syn	0.7
fr:automatisée	fr:automatisé	~syn	0.7
en:icy	en:iced	~syn	0.7
en:corroborated	en:corroborating	~syn	0.7
en:booth	en:kiosk	~syn	0.7
en:risk	en:hazard	~syn	0.7
en:workforce	en:staffing	~syn	0.7
en:bid	en:auction	~syn	0.7
fr:asseoir	fr:sit	~syn	0.7
en:disruption	en:disruptions	~syn	0.7
fr:comptage	fr:compter	~syn	0.7
fr:croire	fr:crois	~syn	0.7
fr:fêter	fr:célébrer	~syn	0.7
fr:simplement	fr:juste	~syn	0.7
en:exactly	en:exact	~syn	0.7
fr:exploratoire	fr:exploratoires	~syn	0.7
en:mystic	en:mystical	~syn	0.7
fr:suspension	fr:suspensions	~syn	0.7
fr:imminent	fr:imminentes	~syn	0.7
en:upset	en:annoyed	~syn	0.7
en:accomplish	en:accomplishing	~syn	0.7
en:promenade	en:stroll	~syn	0.7
fr:dépassements	fr:dépassement	~syn	0.7
fr:américain	fr:américaines	~syn	0.7
en:dependency	en:addictions	~syn	0.7
fr:rousses	fr:rouquin	~syn	0.7
en:tires	en:pneumatic	~syn	0.7
fr:indexés	fr:indexée	~syn	0.7
fr:affectés	fr:affecté	~syn	0.7
fr:appeler	fr:appelez	~syn	0.7
fr:régule	fr:réglemente	~syn	0.7
en:realizing	en:realising	~syn	0.7
en:ankles	en:pegs	~syn	0.7
en:sly	en:crafty	~syn	0.7
fr:téléchargés	fr:téléchargé	~syn	0.7
fr:avoué	fr:admis	~syn	0.7
fr:moche	fr:moches	~syn	0.7
fr:convictions	fr:condamnations	~syn	0.7
en:capacitor	en:condenser	~syn	0.7
en:controller	en:joystick	~syn	0.7
en:kidnappers	en:kidnapper	~syn	0.7
en:trails	en:paths	~syn	0.7
en:waterfall	en:cascade	~syn	0.7
en:woe	en:malheur	~syn	0.7
fr:envoyée	fr:envoyé	~syn	0.7
fr:screen	fr:ecran	~syn	0.7
fr:souverains	fr:dirigeants	~syn	0.7
fr:couilles	fr:balles	~syn	0.7
en:iaea	en:aiea	~syn	0.7
fr:prises	fr:pris	~syn	0.7
fr:designers	fr:dessinateurs	~syn	0.7
en:preaching	en:preach	~syn	0.7
fr:ciblée	fr:ciblées	~syn	0.7
fr:inexacte	fr:incorrecte	~syn	0.7
en:battle	en:fight	~syn	0.7
en:savoy	en:savoie	~syn	0.7
fr:ameublement	fr:meubles	~syn	0.7
en:anchor	en:embed	~syn	0.7
en:locust	en:grasshoppers	~syn	0.7
fr:sergent	fr:adjudant	~syn	0.7
en:calculation	en:calculus	~syn	0.7
fr:rené	fr:rene	~syn	0.7
en:wrong	en:false	~syn	0.7
en:gay	en:homosexual	~syn	0.7
fr:perverse	fr:pervers	~syn	0.7
en:bully	en:tyrant	~syn	0.7
en:micron	en:microns	~syn	0.7
fr:sevrage	fr:retrait	~syn	0.7
fr:haïtienne	fr:haïtiens	~syn	0.7
fr:superposés	fr:couchette	~syn	0.7
fr:entrevue	fr:entrevues	~syn	0.7
en:gas	en:gases	~syn	0.7
fr:loi	fr:acte	~syn	0.7
fr:véronique	fr:veronica	~syn	0.7
fr:touchdown	fr:touché	~syn	0.7
en:guy	en:mec	~syn	0.7
fr:discréditer	fr:discrédit	~syn	0.7
fr:perturbations	fr:troubles	~syn	0.7
fr:succes	fr:success	~syn	0.7
en:intolerable	en:insufferable	~syn	0.7
en:business	en:enterprises	~syn	0.7
en:sewage	en:sewer	~syn	0.7
en:gene	en:genes	~syn	0.7
en:bind	en:lier	~syn	0.7
fr:pêché	fr:péché	~syn	0.7
en:hospitalization	en:hospitalisation	~syn	0.7
fr:vilain	fr:méchante	~syn	0.7
fr:le	fr:les	~syn	0.7
fr:détérioration	fr:dégradations	~syn	0.7
fr:etage	fr:étage	~syn	0.7
fr:calderón	fr:calderon	~syn	0.7
en:requested	en:solicited	~syn	0.7
fr:plantation	fr:plantations	~syn	0.7
fr:alignés	fr:aligné	~syn	0.7
fr:délicatement	fr:doucement	~syn	0.7
fr:collations	fr:friandises	~syn	0.7
fr:obsèques	fr:funéraire	~syn	0.7
en:bleeding	en:nosebleeds	~syn	0.7
fr:obsolètes	fr:déconseillé	~syn	0.7
fr:acquittés	fr:acquittée	~syn	0.7
en:condemned	en:convict	~syn	0.7
fr:fatal	fr:mortel	~syn	0.7
en:sausage	en:salami	~syn	0.7
en:knitting	en:knitwear	~syn	0.7
fr:externe	fr:externes	~syn	0.7
en:stadium	en:stade	~syn	0.7
fr:dernières	fr:derniers	~syn	0.7
en:surprise	en:surprising	~syn	0.7
en:occupant	en:occupier	~syn	0.7
en:bright	en:shiny	~syn	0.7
fr:commandites	fr:commandite	~syn	0.7
en:cracks	en:fissures	~syn	0.7
en:alias	en:pseudonym	~syn	0.7
en:longevity	en:durability	~syn	0.7
fr:récupérées	fr:récupérés	~syn	0.7
en:ats	en:tty	~syn	0.7
en:ridge	en:backbone	~syn	0.7
fr:écrasant	fr:broyage	~syn	0.7
fr:ombrage	fr:abat	~syn	0.7
fr:crainte	fr:craintes	~syn	0.7
fr:producteur	fr:producteurs	~syn	0.7
en:modeling	en:mannequin	~syn	0.7
fr:travail	fr:travailler	~syn	0.7
fr:transformer	fr:transforme	~syn	0.7
en:cartoonist	en:drawer	~syn	0.7
en:spoon	en:spoons	~syn	0.7
fr:veste	fr:jaquette	~syn	0.7
fr:agressée	fr:agressé	~syn	0.7
en:osc	en:csos	~syn	0.7
fr:infiltrer	fr:infiltrations	~syn	0.7
fr:moufles	fr:mitaines	~syn	0.7
en:machete	en:machetes	~syn	0.7
fr:symphonique	fr:symphonie	~syn	0.7
fr:acquéreur	fr:acheteur	~syn	0.7
fr:certifiée	fr:certifiés	~syn	0.7
fr:didacticiels	fr:instructif	~syn	0.7
fr:entreprenant	fr:entreprenants	~syn	0.7
fr:mdr	fr:lol	~syn	0.7
fr:primer	fr:amorce	~syn	0.7
en:multiplier	en:multiplying	~syn	0.7
fr:demandeurs	fr:plaignants	~syn	0.7
fr:imposable	fr:imposables	~syn	0.7
fr:charter	fr:charte	~syn	0.7
en:polished	en:polis	~syn	0.7
en:col	en:collar	~syn	0.7
en:ced	en:edc	~syn	0.7
en:chargers	en:loaders	~syn	0.7
fr:excuses	fr:excuse	~syn	0.7
fr:disparue	fr:disparu	~syn	0.7
en:sights	en:curiosities	~syn	0.7
en:civilization	en:civilisations	~syn	0.7
fr:compétences	fr:expertises	~syn	0.7
en:hurrah	en:hurray	~syn	0.7
en:love	en:loves	~syn	0.7
en:dig	en:digging	~syn	0.7
fr:salomon	fr:solomon	~syn	0.7
fr:saisonnier	fr:saisonnière	~syn	0.7
fr:maillage	fr:treillis	~syn	0.7
en:icd	en:cim	~syn	0.7
en:chips	en:fleas	~syn	0.7
en:assault	en:assaults	~syn	0.7
fr:romaine	fr:roman	~syn	0.7
fr:insouciante	fr:imprudent	~syn	0.7
fr:hercules	fr:hercule	~syn	0.7
en:resettlement	en:restocking	~syn	0.7
en:joystick	en:manipulator	~syn	0.7
en:disadvantages	en:drawbacks	~syn	0.7
en:wagon	en:trolley	~syn	0.7
fr:votés	fr:votées	~syn	0.7
en:rating	en:notation	~syn	0.7
fr:autorisé	fr:autorisées	~syn	0.7
fr:acc	fr:cac	~syn	0.7
fr:meth	fr:méthamphétamine	~syn	0.7
fr:lunaire	fr:lune	~syn	0.7
en:pins	en:pines	~syn	0.7
en:illusion	en:illusory	~syn	0.7
en:contradict	en:contradicting	~syn	0.7
en:shortcomings	en:impairments	~syn	0.7
fr:laïcité	fr:laïques	~syn	0.7
en:blatant	en:glaring	~syn	0.7
fr:papillons	fr:papillon	~syn	0.7
en:previous	en:precedent	~syn	0.7
fr:récentes	fr:récente	~syn	0.7
fr:avancés	fr:avancées	~syn	0.7
fr:parabole	fr:plat	~syn	0.7
fr:déborder	fr:dépassement	~syn	0.7
fr:dioxines	fr:dioxine	~syn	0.7
fr:suspects	fr:suspectes	~syn	0.7
en:csa	en:asc	~syn	0.7
en:freestyle	en:acrobatic	~syn	0.7
en:color	en:colour	~syn	0.7
en:emulate	en:impersonate	~syn	0.7
fr:mitaine	fr:mitt	~syn	0.7
fr:présentées	fr:présentée	~syn	0.7
fr:stimulus	fr:relance	~syn	0.7
fr:avarice	fr:cupidité	~syn	0.7
en:draw	en:draws	~syn	0.7
en:stiffness	en:rigidity	~syn	0.7
fr:éblouissant	fr:époustouflante	~syn	0.7
fr:sommeil	fr:coucher	~syn	0.7
en:reveal	en:disclose	~syn	0.7
fr:beat	fr:battre	~syn	0.7
fr:essais	fr:tester	~syn	0.7
fr:instantané	fr:flash	~syn	0.7
en:fungus	en:mushroom	~syn	0.7
en:bogus	en:phoney	~syn	0.7
fr:stimuler	fr:stimulante	~syn	0.7
en:city	en:town	~syn	0.7
fr:intermodalité	fr:intermodal	~syn	0.7
fr:augmentées	fr:augmenté	~syn	0.7
en:steep	en:abrupt	~syn	0.7
fr:accompagnement	fr:accompagnant	~syn	0.7
fr:excessifs	fr:excessive	~syn	0.7
en:mob	en:crowds	~syn	0.7
fr:cotation	fr:citations	~syn	0.7
en:touch	en:touching	~syn	0.7
en:paratrooper	en:parachutiste	~syn	0.7
en:destitute	en:indigent	~syn	0.7
fr:mondialisée	fr:mondialisé	~syn	0.7
fr:transparence	fr:transparente	~syn	0.7
en:albanian	en:albanians	~syn	0.7
fr:nomade	fr:nomades	~syn	0.7
fr:palpitant	fr:ticker	~syn	0.7
en:bees	en:abeille	~syn	0.7
fr:remises	fr:réduction	~syn	0.7
fr:prouver	fr:prouvant	~syn	0.7
fr:volée	fr:dérobée	~syn	0.7
en:harpsichord	en:clavecin	~syn	0.7
en:carts	en:chariots	~syn	0.7
fr:envahissent	fr:envahit	~syn	0.7
en:tons	en:ton	~syn	0.7
fr:quantités	fr:quantité	~syn	0.7
fr:once	fr:déchiqueter	~syn	0.7
en:forgotten	en:oblivion	~syn	0.7
en:illegal	en:unlawful	~syn	0.7
en:belarusian	en:belarusians	~syn	0.7
fr:zodiaque	fr:zodiac	~syn	0.7
fr:tuyauterie	fr:tuyauteries	~syn	0.7
fr:fortifié	fr:enrichis	~syn	0.7
en:blood	en:sang	~syn	0.7
fr:couvertures	fr:couvercles	~syn	0.7
en:clusters	en:bunches	~syn	0.7
en:inconvenience	en:unpleasantness	~syn	0.7
fr:institutionnalisation	fr:institutionnaliser	~syn	0.7
fr:capacité	fr:aptitude	~syn	0.7
fr:inviter	fr:invite	~syn	0.7
en:column	en:columns	~syn	0.7
fr:voiles	fr:naviguer	~syn	0.7
en:bum	en:hobo	~syn	0.7
fr:toit	fr:toiture	~syn	0.7
fr:étoilée	fr:étoilé	~syn	0.7
en:hawk	en:buse	~syn	0.7
fr:masculins	fr:masculin	~syn	0.7
fr:préoccupé	fr:préoccupés	~syn	0.7
fr:matériel	fr:matériaux	~syn	0.7
en:wedding	en:weddings	~syn	0.7
en:suitability	en:adequacy	~syn	0.7
en:sparing	en:saver	~syn	0.7
en:paternity	en:fatherhood	~syn	0.7
fr:approuvée	fr:agréée	~syn	0.7
fr:équivoque	fr:ambigus	~syn	0.7
en:cave	en:cavern	~syn	0.7
en:distinctive	en:distinguishing	~syn	0.7
fr:morts	fr:morte	~syn	0.7
fr:free	fr:libre	~syn	0.7
en:schedules	en:timetable	~syn	0.7
fr:grillé	fr:grillées	~syn	0.7
fr:bcf	fr:fcc	~syn	0.7
en:sausages	en:salami	~syn	0.7
en:sweet	en:gentle	~syn	0.7
en:trenches	en:sliced	~syn	0.7
en:loving	en:affectionate	~syn	0.7
en:prophecy	en:prophecies	~syn	0.7
en:collects	en:gathers	~syn	0.7
fr:heavy	fr:lourds	~syn	0.7
fr:arriver	fr:arrivées	~syn	0.7
en:faithful	en:fidèle	~syn	0.7
en:eng	en:fra	~syn	0.7
fr:wake	fr:réveiller	~syn	0.7
fr:bactériennes	fr:bactérie	~syn	0.7
en:pierced	en:breakthroughs	~syn	0.7
en:dimensions	en:dimension	~syn	0.7
fr:atmosphère	fr:ambiance	~syn	0.7
en:steppe	en:steppes	~syn	0.7
en:villain	en:scoundrel	~syn	0.7
en:mobilizing	en:mobilising	~syn	0.7
fr:ensuite	fr:alors	~syn	0.7
fr:unifiée	fr:unifiés	~syn	0.7
fr:menton	fr:chin	~syn	0.7
en:vandal	en:vandals	~syn	0.7
fr:licences	fr:licence	~syn	0.7
en:velma	en:véra	~syn	0.7
fr:révisée	fr:révisées	~syn	0.7
fr:tribut	fr:hommages	~syn	0.7
fr:empoisonné	fr:poison	~syn	0.7
en:incinerator	en:incinerators	~syn	0.7
fr:exprès	fr:exprimer	~syn	0.7
fr:contentieux	fr:litiges	~syn	0.7
fr:indulgente	fr:indulgent	~syn	0.7
fr:mécanisé	fr:mécanisée	~syn	0.7
fr:évaluation	fr:valorisation	~syn	0.7
fr:incluent	fr:comprennent	~syn	0.7
fr:attirer	fr:attire	~syn	0.7
fr:meneurs	fr:leaders	~syn	0.7
en:questionable	en:dubious	~syn	0.7
fr:jetables	fr:jetable	~syn	0.7
fr:constante	fr:constants	~syn	0.7
fr:inexistante	fr:inexistantes	~syn	0.7
en:tumor	en:tumour	~syn	0.7
en:capacitors	en:condensers	~syn	0.7
fr:joints	fr:articulations	~syn	0.7
fr:improvisé	fr:impromptu	~syn	0.7
fr:sutures	fr:suture	~syn	0.7
en:art	en:artistic	~syn	0.7
en:uae	en:kau	~syn	0.7
en:biological	en:organic	~syn	0.7
fr:jumeau	fr:jumelles	~syn	0.7
fr:présentée	fr:présenté	~syn	0.7
fr:observable	fr:observables	~syn	0.7
en:patenting	en:patentability	~syn	0.7
fr:cannon	fr:canons	~syn	0.7
fr:vanne	fr:robinet	~syn	0.7
fr:suppose	fr:devine	~syn	0.7
en:bounded	en:delineated	~syn	0.7
fr:perturbés	fr:troublé	~syn	0.7
en:reviewer	en:examiner	~syn	0.7
en:intrigue	en:intrigues	~syn	0.7
en:embraced	en:kissed	~syn	0.7
en:stabilizer	en:stabilizers	~syn	0.7
en:monitor	en:instructors	~syn	0.7
en:dorothy	en:dorothée	~syn	0.7
fr:cumulé	fr:cumulés	~syn	0.7
en:they	en:them	~syn	0.7
fr:magnitude	fr:grandeur	~syn	0.7
fr:timide	fr:timidité	~syn	0.7
en:ltu	en:cld	~syn	0.7
en:provocative	en:provocation	~syn	0.7
fr:plate	fr:plateformes	~syn	0.7
fr:femelle	fr:femelles	~syn	0.7
en:interruption	en:interrupts	~syn	0.7
fr:rapprochement	fr:conciliation	~syn	0.7
fr:unité	fr:unity	~syn	0.7
fr:recruté	fr:recrutés	~syn	0.7
en:dream	en:dreams	~syn	0.7
en:brittany	en:bretagne	~syn	0.7
en:isabella	en:isabel	~syn	0.7
en:insulation	en:insulators	~syn	0.7
fr:photos	fr:photographies	~syn	0.7
fr:réparé	fr:réparés	~syn	0.7
fr:baisers	fr:bisous	~syn	0.7
fr:professionnel	fr:professionnelles	~syn	0.7
en:earrings	en:curls	~syn	0.7
fr:prêcher	fr:prêche	~syn	0.7
en:exhibition	en:exhibits	~syn	0.7
fr:équivalente	fr:équivalent	~syn	0.7
fr:garnitures	fr:garniture	~syn	0.7
fr:immunitaires	fr:immunitaire	~syn	0.7
fr:vue	fr:voir	~syn	0.7
fr:queue	fr:pile	~syn	0.7
fr:grande	fr:big	~syn	0.7
fr:pleurant	fr:pleure	~syn	0.7
fr:personnalisé	fr:personnalisée	~syn	0.7
fr:boss	fr:patronne	~syn	0.7
fr:sauteur	fr:jumper	~syn	0.7
en:combination	en:jumpsuit	~syn	0.7
fr:frustré	fr:frustrés	~syn	0.7
fr:tuteur	fr:précepteur	~syn	0.7
fr:dyke	fr:digue	~syn	0.7
en:uncertainty	en:uncertainties	~syn	0.7
fr:classic	fr:classiques	~syn	0.7
en:response	en:reaction	~syn	0.7
fr:donner	fr:donne	~syn	0.7
en:moans	en:groaning	~syn	0.7
fr:etrange	fr:odd	~syn	0.7
fr:passible	fr:punissable	~syn	0.7
en:decorate	en:decorating	~syn	0.7
fr:désireuses	fr:désireux	~syn	0.7
fr:startup	fr:démarrage	~syn	0.7
en:osborne	en:osbourne	~syn	0.7
en:lighting	en:lamps	~syn	0.7
en:arbitrary	en:arbitrariness	~syn	0.7
en:companies	en:enterprises	~syn	0.7
en:blockade	en:embargo	~syn	0.7
en:midi	en:midday	~syn	0.7
en:use	en:usage	~syn	0.7
fr:maiden	fr:demoiselle	~syn	0.7
en:bend	en:fold	~syn	0.7
fr:stylo	fr:pen	~syn	0.7
en:cycling	en:biking	~syn	0.7
en:robbers	en:brigands	~syn	0.7
fr:belle	fr:charmant	~syn	0.7
fr:publiée	fr:posté	~syn	0.7
fr:recueillis	fr:recueilli	~syn	0.7
en:meticulous	en:meticulously	~syn	0.7
en:add	en:adding	~syn	0.7
fr:interdiction	fr:interdire	~syn	0.7
fr:paquetage	fr:paquet	~syn	0.7
fr:maladroit	fr:embarrassant	~syn	0.7
fr:incontournable	fr:inéluctable	~syn	0.7
fr:ninja	fr:ninjas	~syn	0.7
fr:étiqueté	fr:identifiés	~syn	0.7
fr:saucisses	fr:saucisson	~syn	0.7
fr:appuyé	fr:soutenu	~syn	0.7
fr:coutumes	fr:douanier	~syn	0.7
fr:inapproprié	fr:inconvenant	~syn	0.7
en:steward	en:quartermaster	~syn	0.7
en:reprogramming	en:rescheduling	~syn	0.7
fr:insuffisance	fr:insuffisants	~syn	0.7
fr:élite	fr:elite	~syn	0.7
en:volatile	en:volatiles	~syn	0.7
en:chapel	en:chapelle	~syn	0.7
en:speed	en:gears	~syn	0.7
en:ignore	en:skip	~syn	0.7
fr:future	fr:futurs	~syn	0.7
fr:boulder	fr:rocher	~syn	0.7
fr:jarre	fr:bocal	~syn	0.7
fr:philips	fr:phillips	~syn	0.7
en:regimes	en:diets	~syn	0.7
fr:éric	fr:eric	~syn	0.7
en:bonding	en:gluing	~syn	0.7
fr:dévastateur	fr:dévastateurs	~syn	0.7
fr:truquées	fr:trafiqué	~syn	0.7
fr:permettent	fr:permettre	~syn	0.7
fr:étirer	fr:étirements	~syn	0.7
en:sung	en:sang	~syn	0.7
fr:coulée	fr:coulé	~syn	0.7
fr:motocycles	fr:motos	~syn	0.7
fr:rafraîchir	fr:rafraîchissante	~syn	0.7
en:honey	en:sweetheart	~syn	0.7
fr:cassé	fr:rompu	~syn	0.7
fr:moisson	fr:récolter	~syn	0.7
fr:affreux	fr:épouvantable	~syn	0.7
en:fix	en:patch	~syn	0.7
en:bingo	en:loto	~syn	0.7
fr:stabilisant	fr:stabilisation	~syn	0.7
en:rigid	en:stiffness	~syn	0.7
fr:pionniers	fr:pionnière	~syn	0.7
en:pansy	en:fag	~syn	0.7
fr:dièse	fr:livre	~syn	0.7
fr:beaucoup	fr:nombreuses	~syn	0.7
fr:gravé	fr:sculpté	~syn	0.7
fr:décalée	fr:décalé	~syn	0.7
en:unbearable	en:insufferable	~syn	0.7
fr:heart	fr:coeur	~syn	0.7
en:integrating	en:embed	~syn	0.7
fr:nouveau	fr:nouveautés	~syn	0.7
fr:convertisseur	fr:transformateurs	~syn	0.7
en:trento	en:trente	~syn	0.7
en:stakes	en:pious	~syn	0.7
en:ramparts	en:remparts	~syn	0.7
fr:baffe	fr:gifle	~syn	0.7
fr:shoot	fr:tire	~syn	0.7
en:trustees	en:proxies	~syn	0.7
en:normalize	en:normalizing	~syn	0.7
fr:collaborateur	fr:contributeur	~syn	0.7
fr:ancres	fr:ancrages	~syn	0.7
en:pinball	en:flipper	~syn	0.7
fr:déshabiller	fr:déshabille	~syn	0.7
en:thoughtful	en:attentive	~syn	0.7
fr:allouée	fr:attribué	~syn	0.7
en:men	en:homme	~syn	0.7
en:hydraulic	en:hydraulics	~syn	0.7
fr:frêne	fr:cendre	~syn	0.7
fr:perturbé	fr:perturbées	~syn	0.7
fr:hydrater	fr:hydraté	~syn	0.7
en:accusations	en:accusation	~syn	0.7
en:outsourcing	en:offshoring	~syn	0.7
fr:soutien	fr:appui	~syn	0.7
fr:préhistorique	fr:préhistoriques	~syn	0.7
fr:minou	fr:kitty	~syn	0.7
en:sigh	en:sighs	~syn	0.7
en:rotten	en:rotted	~syn	0.7
fr:phantom	fr:fantôme	~syn	0.7
en:outrageous	en:disgraceful	~syn	0.7
fr:biblique	fr:bibliques	~syn	0.7
fr:étonnée	fr:étonné	~syn	0.7
en:imitate	en:mimics	~syn	0.7
fr:fiancé	fr:engagé	~syn	0.7
fr:qualifications	fr:qualification	~syn	0.7
en:sealing	en:tightness	~syn	0.7
fr:entraîné	fr:formé	~syn	0.7
en:board	en:plank	~syn	0.7
fr:assimilés	fr:assimilée	~syn	0.7
fr:morts	fr:mort	~syn	0.7
fr:amplement	fr:ample	~syn	0.7
en:moustache	en:mustache	~syn	0.7
fr:furieuse	fr:fâché	~syn	0.7
en:lobbyist	en:lobbyists	~syn	0.7
fr:romain	fr:romaine	~syn	0.7
en:booth	en:cab	~syn	0.7
fr:motivations	fr:motifs	~syn	0.7
fr:elephant	fr:éléphant	~syn	0.7
fr:merde	fr:maudit	~syn	0.7
fr:regrette	fr:regrets	~syn	0.7
en:hard	en:tough	~syn	0.7
en:calibration	en:benchmarking	~syn	0.7
fr:processus	fr:procédés	~syn	0.7
fr:savourer	fr:savoure	~syn	0.7
fr:confidentiel	fr:confidentiels	~syn	0.7
en:nervous	en:nervousness	~syn	0.7
en:atmosphere	en:mood	~syn	0.7
en:reaffirm	en:reaffirmation	~syn	0.7
en:stroke	en:caress	~syn	0.7
fr:structurés	fr:structurées	~syn	0.7
fr:métaphore	fr:métaphores	~syn	0.7
en:vieille	en:oldie	~syn	0.7
fr:collet	fr:col	~syn	0.7
fr:salaud	fr:batard	~syn	0.7
fr:distribué	fr:distribuée	~syn	0.7
en:exposed	en:exhibited	~syn	0.7
fr:sebastian	fr:sebastien	~syn	0.7
en:border	en:frontiers	~syn	0.7
fr:harmonique	fr:harmoniques	~syn	0.7
fr:mécano	fr:mécaniques	~syn	0.7
fr:altération	fr:déficience	~syn	0.7
fr:prêtée	fr:prêté	~syn	0.7
fr:planeur	fr:planeurs	~syn	0.7
fr:annoncés	fr:annoncée	~syn	0.7
fr:graphiques	fr:graphes	~syn	0.7
fr:incorporé	fr:intégré	~syn	0.7
en:laminated	en:laminates	~syn	0.7
en:debris	en:scrap	~syn	0.7
en:once	en:ounce	~syn	0.7
en:jacket	en:vest	~syn	0.7
fr:identifié	fr:marqué	~syn	0.7
en:checker	en:verifier	~syn	0.7
en:juice	en:juices	~syn	0.7
en:medicines	en:medications	~syn	0.7
fr:bean	fr:haricots	~syn	0.7
en:despite	en:spite	~syn	0.7
fr:stores	fr:volets	~syn	0.7
fr:patiner	fr:patin	~syn	0.7
fr:demandée	fr:sollicité	~syn	0.7
en:patronage	en:philanthropy	~syn	0.7
en:stricken	en:overwhelmed	~syn	0.7
en:warning	en:alert	~syn	0.7
fr:engagement	fr:fiançailles	~syn	0.7
en:shook	en:shaken	~syn	0.7
fr:continue	fr:continuez	~syn	0.7
en:promos	en:bargains	~syn	0.7
fr:verticaux	fr:vertical	~syn	0.7
fr:référencés	fr:référencé	~syn	0.7
fr:faucon	fr:buse	~syn	0.7
fr:penser	fr:réfléchir	~syn	0.7
