en	fr	certifications	example_loop
proposal	proposent	2	en:proposals ~ fr:proposes ≈ en:propose ~ fr:proposent ≈ en:proposal
prospects	prospects	2	en:prospect ~ fr:prospects ≈ en:prospects = fr:perspectives ≈ en:perspective ~ fr:perspective
perspective	perspectives	2	en:prospect ~ fr:prospects ≈ en:prospects = fr:perspectives ≈ en:perspective ~ fr:perspective
protects	prétexte	2	en:protected ~ en:protect ≈ fr:prétextes ~ fr:prétexte ≈ en:protects
protects	protectrice	2	en:protective = fr:protectrice ≈ en:protects ~ en:protecting ≈ fr:protection
protecting	protection	2	en:protective = fr:protectrice ≈ en:protects ~ en:protecting ≈ fr:protection
protector	prêt excès	2	en:protector ≈ fr:prêt excès ~ fr:prêt excède ≈ en:protection ~ en:schutz
protection	prêt excède	2	en:protector ≈ fr:prêt excès ~ fr:prêt excède ≈ en:protection ~ en:schutz
prove	prouvent	2	en:prove ≈ fr:prouvent ~ fr:prouve ≈ en:proves
prove	prouve	2	en:prove ≈ fr:prouve ~ fr:prouvent ≈ en:proves
proved	prouve	2	en:proven = fr:prouvé ≈ en:prove = fr:prouve ≈ en:proved
quid	quid	2	en:quid ≈ fr:quid ~ fr:quiche ≈ en:quiche
quiche	quiche	2	en:quid ≈ fr:quid ~ fr:quiche ≈ en:quiche
court	quote	2	en:quotes = fr:cotes ≈ en:courts ~ en:court ≈ fr:quote
rale	réel	2	en:rails ~ en:rale ≈ fr:réel ~ fr:réelle ≈ en:rail
rail	réelle	2	en:rails ~ en:rale ≈ fr:réel ~ fr:réelle ≈ en:rail
writers	rare	2	en:rare ~ fr:rare ≈ en:writers ~ en:writer ≈ fr:rares
writer	rares	2	en:rare ~ fr:rare ≈ en:writers ~ en:writer ≈ fr:rares
red	raid	2	en:red ≈ fr:raid ~ fr:raids ≈ en:reds = fr:rouges
reds	raids	2	en:red ≈ fr:raid ~ fr:raids ≈ en:reds = fr:rouges
redden	reines	2	en:rendered ≈ fr:reines aide ~ fr:reines ≈ en:redden ~ fr:rendus
rented	reines	2	en:rental ~ en:rented ≈ fr:reines ~ fr:reine ≈ en:rent
rest	restez	2	en:rested ~ en:resting ≈ fr:reste ~ fr:restez ≈ en:rest
rest	rester	2	en:rested ~ en:resting ≈ fr:reste ~ fr:rester ≈ en:rest
rested	reste	2	en:resting ~ en:rested ≈ fr:reste ~ fr:restez ≈ en:rest
retailer	rient ailé	2	en:retail ~ en:retailer ≈ fr:rient ailé ~ fr:rient hélas ≈ en:retailers
retailers	rient hélas	2	en:retail ~ en:retailer ≈ fr:rient ailé ~ fr:rient hélas ≈ en:retailers
read	rides	2	en:ride ~ fr:rides ≈ en:read ~ en:reads ≈ fr:ride
reads	ride	2	en:ride ~ fr:rides ≈ en:read ~ en:reads ≈ fr:ride
rolled	rôles	2	en:roll ~ fr:roll ≈ en:role ~ fr:rôles ≈ en:rolled ~ en:rolle
rule	roule	2	en:rule ≈ fr:roule ~ fr:roulé ≈ en:ruler = fr:règle
ruler	roulé	2	en:rule ≈ fr:roule ~ fr:roulé ≈ en:ruler = fr:règle
ruler	roule	2	en:ruler ≈ fr:roule ~ fr:roulé ≈ en:rule ~ fr:règle
rule	roulé	2	en:ruler ≈ fr:roule ~ fr:roulé ≈ en:rule ~ fr:règle
salt	soldes	2	en:sale = fr:soldes ≈ en:salt = fr:sel ≈ en:sell ~ en:sells
sell	sel	2	en:sale = fr:soldes ≈ en:salt = fr:sel ≈ en:sell ~ en:sells
scene	seines	2	en:scene ≈ fr:seines ~ fr:seine ≈ en:scenes
scenes	seine	2	en:scene ≈ fr:seines ~ fr:seine ≈ en:scenes
create	crier	2	en:scream = fr:crier ≈ en:create = fr:crée ≈ en:cry ~ fr:crie
cry	crée	2	en:scream = fr:crier ≈ en:create = fr:crée ≈ en:cry ~ fr:crie
secondary	déconnent ri	2	en:secondary ≈ fr:déconnent ri ~ fr:déconnent lis ≈ en:secondly ~ en:secondment
secondly	déconnent lis	2	en:secondary ≈ fr:déconnent ri ~ fr:déconnent lis ≈ en:secondly ~ en:secondment
seller	celle	2	en:seller ≈ fr:celle ~ fr:cellule ≈ en:sell = fr:vendre
sale	celle	2	en:selling ~ en:sale ≈ fr:celle ~ fr:cellule ≈ en:sell
sen	scène	2	en:sen ≈ fr:scène = en:scene ≈ fr:si ~ en:se
scene	si	2	en:sen ≈ fr:scène = en:scene ≈ fr:si ~ en:se
setter	synthé	2	en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters
setters	synthèse	2	en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters
sexual	sexuelle	2	en:sex ≈ fr:sex ~ en:sexual ≈ fr:sexuelle ~ fr:sexuellement
sexually	sexuelle	2	en:sexual ~ fr:sexuelle ≈ en:sexually ~ en:sex ≈ fr:sexe ~ fr:sexuel
sex	sexe	2	en:sexual ~ fr:sexuelle ≈ en:sexually ~ en:sex ≈ fr:sexe ~ fr:sexuel
sharply	chie pli	2	en:sheered ~ en:sharply ≈ fr:chie pli ~ fr:chie ≈ en:sheer
sheer	chie	2	en:sheered ~ en:sharply ≈ fr:chie pli ~ fr:chie ≈ en:sheer
shekel	chèque	2	en:sheik = fr:cheik ≈ en:check = fr:chèque ≈ en:shekel ~ fr:sheol
chute	shootes	2	en:shooting ~ fr:shootes ≈ en:chute ~ fr:chute ≈ en:shoot = fr:tirer
shown	chaude	2	en:showed ~ en:shown ≈ fr:chaude ~ fr:chauds ≈ en:show = fr:montrer
sketch	sketchs	2	en:sketch ≈ fr:sketchs ~ en:sketches ≈ fr:sketch
sketches	sketch	2	en:sketch ≈ fr:sketchs ~ en:sketches ≈ fr:sketch
sketch	scotch	2	en:sketches ~ en:sketch ≈ fr:scotch ~ en:scotch ≈ fr:sketch
scotch	sketch	2	en:sketches ~ en:sketch ≈ fr:scotch ~ en:scotch ≈ fr:sketch
ski	skies	2	en:skies ~ fr:skies ≈ en:ski ~ en:skiing ≈ fr:ski ~ fr:skien
slave	slaves	2	en:slavery ~ fr:slaves ≈ en:slave ~ fr:slave ≈ en:slaves
slaves	slave	2	en:slavery ~ fr:slaves ≈ en:slave ~ fr:slave ≈ en:slaves
stalky	stocker	2	en:stalky ≈ fr:stocker ~ fr:stockent ≈ en:stalk
rest	resté	2	en:stayed = fr:resté ≈ en:rest ~ en:resting ≈ fr:reste = en:stay
sticker	steak	2	en:steak ~ fr:steak ≈ en:sticker ~ en:stickers ≈ fr:stick ~ en:stick ≈ fr:steaks
stickers	stick	2	en:steak ~ fr:steak ≈ en:sticker ~ en:stickers ≈ fr:stick ~ en:stick ≈ fr:steaks
stick	steaks	2	en:steak ~ fr:steak ≈ en:sticker ~ en:stickers ≈ fr:stick ~ en:stick ≈ fr:steaks
sticker	steaks	2	en:steak ~ fr:steaks ≈ en:sticker ~ en:stickers ≈ fr:stick ~ en:stick ≈ fr:steak
stealer	style	2	en:stealer ≈ fr:style ~ fr:styles ≈ en:steal ~ en:gehlen
stealing	style	2	en:steals ~ en:stealing ≈ fr:style ~ fr:styles ≈ en:steal
stems	stem	2	en:stem ≈ fr:stems ~ en:stems ≈ fr:stem
steppe	stop	2	en:step ≈ fr:steppe ~ en:steppe ≈ fr:stop ~ en:stop ≈ fr:step
stand	stands	2	en:stood ~ fr:stands ≈ en:stand ~ fr:standing ≈ en:standing
standing	standing	2	en:stood ~ fr:stands ≈ en:stand ~ fr:standing ≈ en:standing
step	stop	2	en:stop ~ fr:stop ≈ en:step ~ en:steps ≈ fr:steppes = en:steppe ≈ fr:stoppe
steppe	stoppe	2	en:stop ~ fr:stop ≈ en:step ~ en:steps ≈ fr:steppes = en:steppe ≈ fr:stoppe
streams	strip	2	en:stream ~ fr:stream ≈ en:strip ~ fr:strip ≈ en:streams
exclusively	exclusive	2	en:strictly ~ en:exclusively ≈ fr:exclusive ~ en:exclusive ≈ fr:exclusives ~ fr:exclusivement
exclusive	exclusives	2	en:strictly ~ en:exclusively ≈ fr:exclusive ~ en:exclusive ≈ fr:exclusives ~ fr:exclusivement
strings	stream	2	en:string ~ fr:string ≈ en:stream ~ fr:stream ≈ en:strings
string	stream	2	en:strings ~ fr:string ≈ en:stream ~ fr:stream ≈ en:string
stripped	stream	2	en:strip ~ fr:strip ≈ en:stream ~ fr:stream ≈ en:stripped ~ en:stripping
successes	secs incise	2	en:successes ≈ fr:secs incise ~ fr:secs ides ≈ en:succeed ~ en:successful
suggests	on geste	2	en:suggest ≈ fr:sait geste ~ fr:on geste ≈ en:suggests = fr:suggère
suggesting	et geste	2	en:suggests ~ en:suggesting ≈ fr:et geste ~ fr:on geste ≈ en:suggested
sweating	souhait in	2	en:sweating ≈ fr:souhait in ~ fr:souhait ≈ en:sweat
sweat	souhait	2	en:sweating ≈ fr:souhait in ~ fr:souhait ≈ en:sweat
talks	toc	2	en:talked ~ en:talks ≈ fr:toc ~ fr:tocs ≈ en:talk
talkie	toquer	2	en:talkie ≈ fr:toquer ~ fr:toquent ≈ en:talk
talk	toquent	2	en:talkie ≈ fr:toquer ~ fr:toquent ≈ en:talk
talk	toques	2	en:talkie ≈ fr:toquer ~ fr:toques ≈ en:talk
talked	toc	2	en:talks ~ en:talked ≈ fr:toc ~ fr:tocs ≈ en:talk
talky	toquer	2	en:talky ≈ fr:toquer ~ fr:toquent ≈ en:talk
type	tapes	2	en:tape ~ fr:tape ≈ en:types ~ en:type ≈ fr:tapes
tech	tech	2	en:tech ≈ fr:tech ~ en:technology ≈ fr:technologie
technology	technologie	2	en:tech ≈ fr:tech ~ en:technology ≈ fr:technologie
technically	techniques lies	2	en:technically ≈ fr:techniques lies ~ en:technique ≈ fr:techniquement
technique	techniquement	2	en:technically ≈ fr:techniques lies ~ en:technique ≈ fr:techniquement
technical	technique	2	en:techniques ~ en:technique ≈ fr:techniques = en:technical ≈ fr:technique
teeter	titi	2	en:teeter ≈ fr:titi ~ en:titi ≈ fr:tirer
titi	tirer	2	en:teeter ≈ fr:titi ~ en:titi ≈ fr:tirer
tests	teste	2	en:test ≈ fr:tests ~ en:tests ≈ fr:teste
testa	tester	2	en:testa ≈ fr:tester ~ en:testers ≈ fr:test ~ en:test ≈ fr:testent ~ en:prueba
test	testent	2	en:testa ≈ fr:tester ~ en:testers ≈ fr:test ~ en:test ≈ fr:testent ~ en:prueba
test	testé	2	en:tested ~ fr:testé ≈ en:test ~ fr:test ≈ en:testa ~ fr:testés
testa	test	2	en:tested ~ fr:testé ≈ en:test ~ fr:test ≈ en:testa ~ fr:testés
texts	textes	2	en:text ≈ fr:texte ~ fr:textes ≈ en:texts
textbooks	taxent box	2	en:textbooks ≈ fr:taxent box ~ fr:boxe ≈ en:books
books	boxe	2	en:textbooks ≈ fr:taxent box ~ fr:boxe ≈ en:books
sets	cette	2	en:this = fr:cet ≈ en:set ~ en:sets ≈ fr:cette
tossed	test	2	en:threw ~ en:tossed ≈ fr:test ~ fr:teste ≈ en:chest = fr:torse ≈ en:toss
chest	teste	2	en:threw ~ en:tossed ≈ fr:test ~ fr:teste ≈ en:chest = fr:torse ≈ en:toss
toss	torse	2	en:threw ~ en:tossed ≈ fr:test ~ fr:teste ≈ en:chest = fr:torse ≈ en:toss
treat esse	tristesse	2	en:treat esse ≈ fr:tristesse ~ fr:triste ≈ en:treat = fr:traitez
treat	triste	2	en:treat esse ≈ fr:tristesse ~ fr:triste ≈ en:treat = fr:traitez
treater	traité	2	en:treaty = fr:traité ≈ en:treater ~ en:pact ≈ fr:pacte ~ fr:pact
pact	pacte	2	en:treaty = fr:traité ≈ en:treater ~ en:pact ≈ fr:pacte ~ fr:pact
troops	troupe	2	en:troop ≈ fr:troupes ~ fr:troupe ≈ en:troops
troops	troupes	2	en:troop ≈ fr:troupe ~ fr:troupes ≈ en:troops
type	tape	2	en:types ~ en:type ≈ fr:tape ~ en:tape ≈ fr:type
seats	site	2	en:website ~ fr:site ≈ en:seats ~ en:seat ≈ fr:sites ~ en:websites
seat	sites	2	en:website ~ fr:site ≈ en:seats ~ en:seat ≈ fr:sites ~ en:websites
western	ouais tonnes	2	en:western ≈ fr:ouais tonnes ~ fr:notais tonnes ≈ en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:ouest
northwestern	notais tonnes	2	en:western ≈ fr:ouais tonnes ~ fr:notais tonnes ≈ en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:ouest
feel	fils	2	en:wire = fr:fils ≈ en:feel ~ en:feels ≈ fr:fil
feels	fil	2	en:wire = fr:fils ≈ en:feel ~ en:feels ≈ fr:fil
zippy	zipper	2	en:zippy ≈ fr:zipper ~ en:zip ≈ fr:zip
zip	zip	2	en:zippy ≈ fr:zipper ~ en:zip ≈ fr:zip
accept	acceptent	1	en:accepted ~ fr:acceptent ≈ en:accept ~ en:accepting ≈ fr:accepte
accepted	excepte	1	en:accepts ~ fr:acceptes ≈ en:except ~ fr:excepte ≈ en:accepted
affect	affectent	1	en:affects = fr:affectent ≈ en:affect ~ fr:affect ≈ en:affected
amended	amènent aide	1	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
edited	aidait aide	1	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
quarter	corps	1	en:barracks ~ fr:corps ≈ en:quarter ~ en:quarters ≈ fr:corse ~ fr:corses ≈ en:corps
quarters	corse	1	en:barracks ~ fr:corps ≈ en:quarter ~ en:quarters ≈ fr:corse ~ fr:corses ≈ en:corps
corps	corses	1	en:barracks ~ fr:corps ≈ en:quarter ~ en:quarters ≈ fr:corse ~ fr:corses ≈ en:corps
previous	privilège	1	en:before ~ en:previously ≈ fr:privilégie ~ fr:privilège ≈ en:previous
belongs	bloc	1	en:blocks = fr:blocs ≈ en:belong ~ en:belongs ≈ fr:bloc = en:block
belonging	bloc	1	en:blocks = fr:blocs ≈ en:belong ~ en:belonging ≈ fr:bloc = en:block
body	bondit	1	en:bonds ~ fr:bondit ≈ en:body ~ fr:body ≈ en:boarder ~ en:boarders ≈ fr:bond aise
boarder	body	1	en:bonds ~ fr:bondit ≈ en:body ~ fr:body ≈ en:boarder ~ en:boarders ≈ fr:bond aise
boarders	bond aise	1	en:bonds ~ fr:bondit ≈ en:body ~ fr:body ≈ en:boarder ~ en:boarders ≈ fr:bond aise
bootie	coutils	1	en:boot ~ en:bootie ≈ fr:coutils ~ fr:coutil ≈ en:booty
booty	coutil	1	en:boot ~ en:bootie ≈ fr:coutils ~ fr:coutil ≈ en:booty
bootie	coutil	1	en:boot ~ en:bootie ≈ fr:coutil ~ fr:coutils ≈ en:booty
booty	coutils	1	en:boot ~ en:bootie ≈ fr:coutil ~ fr:coutils ≈ en:booty
brake	briques	1	en:break ~ fr:break ≈ en:brick = fr:briques ≈ en:brake ~ en:brakes ≈ fr:breaks
brakes	breaks	1	en:break ~ fr:break ≈ en:brick = fr:briques ≈ en:brake ~ en:brakes ≈ fr:breaks
cardboard	cas botte	1	en:cardboard ≈ fr:cas botte ~ en:case ≈ fr:caisse = en:crate
case	caisse	1	en:cardboard ≈ fr:cas botte ~ en:case ≈ fr:caisse = en:crate
codes	causes	1	en:causes ~ fr:causes ≈ en:codes ~ fr:codes ≈ en:caused
checking	tchèque	1	en:checks ~ en:checking ≈ fr:tchèque ~ fr:tchèques ≈ en:check
checks	tchèques	1	en:cheque ≈ fr:tchèque ~ fr:tchèques ≈ en:checks = fr:chèques
series	cerise	1	en:cherry = fr:cerise ≈ en:series ~ fr:séries ≈ en:city ~ en:cities ≈ fr:cerises
cities	cerises	1	en:cherry = fr:cerise ≈ en:series ~ fr:séries ≈ en:city ~ en:cities ≈ fr:cerises
series	cerises	1	en:cherry = fr:cerises ≈ en:series ~ fr:séries ≈ en:city ~ en:cities ≈ fr:cerise
cities	cerise	1	en:cherry = fr:cerises ≈ en:series ~ fr:séries ≈ en:city ~ en:cities ≈ fr:cerise
pool	poulet	1	en:chicken = fr:poulet ≈ en:pool ~ en:pools ≈ fr:poule
pool	poulets	1	en:chicken = fr:poule ≈ en:pools ~ en:pool ≈ fr:poulets
clicks	clic	1	en:clique ~ fr:clique ≈ en:click ~ en:clicks ≈ fr:clic
closes	clauses	1	en:close ~ fr:close ≈ en:clause ~ fr:clauses ≈ en:closes
close	clos	1	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:clos
clause	closes	1	en:closing ~ en:closes ≈ fr:clause ~ en:clause ≈ fr:closes
call	col	1	en:col ~ fr:col ≈ en:call ~ en:calls ≈ fr:cols
committing	commit in	1	en:committing ≈ fr:commit in ~ en:commit ≈ fr:commettent ~ fr:commettant
commit	commettent	1	en:committing ≈ fr:commit in ~ en:commit ≈ fr:commettent ~ fr:commettant
exact	exact	1	en:correct ~ en:correctly ≈ fr:corrects lies ~ fr:exacts lies ≈ en:exactly ~ en:exact ≈ fr:exact
court	cote	1	en:court arse ~ en:court ≈ fr:cote ~ fr:cotes ≈ en:courts ~ fr:court
schools	coule	1	en:couture ~ fr:coule ≈ en:schools ~ en:school ≈ fr:coulent
school	coulent	1	en:couture ~ fr:coule ≈ en:schools ~ en:school ≈ fr:coulent
cooling	coule	1	en:couture ~ fr:coule ≈ en:cooling ~ en:cooler ≈ fr:coulent
cooler	coulent	1	en:couture ~ fr:coule ≈ en:cooling ~ en:cooler ≈ fr:coulent
beasts	bit	1	en:creatures ~ en:beasts ≈ fr:bit ~ fr:bits ≈ en:beast ~ en:creature
beast	bits	1	en:creatures ~ en:beasts ≈ fr:bit ~ fr:bits ≈ en:beast ~ en:creature
der	der	1	en:der ≈ fr:der ~ en:se ≈ fr:si ~ fr:se
se	si	1	en:der ≈ fr:der ~ en:se ≈ fr:si ~ fr:se
debtor	der	1	en:der ~ fr:der ≈ en:debtor ~ en:debt ≈ fr:dettes ~ en:detlev
debt	dettes	1	en:der ~ fr:der ≈ en:debtor ~ en:debt ≈ fr:dettes ~ en:detlev
desires	des as	1	en:des ~ fr:des as ≈ en:desires ~ en:desire ≈ fr:des a ~ fr:des
desire	des a	1	en:des ~ fr:des as ≈ en:desires ~ en:desire ≈ fr:des a ~ fr:des
despite	dis pâte	1	en:despite ≈ fr:dis pâte ~ fr:pâte ≈ en:spite = fr:malgré
spite	pâte	1	en:despite ≈ fr:dis pâte ~ fr:pâte ≈ en:spite = fr:malgré
nevertheless	s laisse	1	en:despite ~ en:nevertheless ≈ fr:s laisse ~ fr:on laisse ≈ en:nonetheless ~ en:however
nonetheless	on laisse	1	en:despite ~ en:nevertheless ≈ fr:s laisse ~ fr:on laisse ≈ en:nonetheless ~ en:however
director	direct	1	en:directed ~ fr:directs ≈ en:direct ~ fr:direct ≈ en:director = fr:réalisateur
director	directe	1	en:directed ~ fr:directs ≈ en:direct = fr:directe ≈ en:director = fr:réalisateur
jean	djinn	1	en:dj ~ fr:djinn ≈ en:jean ~ fr:jean ≈ en:genes ~ en:gene ≈ fr:djinns
gene	djinns	1	en:dj ~ fr:djinn ≈ en:jean ~ fr:jean ≈ en:genes ~ en:gene ≈ fr:djinns
gene	djinn	1	en:dj ~ fr:djinn ≈ en:gene ~ en:genes ≈ fr:jean ~ en:jean ≈ fr:djinns
pierre	pair	1	en:dual ~ fr:pair ≈ en:pierre ~ fr:pierre ≈ en:pair
pair	pierre	1	en:dual ~ fr:pair ≈ en:pierre ~ fr:pierre ≈ en:pair
ed	aides	1	en:ed ≈ fr:aides = en:aid ≈ fr:éd
ed	aide	1	en:ed ≈ fr:aide = en:aid ≈ fr:éd
el	el	1	en:el ≈ fr:el ~ en:il ≈ fr:il
il	il	1	en:el ≈ fr:el ~ en:il ≈ fr:il
enforce	un fausse	1	en:enforced ~ en:enforce ≈ fr:un fausse ~ fr:fausse ≈ en:forced = fr:forcée
eve	ives	1	en:eve ≈ fr:ives ~ fr:ive ≈ en:eva = fr:ève
eva	ive	1	en:eve ≈ fr:ives ~ fr:ive ≈ en:eva = fr:ève
exception	excepté	1	en:exceptions = fr:exception ≈ en:except ~ fr:excepté ≈ en:exception
exclusion	excluant	1	en:excluding ~ fr:excluant ≈ en:exclusion ~ fr:exclus ≈ en:exclude
exclude	exclut	1	en:excluding ~ fr:exclut ≈ en:exclude ~ fr:exclu ≈ en:excluded ~ en:excludes
exist	existait	1	en:exit ~ en:exit arse ≈ fr:existence ~ en:exist ≈ fr:existait = en:existed ≈ fr:exit aide
explorer	explore	1	en:explore ≈ fr:explorent ~ en:explorer ≈ fr:explore
explorer	exploré	1	en:explored = fr:exploré ≈ en:explorer ~ fr:explorer ≈ en:exploring
explore	exploré	1	en:explored ~ en:exploring ≈ fr:explore ~ en:explore ≈ fr:exploré
express	expresse	1	en:express ≈ fr:expresse ~ fr:express ≈ en:expressions ~ en:expresses
expressed	exprès	1	en:expressing ≈ fr:exprès in ~ fr:exprès ≈ en:expressed
express	exprès	1	en:expressing ≈ fr:exprès in ~ fr:exprès ≈ en:express = fr:exprimer
express	expression	1	en:expression ~ fr:expression ≈ en:express ~ fr:express ≈ en:expressions
fall	folles	1	en:fall ≈ fr:folles ~ fr:folle ≈ en:falls
destiny	destin	1	en:fate = fr:destin ≈ en:destiny ~ fr:destins ≈ en:destined ~ fr:destine
destined	destins	1	en:fate = fr:destin ≈ en:destiny ~ fr:destins ≈ en:destined ~ fr:destine
pleas	plie	1	en:fold = fr:pli ≈ en:plea ~ en:pleas ≈ fr:plie ~ fr:plier
foolish	foule	1	en:fool ≈ fr:foules ~ fr:foule ≈ en:foolish
full	folles	1	en:fools ~ en:fool ≈ fr:full ~ en:full ≈ fr:folles ~ fr:imbéciles
force	fausses	1	en:forces ≈ fr:faux aise ~ fr:fausses ≈ en:force
groups	groupe	1	en:group ≈ fr:groupes ~ en:groups ≈ fr:groupe
groups	group	1	en:group ≈ fr:groupes ~ en:groups ≈ fr:group
self	elfes	1	en:herself ~ en:myself ≈ fr:mas elfes ~ fr:elfes ≈ en:self
jean	gin	1	en:jean ≈ fr:gin ~ en:gin ≈ fr:jean
jean	gins	1	en:jean ≈ fr:gins ~ en:gin ≈ fr:jean
low	lots	1	en:lowest ~ en:low ≈ fr:lots ~ fr:lot ≈ en:lower
lower	lot	1	en:lowest ~ en:low ≈ fr:lots ~ fr:lot ≈ en:lower
low	lot	1	en:lowest ~ en:low ≈ fr:lot ~ fr:lots ≈ en:lower
lower	lots	1	en:lowest ~ en:low ≈ fr:lot ~ fr:lots ≈ en:lower
masque	masque	1	en:masque ≈ fr:masque = en:mask ≈ fr:masques
mask	masques	1	en:masque ≈ fr:masque = en:mask ≈ fr:masques
mouse	masses	1	en:masses ~ fr:masses ≈ en:mouse ~ en:mice ≈ fr:masse
mice	masse	1	en:masses ~ fr:masses ≈ en:mouse ~ en:mice ≈ fr:masse
mouse	masse	1	en:masses ~ fr:masse ≈ en:mouse ~ en:mice ≈ fr:masses
mice	masses	1	en:masses ~ fr:masse ≈ en:mouse ~ en:mice ≈ fr:masses
meets	mythe	1	en:meet eek ~ en:meets ≈ fr:mythe ~ fr:mythes ≈ en:meet
meet	mythes	1	en:meet eek ~ en:meets ≈ fr:mythe ~ fr:mythes ≈ en:meet
herself	et elfes	1	en:myself ≈ fr:mas elfes ~ fr:et elfes ≈ en:herself
yourself	et elfes	1	en:myself ≈ fr:mas elfes ~ fr:et elfes ≈ en:yourself
clue	clous	1	en:nail = fr:clous ≈ en:clue ~ en:clued ≈ fr:clou
clued	clou	1	en:nail = fr:clous ≈ en:clue ~ en:clued ≈ fr:clou
clue	clou	1	en:nail = fr:clou ≈ en:clue ~ en:clues ≈ fr:clous
clues	clous	1	en:nail = fr:clou ≈ en:clue ~ en:clues ≈ fr:clous
knife	naïfs	1	en:naive ~ fr:naïve ≈ en:knives ~ en:knife ≈ fr:naïfs
knife	naïf	1	en:naive ~ fr:naïve ≈ en:knives ~ en:knife ≈ fr:naïf
netflix	netflix	1	en:netflix ≈ fr:netflix ~ en:youtube ≈ fr:youtube
youtube	youtube	1	en:netflix ≈ fr:netflix ~ en:youtube ≈ fr:youtube
offset	offset	1	en:offset ≈ fr:offset ~ en:strips ≈ fr:strip
strips	strip	1	en:offset ≈ fr:offset ~ en:strips ≈ fr:strip
orders	horde	1	en:ordering ~ en:order ≈ fr:hordes ~ fr:horde ≈ en:orders
pecks	boxe	1	en:pecking ~ en:pecks ≈ fr:boxe ~ fr:box ≈ en:becks
becks	box	1	en:pecking ~ en:pecks ≈ fr:boxe ~ fr:box ≈ en:becks
pees	pise	1	en:pi ~ fr:pif ≈ en:peeve ~ fr:pise ≈ en:pees ~ en:pee ≈ fr:pi
pick	pique	1	en:picked ~ en:pick ≈ fr:pique ~ fr:piquer ≈ en:picky ~ en:pickled
pick	piques	1	en:picked ~ en:pick ≈ fr:piques ~ fr:piquer ≈ en:picky ~ en:pickled
pl	piles	1	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:piles
pl	pile	1	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:pile
plate	plates	1	en:plates ~ fr:plates ≈ en:plate = fr:plaque ≈ en:plaque ~ fr:plaques
plaque	plaque	1	en:plates ~ fr:plates ≈ en:plate = fr:plaque ≈ en:plaque ~ fr:plaques
platforms	plateforme	1	en:platforms ≈ fr:plateforme ~ en:platform ≈ fr:plateformes
platform	plateformes	1	en:platforms ≈ fr:plateforme ~ en:platform ≈ fr:plateformes
platforms	plateformes	1	en:platforms ≈ fr:plateformes = en:platform ≈ fr:plateforme
platform	plateforme	1	en:platforms ≈ fr:plateformes = en:platform ≈ fr:plateforme
pleader	plie	1	en:plead ~ en:pleader ≈ fr:plie ~ fr:plisse ≈ en:pleat
poop	poupes	1	en:poop ≈ fr:poupes ~ fr:pouffe ≈ en:poof
poof	pouffe	1	en:poop ≈ fr:poupes ~ fr:pouffe ≈ en:poof
pop	pape	1	en:pops = fr:pop ≈ en:pope = fr:pape ≈ en:pop
pop	papes	1	en:pops = fr:pop ≈ en:pope = fr:papes ≈ en:pop
pre	prie	1	en:pray ~ en:prayed ≈ fr:pré = en:pre ≈ fr:prie
preceding	précise	1	en:precede ~ en:preceding ≈ fr:précise ~ fr:précis ≈ en:preceded ~ en:precedes
preceded	précis	1	en:precede ~ en:preceding ≈ fr:précise ~ fr:précis ≈ en:preceded ~ en:precedes
praying	prenne	1	en:preppy ~ fr:prés ≈ en:pray ~ en:praying ≈ fr:prenne ~ en:precept
press	pressé	1	en:pressed = fr:pressé ≈ en:press = fr:presse ≈ en:presses
quad	quad	1	en:proportions ~ en:quantities ≈ fr:quad dix ~ en:quad ≈ fr:quad ~ fr:quad tee ≈ en:quantity
prospect	prospects	1	en:prospects ~ fr:prospects ≈ en:prospect = fr:perspective ≈ en:perspective ~ fr:perspectives
perspective	perspective	1	en:prospects ~ fr:prospects ≈ en:prospect = fr:perspective ≈ en:perspective ~ fr:perspectives
proves	prouvent	1	en:prove ≈ fr:prouve ~ fr:prouvent ≈ en:proves
proven	prouvant	1	en:proved ~ en:proves ≈ fr:prouve ~ fr:prouvant ≈ en:proven
proved	prouvent	1	en:proves ~ en:prove ≈ fr:prouve ~ fr:prouvent ≈ en:proved
strictly	strictes lies	1	en:purely ~ en:strictly ≈ fr:strictes lies ~ fr:exacts lies ≈ en:exactly ~ en:precisely
strictly	strict	1	en:purely ~ en:strictly ≈ fr:strict ~ fr:strictes ≈ en:straight ~ fr:strictement
straight	strictes	1	en:purely ~ en:strictly ≈ fr:strict ~ fr:strictes ≈ en:straight ~ fr:strictement
courts	quote	1	en:quote ~ fr:quote ≈ en:courts ~ en:court ≈ fr:cotes = en:quotes
reader	ride	1	en:reader ≈ fr:ride ~ fr:rides ≈ en:reads ~ fr:reading
rouge	rouges	1	en:red ≈ fr:raid ~ fr:raids ≈ en:reds = fr:rouges ≈ en:rouge ~ fr:rouge
